window,window_start,window_end,n_games,solo,tier,leg_no,n_legs,player_id,name,team,opponent,game_pk,prop_key,prop,line,p,lift,base,kind,edge,clash,slip_p,game_date,built_at_utc
0,2026-09-14 22:40:00+00:00,2026-09-14 23:45:00+00:00,7,False,MIXED,1,4,668909,Gavin Williams,CLE,CWS,824386,pitcher_k_under,Under 7.5 K,7.5,0.45211900000000005,,0.44787346707912756,arm,0.004245532920872486,False,0.039661093232300465,2026-09-14,2026-09-14T19:53:18Z
0,2026-09-14 22:40:00+00:00,2026-09-14 23:45:00+00:00,7,False,MIXED,2,4,592450,Aaron Judge,NYY,MIN,823656,prob_hrr_over_0.5,H+R+RBI 0.5,,0.767177532263668,1.1427832481164337,0.6713237471131562,bat,,False,0.039661093232300465,2026-09-14,2026-09-14T19:53:18Z
0,2026-09-14 22:40:00+00:00,2026-09-14 23:45:00+00:00,7,False,MIXED,3,4,805808,Kevin McGonigle,DET,TOR,822765,prob_walk,Walk,,0.4986509444903216,1.5357182837705334,0.3247020952736341,bat,,False,0.039661093232300465,2026-09-14,2026-09-14T19:53:18Z
0,2026-09-14 22:40:00+00:00,2026-09-14 23:45:00+00:00,7,False,MIXED,4,4,624413,Pete Alonso,BAL,NYM,823575,prob_hr,HR,,0.2293081028431446,2.0637814405433508,0.11111065267782065,bat,,False,0.039661093232300465,2026-09-14,2026-09-14T19:53:18Z
0,2026-09-14 22:40:00+00:00,2026-09-14 23:45:00+00:00,7,False,SAFE,1,3,592450,Aaron Judge,NYY,MIN,823656,prob_hrr_over_0.5,H+R+RBI 0.5,,0.767177532263668,1.1427832481164337,0.6713237471131562,bat,,False,0.4335623559695926,2026-09-14,2026-09-14T19:53:18Z
0,2026-09-14 22:40:00+00:00,2026-09-14 23:45:00+00:00,7,False,SAFE,2,3,605141,Mookie Betts,LAD,CIN,824465,prob_hrr_over_0.5,H+R+RBI 0.5,,0.7547782898659448,1.1243134078180042,0.6713237471131562,bat,,False,0.4335623559695926,2026-09-14,2026-09-14T19:53:18Z
0,2026-09-14 22:40:00+00:00,2026-09-14 23:45:00+00:00,7,False,SAFE,3,3,660670,Ronald Acuña Jr.,ATL,CHC,824629,prob_hrr_over_0.5,H+R+RBI 0.5,,0.748749063607162,1.1153323069933874,0.6713237471131562,bat,,False,0.4335623559695926,2026-09-14,2026-09-14T19:53:18Z
0,2026-09-14 22:40:00+00:00,2026-09-14 23:45:00+00:00,7,False,MEDIUM,1,3,668909,Gavin Williams,CLE,CWS,824386,pitcher_k_under,Under 7.5 K,7.5,0.45211900000000005,,0.44787346707912756,arm,0.004245532920872486,False,0.07360772809276445,2026-09-14,2026-09-14T19:53:18Z
0,2026-09-14 22:40:00+00:00,2026-09-14 23:45:00+00:00,7,False,MEDIUM,2,3,592450,Aaron Judge,NYY,MIN,823656,prob_tb_over_2.5,TB 2.5,,0.3264931012167155,1.5522635367934123,0.21033355063610426,bat,,False,0.07360772809276445,2026-09-14,2026-09-14T19:53:18Z
0,2026-09-14 22:40:00+00:00,2026-09-14 23:45:00+00:00,7,False,MEDIUM,3,3,805808,Kevin McGonigle,DET,TOR,822765,prob_walk,Walk,,0.4986509444903216,1.5357182837705334,0.3247020952736341,bat,,False,0.07360772809276445,2026-09-14,2026-09-14T19:53:18Z
0,2026-09-14 22:40:00+00:00,2026-09-14 23:45:00+00:00,7,False,LOTTO,1,3,592450,Aaron Judge,NYY,MIN,823656,prob_hr,HR,,0.2503104371505059,2.252803229194527,0.11111065267782065,bat,,False,0.012541885521451534,2026-09-14,2026-09-14T19:53:18Z
0,2026-09-14 22:40:00+00:00,2026-09-14 23:45:00+00:00,7,False,LOTTO,2,3,624413,Pete Alonso,BAL,NYM,823575,prob_hr,HR,,0.2293081028431446,2.0637814405433508,0.11111065267782065,bat,,False,0.012541885521451534,2026-09-14,2026-09-14T19:53:18Z
0,2026-09-14 22:40:00+00:00,2026-09-14 23:45:00+00:00,7,False,LOTTO,3,3,605141,Mookie Betts,LAD,CIN,824465,prob_hr,HR,,0.2185065562389247,1.966567120008844,0.11111065267782065,bat,,False,0.012541885521451534,2026-09-14,2026-09-14T19:53:18Z
1,2026-09-15 00:40:00+00:00,2026-09-15 00:40:00+00:00,1,True,MIXED,1,3,665487,Fernando Tatis Jr.,SD,COL,824308,prob_hrr_over_0.5,H+R+RBI 0.5,,0.7730628113910409,1.1515499261204236,0.6713237471131562,bat,,False,0.026869808908897834,2026-09-14,2026-09-14T19:53:18Z
1,2026-09-15 00:40:00+00:00,2026-09-15 00:40:00+00:00,1,True,MIXED,2,3,696100,Hunter Goodman,COL,SD,824308,prob_tb_over_2.5,TB 2.5,,0.331610861660657,1.576595177791551,0.21033355063610426,bat,,False,0.026869808908897834,2026-09-14,2026-09-14T19:53:18Z
1,2026-09-15 00:40:00+00:00,2026-09-15 00:40:00+00:00,1,True,MIXED,3,3,664034,Ty France,SD,COL,824308,prob_hits_over_2.5,Hits 2.5,,0.104814423255951,2.132105484159982,0.0491600551823759,bat,,False,0.026869808908897834,2026-09-14,2026-09-14T19:53:18Z
1,2026-09-15 00:40:00+00:00,2026-09-15 00:40:00+00:00,1,True,SAFE,1,3,665487,Fernando Tatis Jr.,SD,COL,824308,prob_hrr_over_0.5,H+R+RBI 0.5,,0.7730628113910409,1.1515499261204236,0.6713237471131562,bat,,False,0.42612514154797154,2026-09-14,2026-09-14T19:53:18Z
1,2026-09-15 00:40:00+00:00,2026-09-15 00:40:00+00:00,1,True,SAFE,2,3,592518,Manny Machado,SD,COL,824308,prob_hrr_over_0.5,H+R+RBI 0.5,,0.7463839863689493,1.1118093015159511,0.6713237471131562,bat,,False,0.42612514154797154,2026-09-14,2026-09-14T19:53:18Z
1,2026-09-15 00:40:00+00:00,2026-09-15 00:40:00+00:00,1,True,SAFE,3,3,664034,Ty France,SD,COL,824308,prob_hit,Hit,,0.7385162633339143,1.1763033042448305,0.6278280955846085,bat,,False,0.42612514154797154,2026-09-14,2026-09-14T19:53:18Z
1,2026-09-15 00:40:00+00:00,2026-09-15 00:40:00+00:00,1,True,MEDIUM,1,3,665487,Fernando Tatis Jr.,SD,COL,824308,prob_hits_over_1.5,Hits 1.5,,0.367177897007184,1.638372682156921,0.22411133987158133,bat,,False,0.04127581171245503,2026-09-14,2026-09-14T19:53:18Z
1,2026-09-15 00:40:00+00:00,2026-09-15 00:40:00+00:00,1,True,MEDIUM,2,3,696100,Hunter Goodman,COL,SD,824308,prob_tb_over_2.5,TB 2.5,,0.331610861660657,1.576595177791551,0.21033355063610426,bat,,False,0.04127581171245503,2026-09-14,2026-09-14T19:53:18Z
1,2026-09-15 00:40:00+00:00,2026-09-15 00:40:00+00:00,1,True,MEDIUM,3,3,664034,Ty France,SD,COL,824308,prob_hits_over_1.5,Hits 1.5,,0.3389926995516395,1.5126084193057197,0.22411133987158133,bat,,False,0.04127581171245503,2026-09-14,2026-09-14T19:53:18Z
1,2026-09-15 00:40:00+00:00,2026-09-15 00:40:00+00:00,1,True,LOTTO,1,3,665487,Fernando Tatis Jr.,SD,COL,824308,prob_hits_over_2.5,Hits 2.5,,0.1216955370212186,2.4754963469782068,0.0491600551823759,bat,,False,0.003153878475287732,2026-09-14,2026-09-14T19:53:18Z
1,2026-09-15 00:40:00+00:00,2026-09-15 00:40:00+00:00,1,True,LOTTO,2,3,696100,Hunter Goodman,COL,SD,824308,prob_hr,HR,,0.2472573752455693,2.2253255586799874,0.11111065267782065,bat,,False,0.003153878475287732,2026-09-14,2026-09-14T19:53:18Z
1,2026-09-15 00:40:00+00:00,2026-09-15 00:40:00+00:00,1,True,LOTTO,3,3,664034,Ty France,SD,COL,824308,prob_hits_over_2.5,Hits 2.5,,0.104814423255951,2.132105484159982,0.0491600551823759,bat,,False,0.003153878475287732,2026-09-14,2026-09-14T19:53:18Z
2,2026-09-15 01:38:00+00:00,2026-09-15 01:40:00+00:00,2,False,MIXED,1,3,682998,Corbin Carroll,AZ,MIA,825034,prob_hrr_over_0.5,H+R+RBI 0.5,,0.7209840994168407,1.0739737757188468,0.6713237471131562,bat,,False,0.07136776361924538,2026-09-14,2026-09-14T19:53:18Z
2,2026-09-15 01:38:00+00:00,2026-09-15 01:40:00+00:00,2,False,MIXED,2,3,621493,Taylor Ward,SEA,LAA,823981,prob_walk,Walk,,0.5022040390046772,1.5466609126173274,0.3247020952736341,bat,,False,0.07136776361924538,2026-09-14,2026-09-14T19:53:18Z
2,2026-09-15 01:38:00+00:00,2026-09-15 01:40:00+00:00,2,False,MIXED,3,3,663728,Cal Raleigh,SEA,LAA,823981,prob_hr,HR,,0.1971043457936602,1.7739464312678381,0.11111065267782065,bat,,True,0.07136776361924538,2026-09-14,2026-09-14T19:53:18Z
2,2026-09-15 01:38:00+00:00,2026-09-15 01:40:00+00:00,2,False,SAFE,1,3,682998,Corbin Carroll,AZ,MIA,825034,prob_hrr_over_0.5,H+R+RBI 0.5,,0.7209840994168407,1.0739737757188468,0.6713237471131562,bat,,False,0.3693018281799787,2026-09-14,2026-09-14T19:53:18Z
2,2026-09-15 01:38:00+00:00,2026-09-15 01:40:00+00:00,2,False,SAFE,2,3,545361,Mike Trout,LAA,SEA,823981,prob_hrr_over_0.5,H+R+RBI 0.5,,0.7191963158772418,1.0713107036209406,0.6713237471131562,bat,,False,0.3693018281799787,2026-09-14,2026-09-14T19:53:18Z
2,2026-09-15 01:38:00+00:00,2026-09-15 01:40:00+00:00,2,False,SAFE,3,3,687263,Zach Neto,LAA,SEA,823981,prob_hrr_over_0.5,H+R+RBI 0.5,,0.7122104090326445,1.0609045368874708,0.6713237471131562,bat,,True,0.3693018281799787,2026-09-14,2026-09-14T19:53:18Z
2,2026-09-15 01:38:00+00:00,2026-09-15 01:40:00+00:00,2,False,MEDIUM,1,3,621493,Taylor Ward,SEA,LAA,823981,prob_walk,Walk,,0.5022040390046772,1.5466609126173274,0.3247020952736341,bat,,False,0.11614504023910659,2026-09-14,2026-09-14T19:53:18Z
2,2026-09-15 01:38:00+00:00,2026-09-15 01:40:00+00:00,2,False,MEDIUM,2,3,805300,Jakob Marsee,MIA,AZ,825034,prob_walk,Walk,,0.4662548277469455,1.435946470730414,0.3247020952736341,bat,,False,0.11614504023910659,2026-09-14,2026-09-14T19:53:18Z
2,2026-09-15 01:38:00+00:00,2026-09-15 01:40:00+00:00,2,False,MEDIUM,3,3,641487,J.P. Crawford,SEA,LAA,823981,prob_walk,Walk,,0.4960176448032937,1.527608389423197,0.3247020952736341,bat,,True,0.11614504023910659,2026-09-14,2026-09-14T19:53:18Z
2,2026-09-15 01:38:00+00:00,2026-09-15 01:40:00+00:00,2,False,LOTTO,1,3,663728,Cal Raleigh,SEA,LAA,823981,prob_hr,HR,,0.1971043457936602,1.7739464312678381,0.11111065267782065,bat,,False,0.003045917850031032,2026-09-14,2026-09-14T19:53:18Z
2,2026-09-15 01:38:00+00:00,2026-09-15 01:40:00+00:00,2,False,LOTTO,2,3,669364,Xavier Edwards,MIA,AZ,825034,prob_hits_over_2.5,Hits 2.5,,0.0821898498041666,1.6718827816456974,0.0491600551823759,bat,,False,0.003045917850031032,2026-09-14,2026-09-14T19:53:18Z
2,2026-09-15 01:38:00+00:00,2026-09-15 01:40:00+00:00,2,False,LOTTO,3,3,545361,Mike Trout,LAA,SEA,823981,prob_hr,HR,,0.1880198922289778,1.6921860118504135,0.11111065267782065,bat,,True,0.003045917850031032,2026-09-14,2026-09-14T19:53:18Z
