market,player,line,prob_over,hold,n_books,commence_time,home_team,away_team,game_date,fetched_at_utc,key,pitcher,team,opponent,expected_k,expected_bf,starts_seen,model_prob,market_prob,edge,side
pitcher_strikeouts,Jacob deGrom,6.5,0.5348996302644773,0.0637451772297555,6,2026-09-10T20:10:00Z,Seattle Mariners,Texas Rangers,2026-09-10,2026-09-10T14:47:27Z,jacob degrom,Jacob deGrom,TEX,SEA,5.805205156032785,21.642791874604622,30,0.368072,0.5348996302644773,-0.16682763026447728,UNDER
pitcher_strikeouts,Nick Martinez,3.5,0.4734378823107568,0.0645542311326661,6,2026-09-10T16:15:00Z,Atlanta Braves,Tampa Bay Rays,2026-09-10,2026-09-10T14:47:27Z,nick martinez,Nick Martinez,TB,ATL,4.364934703348306,23.596368392706008,27,0.6351669999999999,0.4734378823107568,0.16172911768924314,OVER
pitcher_strikeouts,Logan Gilbert,6.5,0.5474400439981407,0.066347526664987,6,2026-09-10T20:10:00Z,Seattle Mariners,Texas Rangers,2026-09-10,2026-09-10T14:47:27Z,logan gilbert,Logan Gilbert,SEA,TEX,6.308460564107646,23.324383598059413,32,0.445887,0.5474400439981407,-0.10155304399814075,UNDER
pitcher_strikeouts,Jared Jones,5.5,0.5704060427863338,0.0674724394293853,6,2026-09-10T23:41:00Z,Chicago White Sox,Pittsburgh Pirates,2026-09-10,2026-09-10T14:47:27Z,jared jones,Jared Jones,PIT,CWS,5.585742151099495,20.1845565921097,17,0.48768,0.5704060427863338,-0.08272604278633378,UNDER
pitcher_strikeouts,Max Fried,5.5,0.4804680258911181,0.0662092599761976,6,2026-09-10T23:05:00Z,New York Yankees,Colorado Rockies,2026-09-10,2026-09-10T14:47:27Z,max fried,Max Fried,NYY,COL,5.900516380103403,22.30788979954577,20,0.541511,0.4804680258911181,0.061042974108881876,OVER
pitcher_strikeouts,Zack Wheeler,6.5,0.5,0.0673423150058663,6,2026-09-10T17:06:00Z,Philadelphia Phillies,Houston Astros,2026-09-10,2026-09-10T14:47:27Z,zack wheeler,Zack Wheeler,PHI,HOU,6.271620347566653,23.28537465880074,23,0.439913,0.5,-0.060087,UNDER
pitcher_strikeouts,Martin Perez,2.5,0.5893794380981784,0.0644122383252818,3,2026-09-10T16:15:00Z,Atlanta Braves,Tampa Bay Rays,2026-09-10,2026-09-10T14:47:27Z,martin perez,Martín Pérez,ATL,TB,3.183236163824983,21.84685986232685,24,0.6171829999999999,0.5893794380981784,0.02780356190182154,OVER
pitcher_strikeouts,Ryan Feltner,4.5,0.4594129786746159,0.0666223010943507,6,2026-09-10T23:05:00Z,New York Yankees,Colorado Rockies,2026-09-10,2026-09-10T14:47:27Z,ryan feltner,Ryan Feltner,COL,NYY,4.550117402791319,22.51031894934334,20,0.47950599999999993,0.4594129786746159,0.02009302132538404,OVER
pitcher_strikeouts,Martin Perez,3.5,0.3830485023956545,0.0634920634920634,3,2026-09-10T16:15:00Z,Atlanta Braves,Tampa Bay Rays,2026-09-10,2026-09-10T14:47:27Z,martin perez,Martín Pérez,ATL,TB,3.183236163824983,21.84685986232685,24,0.395608,0.3830485023956545,0.012559497604345493,OVER
pitcher_strikeouts,Cristian Javier,3.5,0.5682441769808004,0.0674724394293853,6,2026-09-10T17:06:00Z,Philadelphia Phillies,Houston Astros,2026-09-10,2026-09-10T14:47:27Z,cristian javier,Cristian Javier,HOU,PHI,4.012248002495171,21.138016649627573,12,0.5706100000000001,0.5682441769808004,0.002365823019199631,OVER
