game_pk,player_id,name,team,opponent,is_home,lineup_slot,lineup_status,opposing_pitcher,venue_name,start_time_utc,expected_pa,batter_pa_seen,pitcher_pa_seen,prob_hr,prob_hit,prob_walk,prob_k,prob_hrr_over_0.5,prob_hrr_over_1.5,prob_hrr_over_2.5,prob_hrr_over_3.5,prob_tb_over_0.5,prob_tb_over_1.5,prob_tb_over_2.5,prob_tb_over_3.5,prob_hits_over_0.5,prob_hits_over_1.5,prob_hits_over_2.5,predicted_at_utc,form_z,form_state
822688,682928,CJ Abrams,WSH,MIA,1,1,confirmed,Janson Junk,Nationals Park,2026-08-30T16:15:00Z,4.382795189053746,2981,1146,0.1326576183421625,0.7086577280118584,0.3259828414380621,0.5974348093513744,0.7224550004511869,0.5276262273286618,0.3619599228523397,0.230287945702801,0.6733025521122793,0.435635207468038,0.2754896324137814,0.1964972851651311,0.6822140391432434,0.3056009780922957,0.0877006781813287,2026-08-30T18:51:35Z,,
822688,681715,Heriberto Hernández,MIA,WSH,0,1,confirmed,Andrew Alvarez,Nationals Park,2026-08-30T16:15:00Z,4.36165673939313,758,501,0.1483609897057647,0.6289287625304361,0.444741131201848,0.7406469337884569,0.6874591787930344,0.4886593684210364,0.3269422311142531,0.2026707276920129,0.6203950158789969,0.3818286674862737,0.2337211212038087,0.1671658391621801,0.6082677247898322,0.2307944194774391,0.0552326452379706,2026-08-30T18:51:35Z,,
822688,694673,Abimelec Ortiz,WSH,MIA,1,2,confirmed,Janson Junk,Nationals Park,2026-08-30T16:15:00Z,3.50805930897079,141,1146,0.1142764954067898,0.6093300241716529,0.2632162538786745,0.566187007712254,0.6400996606219036,0.43282396495311,0.2747908903929765,0.1602201788492875,0.5836100002783715,0.3413773557764725,0.2010730458143048,0.1440308258410306,0.5904290361023551,0.2061904946369776,0.0422973334389586,2026-08-30T18:51:35Z,,
822688,672640,Otto Lopez,MIA,WSH,0,2,confirmed,Andrew Alvarez,Nationals Park,2026-08-30T16:15:00Z,4.36165673939313,1764,501,0.0796319658953087,0.6776329162758551,0.3239740214907468,0.4695583019817275,0.6866579095660887,0.4869408665304413,0.3246921006321021,0.2003261611677008,0.6008991790698004,0.3620195638313502,0.2181701287157756,0.1560994293366459,0.6535236604536784,0.2743386511628177,0.0729643952355887,2026-08-30T18:51:35Z,,
822688,665953,Andrés Chaparro,WSH,MIA,1,3,confirmed,Janson Junk,Nationals Park,2026-08-30T16:15:00Z,3.5080593089707905,529,1146,0.1177510892182573,0.5642355504322151,0.2733538431426918,0.5261481940306973,0.6091760460804059,0.4023743848070498,0.2497742811908618,0.1419160728018096,0.560363610702948,0.3206568808125132,0.1862196384582013,0.1338005297160489,0.5481887426330068,0.1722081613042677,0.0310544275279938,2026-08-30T18:51:35Z,,
822688,682663,Agustín Ramírez,MIA,WSH,0,3,confirmed,Andrew Alvarez,Nationals Park,2026-08-30T16:15:00Z,4.361656739393131,834,501,0.1010714086475516,0.6134769928868349,0.3956639327681352,0.6400208529241631,0.6494661990151845,0.446561750614844,0.2889312203562819,0.1723943342280946,0.5813734243061979,0.3433141723582352,0.2041494795492638,0.1463530360958696,0.5939446384740852,0.2156767465799969,0.0481532590096571,2026-08-30T18:51:35Z,,
822688,695734,Daylen Lile,WSH,MIA,1,4,confirmed,Janson Junk,Nationals Park,2026-08-30T16:15:00Z,3.5080593089707905,1012,1146,0.1013162302337465,0.6338267277467744,0.2317086689372108,0.4477533379349242,0.6482113310075067,0.4439802414602395,0.2856118445695523,0.168935087509962,0.6007167278788141,0.3599238048645041,0.2153723776361793,0.1536501035125756,0.6129355881401104,0.2306256655240137,0.0519660128492129,2026-08-30T18:51:35Z,,
822688,665923,Esteury Ruiz,MIA,WSH,0,4,confirmed,Andrew Alvarez,Nationals Park,2026-08-30T16:15:00Z,3.986311725605409,1013,501,0.0783442790869068,0.5786643404165356,0.4404787375236788,0.7097422380715316,0.6046111707135413,0.4008827787106302,0.2503719862326001,0.1435249926077906,0.5321302591227939,0.2993638013312587,0.1726093996095129,0.1246990198912433,0.5614715155612389,0.1869969433632418,0.0375153136843716,2026-08-30T18:51:35Z,,
822688,686611,Dylan Crews,WSH,MIA,1,5,confirmed,Janson Junk,Nationals Park,2026-08-30T16:15:00Z,3.50805930897079,941,1146,0.0777320057246325,0.5416200760305572,0.2459594687856667,0.5810349609025491,0.5735091204269329,0.3705370905642247,0.2253264041653789,0.1250250608518114,0.5019441618458241,0.2735622344635709,0.1543661197172054,0.1121000193404589,0.5267476316264502,0.1587006636879174,0.0273310153664895,2026-08-30T18:51:35Z,,
822688,669364,Xavier Edwards,MIA,WSH,0,5,confirmed,Andrew Alvarez,Nationals Park,2026-08-30T16:15:00Z,3.986311725605409,1718,501,0.051344835097081,0.6446071466011082,0.3291249045471772,0.5034642233747683,0.6312875696367675,0.4270390169653601,0.2715530903314506,0.1586553572738941,0.5495454796700735,0.3139312596364282,0.1824243920183757,0.1312160096432937,0.6229417023594513,0.2407133736049667,0.0563187298850239,2026-08-30T18:51:35Z,,
