game_pk,pitcher_id,pitcher,team,opponent,expected_bf,starts_seen,career_starts,days_since_last_start,k_rate,expected_k,lineup_faced,prob_k_over_5.5,prob_k_over_6.5,k_dist,predicted_at_utc,start_time_utc
823900,808967,Yoshinobu Yamamoto,LAD,CIN,24.755110252695957,28,70,7.0,0.2485962521573521,7.096147582071044,9,0.713428178941279,0.5685142758934578,"0.000965,0.006388,0.021569,0.049435,0.086276,0.121939,0.144914,0.148450,0.133356,0.106337,0.075923,0.048835,0.028415,0.014995,0.007187,0.003130,0.001238,0.000445,0.000145,0.000043,0.000011,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-09T15:23:47Z,2026-09-10T02:10:00Z
824791,656492,Foster Griffin,CLE,BAL,23.34838242394978,28,28,5.0,0.21379518005066875,6.088548351416159,9,0.5698915531160293,0.412221391614801,"0.002909,0.015721,0.044199,0.085571,0.127364,0.154344,0.157670,0.138960,0.107407,0.073683,0.045256,0.025041,0.012535,0.005691,0.002346,0.000879,0.000299,0.000092,0.000026,0.000007,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-09T15:23:47Z,2026-09-09T22:35:00Z
823416,650911,Cristopher Sánchez,PHI,HOU,25.185466983107634,33,113,5.0,0.2606699252570508,5.958604254521571,9,0.550467110711958,0.39010033822968576,"0.002801,0.015969,0.046220,0.090377,0.133985,0.160182,0.160367,0.137842,0.103496,0.068723,0.040721,0.021671,0.010407,0.004525,0.001785,0.000639,0.000208,0.000062,0.000017,0.000004,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-09T15:23:47Z,2026-09-09T22:40:00Z
824713,687562,Jake Bennett,BOS,LAA,23.110235265583313,17,17,6.0,0.2060654702417931,5.774959224524542,9,0.5207162885306373,0.36213234683509066,"0.003792,0.019723,0.053243,0.098818,0.140767,0.162941,0.158584,0.132737,0.097085,0.062780,0.036207,0.018745,0.008753,0.003699,0.001417,0.000493,0.000156,0.000045,0.000012,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-09T15:23:47Z,2026-09-09T22:45:00Z
823739,701656,Logan Henderson,MIL,CHC,21.791021671826627,14,19,6.0,0.2575539533683422,5.564208877281633,9,0.4858375048890074,0.33293938693855635,"0.005851,0.026572,0.064083,0.109180,0.146302,0.162175,0.152898,0.124851,0.089505,0.056934,0.032395,0.016583,0.007665,0.003205,0.001212,0.000415,0.000128,0.000036,0.000009,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-09T15:23:47Z,2026-09-09T23:40:00Z
823497,701542,Will Warren,NYY,COL,22.492567875018956,30,64,10.0,0.21851972760384908,5.508981340541972,9,0.4770666550546351,0.32114453933238163,"0.005159,0.025000,0.063357,0.111272,0.150979,0.167166,0.155922,0.125071,0.087534,0.054025,0.029642,0.014549,0.006420,0.002557,0.000922,0.000302,0.000090,0.000024,0.000006,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-09T15:23:47Z,2026-09-09T23:05:00Z
823739,592332,Kevin Gausman,CHC,MIL,23.620480245707103,33,154,6.0,0.23589190358409723,5.405688378789756,9,0.45820820458512324,0.3021814445407275,"0.005005,0.025355,0.065954,0.116778,0.157398,0.171302,0.156027,0.121789,0.082835,0.049689,0.026523,0.012683,0.005459,0.002123,0.000748,0.000239,0.000069,0.000018,0.000004,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-09T15:23:47Z,2026-09-09T23:40:00Z
824549,663436,Davis Martin,CWS,PIT,22.72845757927943,27,68,7.0,0.20475952350226453,5.24614553406346,9,0.4311204797390763,0.2790163005826885,"0.006286,0.029886,0.073694,0.124927,0.162499,0.171589,0.152104,0.115732,0.076789,0.044953,0.023423,0.010933,0.004592,0.001741,0.000597,0.000185,0.000052,0.000013,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-09T15:23:47Z,2026-09-09T23:40:00Z
824226,805673,Zebby Matthews,MIN,DET,24.024985749572487,23,45,5.0,0.2001387247292417,5.215672216953101,9,0.4247684934022844,0.27274861118216986,"0.006002,0.029508,0.074309,0.127074,0.165150,0.173189,0.152020,0.114440,0.075144,0.043559,0.022482,0.010396,0.004324,0.001622,0.000550,0.000169,0.000047,0.000012,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-09T15:23:47Z,2026-09-09T17:10:00Z
823416,686613,Hunter Brown,HOU,PHI,22.889962247390628,19,108,6.0,0.2345659304751553,5.189613351108557,9,0.42135661133667973,0.2692725248001008,"0.006338,0.030410,0.075329,0.127705,0.165455,0.173407,0.152084,0.114143,0.074480,0.042750,0.021774,0.009905,0.004044,0.001486,0.000493,0.000147,0.000040,0.000010,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-09T15:23:47Z,2026-09-09T22:40:00Z
824956,680755,Braydon Fisher,TOR,ATH,22.657894736842106,0,0,,0.20764891322382611,5.014321087013835,9,0.3907378364934945,0.2439878384045167,"0.007856,0.035705,0.084368,0.137179,0.171096,0.173058,0.146750,0.106666,0.067526,0.037681,0.018705,0.008318,0.003331,0.001205,0.000395,0.000117,0.000032,0.000008,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-09T15:23:47Z,2026-09-09T19:05:00Z
823172,694918,Blade Tidwell,SF,STL,22.00860796851943,6,8,6.0,0.20557316175714124,4.939032432601546,9,0.37878913357326144,0.236082197535296,"0.009326,0.039925,0.089852,0.140829,0.171149,0.170129,0.142707,0.103126,0.065173,0.036432,0.018170,0.008136,0.003286,0.001201,0.000397,0.000119,0.000032,0.000008,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-09T15:23:47Z,2026-09-09T19:45:00Z
824549,669199,Lake Bachar,PIT,CWS,20.612650046168053,1,1,24.0,0.21422309695768788,4.882307722892871,9,0.3721247761042355,0.23414289455043197,"0.011485,0.045722,0.096017,0.142586,0.167655,0.164410,0.137982,0.100614,0.064450,0.036603,0.018574,0.008475,0.003493,0.001305,0.000442,0.000136,0.000038,0.000010,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-09T15:23:47Z,2026-09-09T23:40:00Z
824871,643377,Griffin Jax,TB,ATL,19.8454671922096,18,18,7.0,0.23722597357905142,4.809670119866209,9,0.36139227830279386,0.2276758297334283,"0.013071,0.050425,0.101935,0.145889,0.166687,0.160600,0.133716,0.097387,0.062568,0.035723,0.018242,0.008374,0.003466,0.001296,0.000438,0.000134,0.000037,0.000009,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-09T15:23:47Z,2026-09-09T23:15:00Z
824791,669358,Shane Baz,BAL,CLE,23.82330827067669,31,79,5.0,0.21017326791343716,4.808879584691452,9,0.3533325842231676,0.21219143695162374,"0.008782,0.040188,0.094098,0.149378,0.179863,0.174359,0.141141,0.097744,0.058890,0.031234,0.014705,0.006179,0.002327,0.000787,0.000239,0.000065,0.000016,0.000004,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-09T15:23:47Z,2026-09-09T22:35:00Z
