game_date,pitcher,pitcher_id,team,opponent,starts_seen,expected_bf,expected_k,k_rate,batters_faced,strikeouts,innings_pitched,prob_k_over_5.5,prob_k_over_6.5,k_error,bf_error,career_starts,days_since_last_start,outs_recorded,expected_outs,implied_baserunners,prob_outs_over_14.5,prob_outs_over_15.5,prob_outs_over_16.5,prob_outs_over_17.5,prob_outs_over_18.5,outs_error,k_dist,outs_dist,k_rate_base,velo_z_used,velo_base,velo_recent,velo_drop,velo_state,kform_base,kform_recent,kform_z,kform_state
2026-09-01,Grayson Rodriguez,680570,LAA,NYY,15,21.822550268156625,5.7514665978469175,0.2125663668348425,26,7,6.0,0.5155291104845997,0.3610124192368264,-1.2485334021530825,-4.177449731843375,,,18.0,,,,,,,,,"0.004616,0.022433,0.057042,0.101132,0.139838,0.159409,0.154517,0.129833,0.095859,0.062849,0.036907,0.019549,0.009391,0.004108,0.001640,0.000598,0.000199,0.000060,0.000016,0.000004,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-01,Nick Lodolo,666157,CIN,SD,20,22.506244545857715,5.711810930426846,0.2100150617973745,24,5,6.0,0.5096623299805316,0.3530907214131346,0.7118109304268456,-1.4937554541422848,,,18.0,,,,,,,,,"0.004330,0.021701,0.056656,0.102301,0.142696,0.162655,0.156572,0.130023,0.094571,0.060936,0.035092,0.018187,0.008527,0.003630,0.001406,0.000496,0.000159,0.000046,0.000012,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-01,Bryan Woo,693433,SEA,BOS,29,22.87549674429334,5.562097533558395,0.2525169892739221,25,7,6.0,0.4844866010646994,0.3281939889653644,-1.437902466441605,-2.12450325570666,,,18.0,,,,,,,,,"0.004695,0.023568,0.061248,0.109337,0.149815,0.166850,0.156293,0.125963,0.088781,0.055405,0.030909,0.015528,0.007062,0.002917,0.001096,0.000374,0.000116,0.000033,0.000008,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-01,Gabriel Hughes,687312,COL,BAL,9,22.401769363699675,5.344602169502113,0.2084456182141439,20,4,4.666666666666667,0.4476522249103968,0.2959172022443569,1.3446021695021129,2.401769363699674,,,14.0,,,,,,,,,"0.006222,0.029079,0.071063,0.120329,0.157431,0.168223,0.151735,0.118103,0.080593,0.048788,0.026427,0.012884,0.005675,0.002261,0.000815,0.000266,0.000078,0.000021,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-01,Gavin Williams,668909,CLE,TOR,31,23.470707010719483,5.151717027647837,0.2954133824631649,25,13,7.0,0.4136371806219552,0.2632400743034022,-7.848282972352163,-1.529292989280517,,,21.0,,,,,,,,,"0.006444,0.031199,0.077391,0.130502,0.167415,0.173412,0.150397,0.111884,0.072612,0.041613,0.021241,0.009714,0.003996,0.001482,0.000496,0.000149,0.000041,0.000010,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-01,Matthew Boyd,571510,CHC,MIL,21,23.1091144078866,4.996540220270033,0.1964729012162344,22,3,5.333333333333333,0.3866408455757865,0.2405885839500188,1.9965402202700329,1.1091144078866009,,,16.0,,,,,,,,,"0.007677,0.035649,0.085176,0.138831,0.172573,0.173451,0.146052,0.105499,0.066485,0.037011,0.018370,0.008185,0.003290,0.001196,0.000394,0.000117,0.000032,0.000008,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-01,Eric Lauer,641778,LAD,STL,17,22.20756867662145,4.975186330276843,0.1852808451141836,18,2,3.0,0.3843461563977909,0.2396236940366278,2.975186330276843,4.207568676621449,,,9.0,,,,,,,,,"0.008433,0.037598,0.087152,0.139318,0.171431,0.171722,0.144722,0.104848,0.066293,0.036989,0.018363,0.008161,0.003261,0.001175,0.000382,0.000112,0.000030,0.000007,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-01,Sean Manaea,640455,NYM,TB,17,23.175310612105324,4.886754877426604,0.224149424452577,29,2,5.666666666666667,0.3675591831525482,0.2244319944621486,2.886754877426604,-5.824689387894676,,,17.0,,,,,,,,,"0.008496,0.038641,0.090533,0.144727,0.176375,0.173669,0.143127,0.101072,0.062180,0.033733,0.016284,0.007040,0.002739,0.000962,0.000305,0.000088,0.000023,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-01,Sean Burke,680732,CWS,HOU,25,22.48835825867628,4.866182210460771,0.2475962123259738,22,6,5.666666666666667,0.3648406522619146,0.2236010819662567,-1.1338177895392292,0.4883582586762784,,,17.0,,,,,,,,,"0.009267,0.040681,0.092768,0.145533,0.175304,0.171607,0.141240,0.099962,0.061816,0.033797,0.016482,0.007216,0.002850,0.001018,0.000330,0.000097,0.000026,0.000006,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-01,Eduardo Rodriguez,593958,AZ,PHI,32,24.248071942307508,4.85743709257177,0.1924496884766358,25,3,5.0,0.3611952965456992,0.2176596157052449,1.8574370925717696,-0.751928057692492,,,15.0,,,,,,,,,"0.007978,0.037793,0.090778,0.146894,0.179465,0.175896,0.143536,0.099958,0.060444,0.032137,0.015160,0.006386,0.002413,0.000820,0.000250,0.000069,0.000017,0.000004,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
