game_pk,player_id,name,team,opponent,is_home,lineup_slot,lineup_status,opposing_pitcher,venue_name,start_time_utc,expected_pa,batter_pa_seen,pitcher_pa_seen,form_z,form_state,prob_hr,prob_hit,prob_walk,prob_k,prob_hrr_over_0.5,prob_hrr_over_1.5,prob_hrr_over_2.5,prob_hrr_over_3.5,prob_tb_over_0.5,prob_tb_over_1.5,prob_tb_over_2.5,prob_tb_over_3.5,prob_hits_over_0.5,prob_hits_over_1.5,prob_hits_over_2.5,predicted_at_utc
822689,682928,CJ Abrams,WSH,MIA,1,1,projected,Ryan Gusto,Nationals Park,2026-08-31T22:45:00Z,4.4821958620350575,2726,734,-1.64256123671441,Normal,0.16421943033037736,0.7047444970173542,0.3739325429713366,0.6450155562023696,0.7408899333699848,0.5478195704707288,0.3798714275278742,0.24451278557226927,0.6936961194240037,0.45678016017519063,0.2917779119413833,0.20742863438074696,0.6792851729048137,0.3013805095926707,0.08538118881481764,2026-08-31T00:05:21Z
822689,669364,Xavier Edwards,MIA,WSH,0,1,projected,Will Dion,Nationals Park,2026-08-31T22:45:00Z,4.738262975822657,1580,140,0.02467230775698145,Normal,0.06962692307377603,0.727784087004333,0.3490895487042038,0.5958673557293243,0.7147542212271977,0.5178275693950299,0.35242586168564727,0.22260686516354192,0.6309638704064546,0.39095902320573206,0.2397119521864215,0.1706744089167972,0.7005632237385859,0.3286988290066206,0.10112222955826808,2026-08-31T00:05:21Z
822689,691781,Brady House,WSH,MIA,1,2,projected,Ryan Gusto,Nationals Park,2026-08-31T22:45:00Z,4.219708724378533,526,734,0.062436409202471566,Normal,0.09995547483247336,0.6435181692217627,0.23941776494339204,0.7341664763594269,0.6656427336643305,0.46090923235394266,0.29944257792962137,0.17937928338556802,0.5923906477135671,0.35127332519822185,0.20848992082209616,0.14855341446143977,0.6225216074906993,0.23978292792559383,0.05637823297433059,2026-08-31T00:05:21Z
822689,665923,Esteury Ruiz,MIA,WSH,0,2,projected,Will Dion,Nationals Park,2026-08-31T22:45:00Z,4.332427945654891,817,140,-1.1926057605683682,Normal,0.1056862459361248,0.6306814183641839,0.3891550920686596,0.7576114935782693,0.6539395560108267,0.4497081143346155,0.29060639714714875,0.17326151395479744,0.5943973034292422,0.3542725417245361,0.21131008009883084,0.15067587229782511,0.6104995000845644,0.23032280933389926,0.0537546112443026,2026-08-31T00:05:21Z
822689,665953,Andrés Chaparro,WSH,MIA,1,3,projected,Ryan Gusto,Nationals Park,2026-08-31T22:45:00Z,3.981732608156488,370,734,1.1251897794920853,Normal,0.11915950394120545,0.6048437605970421,0.3548818265454852,0.6030244983839875,0.6527303850222602,0.44642406533813456,0.28634636188457485,0.16898666003875712,0.5948431644058186,0.35260569826263943,0.20896031025973238,0.14872508946922117,0.5864927856320524,0.2056025419945808,0.04270318276670483,2026-08-31T00:05:21Z
822689,805300,Jakob Marsee,MIA,WSH,0,3,projected,Will Dion,Nationals Park,2026-08-31T22:45:00Z,4.332427945654891,752,140,0.9815584383177884,Normal,0.08762833441938993,0.6273195246317134,0.42272955794772415,0.6578695613630589,0.649083367635466,0.44450636105656244,0.28597628598317754,0.16960660027769592,0.5854577116682932,0.34577259081147993,0.20491357531553778,0.146209378425062,0.6073645203621802,0.2271022328429011,0.05215655509561777,2026-08-31T00:05:21Z
822689,695734,Daylen Lile,WSH,MIA,1,4,projected,Ryan Gusto,Nationals Park,2026-08-31T22:45:00Z,3.981732608156488,918,734,1.4467918493840384,Normal,0.13305492048764922,0.6771247320496484,0.279648437118802,0.5279186962344352,0.7033804805490903,0.5013338568159021,0.3343470027748786,0.20572080392824202,0.6591494004994168,0.41629037737490393,0.2570181670787368,0.18175309482188012,0.6537533443643354,0.26928082137016196,0.06711015182340208,2026-08-31T00:05:21Z
822689,672640,Otto Lopez,MIA,WSH,0,4,projected,Will Dion,Nationals Park,2026-08-31T22:45:00Z,4.332427945654891,1615,140,-0.7119002076786808,Normal,0.09480163457709506,0.6881344051404729,0.2537229083302876,0.5098369332162613,0.6942563162692867,0.4925584839950092,0.32777570193874156,0.2016643582151458,0.6222793726731513,0.3803767658294277,0.23046961021245224,0.16381652492138882,0.6639297801823095,0.2829528067495521,0.07560661733164935,2026-08-31T00:05:21Z
822689,660688,Keibert Ruiz,WSH,MIA,1,5,projected,Ryan Gusto,Nationals Park,2026-08-31T22:45:00Z,3.9817326081564883,2035,734,0.8166396452944636,Normal,0.10072167243463509,0.6704747756448417,0.26214564653912853,0.37792030384827185,0.6728788671103075,0.4669596262845631,0.3034274332329289,0.18146498570351444,0.613127727873343,0.3691766500926687,0.2207107678509461,0.15660801466098964,0.6476428107929905,0.26179617702347013,0.0634658192914397,2026-08-31T00:05:21Z
822689,682663,Agustín Ramírez,MIA,WSH,0,5,projected,Will Dion,Nationals Park,2026-08-31T22:45:00Z,4.291629815889061,770,140,-0.7843236865915959,Normal,0.12423387211743583,0.6253658937264113,0.3203749436676679,0.6665311226764988,0.6690354564310947,0.46460648070616056,0.30275859687402074,0.1820154216569273,0.6093663237365924,0.3674239892946694,0.22052529742941038,0.15688210063552233,0.6056059001816055,0.22416012918956302,0.050484592740995586,2026-08-31T00:05:21Z
822689,686611,Dylan Crews,WSH,MIA,1,6,projected,Ryan Gusto,Nationals Park,2026-08-31T22:45:00Z,3.9817326081564883,804,734,-0.1612881274858952,Normal,0.09356387262170625,0.5979935766745489,0.29670086399590645,0.6541470773135297,0.6391119436417285,0.4315983819928977,0.27322050465303693,0.1587664242734116,0.5590895630449776,0.31951755913352,0.184819130900733,0.1321918778524372,0.5801419128916903,0.19879642632819336,0.039567528073621,2026-08-31T00:05:21Z
822689,669065,Kyle Stowers,MIA,WSH,0,6,projected,Will Dion,Nationals Park,2026-08-31T22:45:00Z,4.049510036409806,1217,140,-0.12927610021255112,Normal,0.13859158366654767,0.6288675765336803,0.3328573789330213,0.8115518292363882,0.6707369203228238,0.46545231205520554,0.30274739872824585,0.181436767244164,0.6272414073146507,0.3838164113281849,0.23222702129716355,0.1647309987214105,0.6089245133275019,0.225587249506891,0.05003649782221416,2026-08-31T00:05:21Z
822689,677588,José Tena,WSH,MIA,1,7,projected,Ryan Gusto,Nationals Park,2026-08-31T22:45:00Z,3.499863076400473,621,734,0.0295239927431435,Normal,0.08909987532008787,0.6037595029493112,0.3092687750539039,0.6163780127718922,0.6214268254277583,0.4121341877362483,0.2560478472830004,0.14551079340874787,0.5642032044435032,0.32216782650210485,0.18586370696219784,0.13275373016728945,0.5856868341324509,0.2004091685820248,0.038755508187548866,2026-08-31T00:05:21Z
822689,681715,Heriberto Hernández,MIA,WSH,0,7,projected,Will Dion,Nationals Park,2026-08-31T22:45:00Z,3.8382216763612425,682,140,0.8097669029186765,Normal,0.16819913799847622,0.5914923590802122,0.32471452962043806,0.739060688580112,0.6617255327124796,0.45508057503002364,0.29321973943134033,0.1737874298521432,0.6154950362455497,0.37144880783439405,0.22245593282588302,0.15784839396105346,0.574044828214328,0.1940762976610925,0.03824538502066107,2026-08-31T00:05:21Z
822689,696285,Jacob Young,WSH,MIA,1,8,projected,Ryan Gusto,Nationals Park,2026-08-31T22:45:00Z,3.4998630764004726,1421,734,0.8636796302460601,Normal,0.056895591224829165,0.5746993265167549,0.26713047572009785,0.4755726132289096,0.5952307050786039,0.3868735549132814,0.23574549386292237,0.13105490325304198,0.5063462377103759,0.27401274407231835,0.15309499563711423,0.11073994040622975,0.5584716293609924,0.1780909879492406,0.03154202920253909,2026-08-31T00:05:21Z
822689,677870,Leo Jiménez,MIA,WSH,0,8,projected,Will Dion,Nationals Park,2026-08-31T22:45:00Z,3.4310783882313745,430,140,0.44592505280628925,Normal,0.0832141006109234,0.5189669422967141,0.3372875265612124,0.6124138335348689,0.5527539135626202,0.34873138925966524,0.206745408695258,0.11145083805040683,0.4902941841423655,0.2618599230273653,0.14532746729373475,0.10557623597504952,0.5059217667636665,0.14122916402124633,0.021820741874926004,2026-08-31T00:05:21Z
822689,683083,Nasim Nuñez,WSH,MIA,1,9,projected,Ryan Gusto,Nationals Park,2026-08-31T22:45:00Z,3.3296636343760166,622,734,-1.9575979847832818,Normal,0.06615958956104047,0.5473820597055462,0.31880169789916163,0.45228200558835735,0.5780744462036729,0.3696626408809073,0.2215601210570957,0.12075298708086098,0.48382745131557187,0.2554931233738737,0.14059054247441433,0.10235307898638676,0.5329041399107127,0.1569809905163412,0.024773358364858184,2026-08-31T00:05:21Z
822689,691594,Javier Sanoja,MIA,WSH,0,9,projected,Will Dion,Nationals Park,2026-08-31T22:45:00Z,3.3256777309413446,760,140,1.1159244996835382,Normal,0.07840811420604268,0.570237914438179,0.19937424208014076,0.3564580016856753,0.5970664944955358,0.387759738954265,0.2360208598646038,0.1310222589791602,0.5388832548460595,0.2995808648161628,0.16995281612978674,0.12206517874203067,0.5543686127452941,0.17369057733211596,0.02997180564960064,2026-08-31T00:05:21Z
822855,607043,Brandon Nimmo,TEX,ATH,1,1,projected,Gage Jump,Globe Life Field,2026-09-01T00:05:00Z,4.5462728358117985,3226,387,-1.8662737719477847,Normal,0.11143672846576666,0.6775766794393953,0.4076608861696694,0.6759924446714908,0.7010004146233181,0.5010822201044361,0.336250356249468,0.20898033434192448,0.6345372437449327,0.39358914765947417,0.24118684643748892,0.17151077823411529,0.6541135952656527,0.27406671508036134,0.07271458563909418,2026-08-31T00:05:21Z
822855,671732,Lawrence Butler,ATH,TEX,0,1,projected,Jacob deGrom,Globe Life Field,2026-09-01T00:05:00Z,4.538046755629928,1643,1612,1.507021124745214,Normal,0.15600118035922186,0.6237171990876306,0.34620992721802885,0.8144237025367043,0.6734652334923215,0.4711811765457279,0.3098046171340152,0.18837803868629446,0.6274032747041305,0.3869737761617663,0.2363521638634019,0.16819397688154353,0.6039540234189218,0.225514850482979,0.05249658186041513,2026-08-31T00:05:21Z
822855,608369,Corey Seager,TEX,ATH,1,2,projected,Gage Jump,Globe Life Field,2026-09-01T00:05:00Z,4.446038163695063,2499,387,0.26387361642692425,Normal,0.16998135384086605,0.6775727239249177,0.4167511430292693,0.6492588501372373,0.728213595815559,0.532051759790362,0.3644738829481696,0.23146854359283575,0.6699208271451867,0.42989854900244784,0.2694378333168097,0.1912889990204166,0.6541369167133699,0.2729844598043465,0.07151223231553851,2026-08-31T00:05:21Z
822855,666126,Carlos Cortes,ATH,TEX,0,2,projected,Jacob deGrom,Globe Life Field,2026-09-01T00:05:00Z,4.227063746397614,420,1612,-2.076594954400254,Cold,0.1211072921497791,0.6201107517752891,0.2714278610014119,0.6839554160422098,0.6383637225008532,0.43364538324959856,0.27691886512511393,0.16293103213548765,0.5994310263760677,0.35895822395259885,0.21473691571885165,0.15301916108670346,0.6006342572399368,0.22121390894997095,0.050138041623881725,2026-08-31T00:05:21Z
822855,694671,Wyatt Langford,TEX,ATH,1,3,projected,Gage Jump,Globe Life Field,2026-09-01T00:05:00Z,4.3083208554123855,1494,387,1.876559171502926,Normal,0.1344054373970292,0.6617247540140735,0.4962047856410788,0.6587443162490868,0.7050852400713743,0.5042248412269633,0.3379411051937504,0.20942794703500878,0.6396652890574067,0.39721758591929734,0.24305764828870127,0.17247361678910741,0.6394616108052088,0.25638162545969884,0.06328357448040409,2026-08-31T00:05:21Z
822855,680869,Zack Gelof,ATH,TEX,0,3,projected,Jacob deGrom,Globe Life Field,2026-09-01T00:05:00Z,4.227063746397614,1275,1612,-0.31607133266242726,Normal,0.1282236122508299,0.6092615858229936,0.24437017111525414,0.8550281885414671,0.6507034278209781,0.446230349168206,0.2873984643083449,0.17060804465230242,0.5974698891660888,0.3569681021743528,0.21306163700603245,0.15175585346851972,0.590486713370135,0.21195806221587396,0.046250414978990365,2026-08-31T00:05:21Z
822855,592626,Joc Pederson,TEX,ATH,1,4,projected,Gage Jump,Globe Life Field,2026-09-01T00:05:00Z,3.8840335783366693,2015,387,-1.9671643364186988,Normal,0.15221503183862953,0.58638105137808,0.4327185415501669,0.6603460553561424,0.6554669648910879,0.44864064126498415,0.2877525610354564,0.16967728352282113,0.6014644341537809,0.35814784203151645,0.21262854819244925,0.1510999761662504,0.569243109924176,0.1902609254545427,0.03695075844767059,2026-08-31T00:05:21Z
822855,643446,Jeff McNeil,ATH,TEX,0,4,projected,Jacob deGrom,Globe Life Field,2026-09-01T00:05:00Z,4.227063746397614,2590,1612,1.315711105093808,Normal,0.09538007716115236,0.6407578513762706,0.24988889416679988,0.5223677413519286,0.646242047684787,0.4408117791120394,0.28233856333818036,0.1665308056817328,0.5900949401007134,0.3492968990120039,0.2071227754026145,0.14763768237438293,0.6199421378464931,0.23758370951215108,0.05564314354901998,2026-08-31T00:05:21Z
822855,553869,Elias Díaz,TEX,ATH,1,5,projected,Gage Jump,Globe Life Field,2026-09-01T00:05:00Z,3.8840335783366697,1724,387,-1.0893269394026808,Normal,0.09910963483388478,0.6216366766311033,0.2827488919340957,0.6254171209530868,0.6345296113015192,0.42692304584839674,0.2692937879884426,0.15585014771967973,0.5788151136058239,0.3369254134310071,0.19708805312418476,0.14048104803342207,0.6022395207036175,0.2177775081395462,0.046081788565847305,2026-08-31T00:05:21Z
822855,641680,Jonah Heim,ATH,TEX,0,5,projected,Jacob deGrom,Globe Life Field,2026-09-01T00:05:00Z,4.11175245692763,2195,1612,-0.9483544465992249,Normal,0.12186765666906642,0.5682337806863484,0.2532725731344835,0.6778505388400129,0.6163986188976978,0.4103464982248251,0.2566328053150954,0.14733101929120024,0.5585135228504157,0.32030102415705614,0.18602501896950938,0.13316767995814413,0.5521374379697267,0.1783606711712249,0.03398210493261236,2026-08-31T00:05:21Z
822855,669394,Jake Burger,TEX,ATH,1,6,projected,Gage Jump,Globe Life Field,2026-09-01T00:05:00Z,3.8840335783366693,2192,387,-0.23372688401239264,Normal,0.16989243825722386,0.6298620773874813,0.32115635477611393,0.6973102039445647,0.6847436225769145,0.47934638779511646,0.3138952668989332,0.18920265946374895,0.6423693963193574,0.3976246489593269,0.2418613806292254,0.17102381705477943,0.6099172966754264,0.2244100750616239,0.04825967440259901,2026-08-31T00:05:21Z
822855,691777,Max Muncy,ATH,TEX,0,6,projected,Jacob deGrom,Globe Life Field,2026-09-01T00:05:00Z,3.958817313510362,440,1612,-0.037735012762390746,Normal,0.10818754108144121,0.5704526184195542,0.23981061736308254,0.8533899241402123,0.6079789516098774,0.40162320728947654,0.24918100028833803,0.14169788797355737,0.5533351963831588,0.3152339849914404,0.18218486984813081,0.13049558536807856,0.5542646137259841,0.17911713868388543,0.03378911808098237,2026-08-31T00:05:21Z
822855,681351,Logan O'Hoppe,TEX,ATH,1,7,projected,Gage Jump,Globe Life Field,2026-09-01T00:05:00Z,3.799839101300593,1456,387,-0.7616052412725015,Normal,0.11792641963491636,0.5983269463304549,0.28306144428682606,0.692351301240368,0.6352965741322546,0.4270262509936754,0.26893220877846696,0.15527620544297335,0.5690688074617418,0.3275640294150851,0.19012568359926998,0.1356987663077625,0.5805063535097487,0.19794026485945454,0.03870207458544949,2026-08-31T00:05:21Z
822855,687231,Darell Hernaiz,ATH,TEX,0,7,projected,Jacob deGrom,Globe Life Field,2026-09-01T00:05:00Z,3.787316365422014,476,1612,-1.0800496869951444,Normal,0.06581309845424567,0.5577436537853423,0.23709521204116757,0.6012108936131841,0.5497357503260966,0.34754925712193324,0.20668570844045353,0.11192769468494805,0.4953330459784607,0.2671174443180714,0.14928453031594513,0.10825001102880567,0.5423656361450476,0.16910386759315948,0.030311430067165232,2026-08-31T00:05:21Z
822855,677649,Ezequiel Duran,TEX,ATH,1,8,projected,Gage Jump,Globe Life Field,2026-09-01T00:05:00Z,3.5578595563808033,1656,387,-0.28057047908639965,Normal,0.0849819210707103,0.6187015689412337,0.29293585409783957,0.6178422067146105,0.6350349817059571,0.42554121397378775,0.26692764671018226,0.1532973369708362,0.5685534775751209,0.325938686516663,0.18845474896193615,0.13447919494982472,0.5996443969929688,0.2123207085482927,0.04262613714864872,2026-08-31T00:05:21Z
822855,661531,Brian Serven,ATH,TEX,0,8,projected,Jacob deGrom,Globe Life Field,2026-09-01T00:05:00Z,3.5400551277501893,349,1612,-1.203829235701938,Normal,0.09027691268243147,0.5183230475918525,0.1831786434082371,0.7578423382272588,0.5467820453047488,0.3439854022905755,0.2034510934216242,0.10940523446904771,0.49707806666035975,0.2675296936868478,0.1491936913283202,0.1081757019745086,0.5052659795183133,0.14151454162546068,0.022107749676535164,2026-08-31T00:05:21Z
822855,670032,Nicky Lopez,TEX,ATH,1,9,projected,Gage Jump,Globe Life Field,2026-09-01T00:05:00Z,3.365933615587257,1437,387,-2.129321139725474,Cold,0.04484390714558699,0.5458263039528938,0.2779544387838861,0.46719616799124786,0.5479210825923103,0.34320163291385475,0.20178201252980035,0.10758519753144853,0.4647833435770448,0.24158299968158958,0.13180689808095153,0.09646178302290567,0.5314148136030898,0.156312938398368,0.02474251356154437,2026-08-31T00:05:21Z
822855,675961,Alika Williams,ATH,TEX,0,9,projected,Jacob deGrom,Globe Life Field,2026-09-01T00:05:00Z,3.1231639022310134,374,1612,0.814640239162867,Normal,0.05522527844992521,0.5053761577842697,0.15698205468262608,0.6699538816790949,0.5088405232904358,0.3094152080369273,0.17679812688741575,0.09111389441191549,0.4645230951293909,0.240534885961491,0.1308856948837157,0.09588733499883911,0.4932819041120855,0.12958352151652613,0.017843986144130814,2026-08-31T00:05:21Z
822932,650490,Yandy Díaz,TB,NYM,1,1,projected,Robert Stock,Tropicana Field,2026-08-31T22:40:00Z,4.520611796757981,3009,120,0.41984763247857637,Normal,0.11562882816048234,0.7379096777244589,0.4315879621418346,0.5102593279016855,0.7473441627579401,0.555899479574902,0.3878196891717792,0.25130040087806893,0.6699116346995284,0.43050904793948813,0.2703141049184357,0.1920687568504644,0.7099180674309256,0.3383475280692271,0.10484059143053395,2026-08-31T00:05:21Z
822932,543760,Marcus Semien,NYM,TB,0,1,projected,Ian Seymour,Tropicana Field,2026-08-31T22:40:00Z,4.78154939185014,3187,689,1.0201661968052362,Normal,0.13612689204818965,0.6521718688380449,0.3379265685734717,0.6868221566701379,0.7047872381949389,0.5064481565111983,0.3419864212512377,0.21421557183698714,0.6277613584464198,0.3878687948223912,0.2374029112126853,0.16908431381027605,0.6304601412637909,0.2515947104577393,0.06384907324050645,2026-08-31T00:05:21Z
822932,656775,Cedric Mullins,TB,NYM,1,2,projected,Robert Stock,Tropicana Field,2026-08-31T22:40:00Z,4.292506689286578,2547,120,0.5592676638829748,Normal,0.12563981681725758,0.6326157145543603,0.459373486621044,0.5936574464727854,0.6868622520021672,0.4840657329515901,0.31995430466093544,0.19535645380762237,0.6133581260583033,0.3713783034584668,0.22351726284898701,0.15894481681559097,0.6123568689921816,0.23053684761720553,0.052973654211533,2026-08-31T00:05:21Z
822932,596019,Francisco Lindor,NYM,TB,0,2,projected,Ian Seymour,Tropicana Field,2026-08-31T22:40:00Z,4.6967016496551315,3159,689,-0.4405594671976504,Normal,0.18433424408704022,0.6704107238063322,0.35230187352709796,0.71178918582921,0.7318799054910808,0.5377877942474982,0.3710344668497063,0.23778232558321313,0.6764686355882635,0.4385158240829786,0.277396955105675,0.19739827869582685,0.6474377317496564,0.2681925825492581,0.07081633403341603,2026-08-31T00:05:21Z
822932,802415,Chandler Simpson,TB,NYM,1,3,projected,Robert Stock,Tropicana Field,2026-08-31T22:40:00Z,4.265409795424043,956,120,2.0145946947796083,Hot,0.06332428711174959,0.7373283463414205,0.3206163733319632,0.36686595577822934,0.7070735302203522,0.5063128456302877,0.3396903827694629,0.21069520091580937,0.6294230592520483,0.38670687466276316,0.23486301012952387,0.16672177932397714,0.7093852966522947,0.3346496057212217,0.10033619144224097,2026-08-31T00:05:21Z
822932,665742,Juan Soto,NYM,TB,0,3,projected,Ian Seymour,Tropicana Field,2026-08-31T22:40:00Z,4.587014734893632,3167,689,-0.9088226512301992,Normal,0.2367450740076403,0.6468432128505284,0.5410749783794503,0.6236924962348643,0.7320175143530914,0.5374086892080652,0.3702324427100022,0.23677112599542927,0.695766663505192,0.45955560778849047,0.29442906097753296,0.20952977038178364,0.6255471283530388,0.24530147546777095,0.06033915047792375,2026-08-31T00:05:21Z
822932,666018,Jonathan Aranda,TB,NYM,1,4,projected,Robert Stock,Tropicana Field,2026-08-31T22:40:00Z,4.1214596355226645,1331,120,-0.5923752519596421,Normal,0.11063914910074915,0.6742587205843832,0.45994905760687554,0.6418957337382319,0.7076426173266657,0.5060877223610252,0.3387805902569624,0.20941679121341678,0.6212008214566589,0.377687268561652,0.227502497548231,0.16144110280402516,0.6511342359242556,0.26653696581406894,0.06637950806840026,2026-08-31T00:05:21Z
822932,666182,Bo Bichette,NYM,TB,0,4,projected,Ian Seymour,Tropicana Field,2026-08-31T22:40:00Z,4.480034786389066,2843,689,-0.030555834763169924,Normal,0.11262359175387558,0.6949860601452172,0.26838450206803793,0.658960254319111,0.7127560952120656,0.5141124810437534,0.34790253471981203,0.21811970300210884,0.6421023092795479,0.40085131334200924,0.24659032197604916,0.1752265914188067,0.6702694791720126,0.29086601746905744,0.08013081545821896,2026-08-31T00:05:21Z
822932,691406,Junior Caminero,TB,NYM,1,5,projected,Robert Stock,Tropicana Field,2026-08-31T22:40:00Z,4.121459635522665,1458,120,1.186549375536898,Normal,0.18933588009433897,0.6691480132444826,0.3740541430382324,0.5471431654977726,0.742745789438963,0.5475441211888277,0.3773815686941111,0.2406059341397555,0.676806313578148,0.4350752578782144,0.2720162609088068,0.19238706919902337,0.6463974743604355,0.26138213525012344,0.06394780996439299,2026-08-31T00:05:21Z
