pitcher_id,name,game_date,opp,home,pitches,bf,k,last_inning,velo
640455,Sean Manaea,2026-09-15,BAL,True,67,19,6,6,90.73243243243243
640455,Sean Manaea,2026-09-08,MIA,False,61,20,4,6,90.83548387096775
640455,Sean Manaea,2026-09-01,TB,False,86,29,2,6,90.98627450980392
640455,Sean Manaea,2026-08-27,MIL,True,95,27,3,6,88.77121212121212
640455,Sean Manaea,2026-08-21,CWS,False,93,25,4,6,92.09666666666666
640455,Sean Manaea,2026-08-15,WSH,True,93,27,7,7,92.00806451612904
640455,Sean Manaea,2026-08-09,PIT,False,91,25,11,7,92.80727272727272
640455,Sean Manaea,2026-08-04,CLE,False,100,28,7,6,91.26455696202531
640455,Sean Manaea,2026-07-29,ATL,True,89,24,4,6,91.44426229508197
640455,Sean Manaea,2026-07-24,LAD,True,84,24,3,6,90.90923076923077
669467,Andre Pallante,2026-09-15,SF,True,99,27,2,5,95.01967213114754
669467,Andre Pallante,2026-09-09,SF,False,88,19,4,6,95.78510638297871
669467,Andre Pallante,2026-09-04,COL,False,72,20,1,5,95.58888888888889
669467,Andre Pallante,2026-08-17,CIN,False,88,25,5,6,95.35121951219513
669467,Andre Pallante,2026-08-11,PHI,True,97,22,2,6,95.47551020408163
669467,Andre Pallante,2026-08-05,NYY,False,103,21,4,6,95.18307692307691
669467,Andre Pallante,2026-07-30,CHC,True,90,27,3,7,95.55111111111111
669467,Andre Pallante,2026-07-25,CIN,True,90,24,8,7,94.72749999999999
669467,Andre Pallante,2026-07-19,AZ,False,88,22,3,6,95.60851063829789
669467,Andre Pallante,2026-07-09,MIL,True,97,25,2,6,95.20212765957447
453286,Max Scherzer,2026-09-16,DET,True,73,20,3,5,91.25581395348837
453286,Max Scherzer,2026-09-11,BAL,True,83,23,3,5,91.54
453286,Max Scherzer,2026-09-05,KC,False,76,24,2,6,91.65681818181818
453286,Max Scherzer,2026-08-30,SEA,True,97,23,10,7,92.27592592592592
453286,Max Scherzer,2026-08-25,KC,True,92,23,4,5,92.58200000000001
453286,Max Scherzer,2026-08-19,TB,False,73,21,1,4,92.33636363636364
453286,Max Scherzer,2026-08-13,BOS,True,92,20,4,5,91.71764705882353
453286,Max Scherzer,2026-08-08,PHI,False,84,21,4,6,94.17837837837837
453286,Max Scherzer,2026-08-02,STL,True,84,23,5,6,93.25750000000001
453286,Max Scherzer,2026-07-27,WSH,False,75,15,4,3,93.74242424242425
671096,Andrew Abbott,2026-09-16,LAD,True,98,22,5,5,91.08695652173913
671096,Andrew Abbott,2026-09-11,MIL,False,43,15,0,2,91.57307692307693
671096,Andrew Abbott,2026-09-05,MIL,True,58,15,5,4,91.98333333333333
671096,Andrew Abbott,2026-08-29,CHC,False,68,19,1,4,91.6741935483871
671096,Andrew Abbott,2026-08-23,AZ,False,88,26,6,7,92.00487804878048
671096,Andrew Abbott,2026-08-18,STL,True,98,26,6,7,91.84468085106383
671096,Andrew Abbott,2026-08-13,CWS,False,93,23,3,5,91.51041666666667
671096,Andrew Abbott,2026-08-06,ATH,True,88,27,4,7,91.64761904761905
671096,Andrew Abbott,2026-08-01,PIT,True,98,23,1,5,91.56486486486487
671096,Andrew Abbott,2026-07-26,STL,False,100,24,4,6,91.05777777777779
