game_pk,game_date,home_team,away_team,home_runs,away_runs,total_runs,home_lineup_runs,away_lineup_runs,home_win_prob,away_win_prob,home_hitters,away_hitters,predicted_at_utc,start_time_utc
823326,2026-09-24,PIT,STL,4.380051149148082,4.064683525181783,8.444734674329865,4.211602030115401,3.9083628942921873,0.5358322340881867,0.4641677659118133,9,9,2026-09-24T19:19:40Z,2026-09-24T16:35:00Z
824059,2026-09-24,KC,CWS,4.335569109132475,4.940088677229135,9.27565778636161,4.168830691687117,4.7501014927679615,0.45881657551407895,0.541183424485921,9,9,2026-09-24T19:19:40Z,2026-09-24T18:10:00Z
824623,2026-09-24,CHC,MIA,4.77309003655944,4.49456366067149,9.26765369723093,4.589525328216139,4.3217105903999995,0.5303445461920222,0.4696554538079778,9,9,2026-09-24T19:19:40Z,2026-09-24T18:20:00Z
822842,2026-09-24,TEX,NYM,4.537611688663089,4.786305424785592,9.323917113448681,4.363103066402739,4.602232475686974,0.48765796599892686,0.5123420340010731,9,9,2026-09-24T19:19:40Z,2026-09-24T18:35:00Z
824298,2026-09-24,COL,AZ,4.659933807509628,5.355646616452502,10.01558042396213,4.480720890149454,5.149677799269338,0.4542731890042241,0.5457268109957759,9,9,2026-09-24T19:19:40Z,2026-09-24T19:10:00Z
823411,2026-09-24,PHI,MIL,4.469763267242626,5.058047566373697,9.527810833616321,4.297863976797558,4.863523889008247,0.4609475355249596,0.5390524644750404,9,9,2026-09-24T19:19:40Z,2026-09-24T22:05:00Z
824707,2026-09-24,BOS,CLE,4.31547036397838,3.868751025549555,8.184221389527934,4.149504909176513,3.719965616471088,0.548387970304125,0.451612029695875,9,9,2026-09-24T19:19:40Z,2026-09-24T22:45:00Z
823493,2026-09-24,NYY,TB,4.427076058131484,4.161031018290008,8.588107076421492,4.256818443211172,4.001005031051265,0.53113451663758,0.46886548336241995,9,9,2026-09-24T19:19:40Z,2026-09-24T23:05:00Z
824866,2026-09-24,ATL,CIN,4.613619517493909,4.361267306259008,8.974886823752918,4.4361877668567065,4.193540581024703,0.5289461786846351,0.4710538213153649,9,9,2026-09-24T19:19:40Z,2026-09-24T23:15:00Z
823087,2026-09-24,SEA,LAA,4.380268492720874,3.767134416099917,8.14740290882079,4.211811015033894,3.622257004384497,0.5633576543689574,0.43664234563104265,9,9,2026-09-24T19:19:40Z,2026-09-25T01:40:00Z
824950,2026-09-24,ATH,HOU,4.403268076066045,4.93957871301402,9.342846789080065,4.233926074564002,4.749611140886093,0.4645255691236752,0.5354744308763248,9,9,2026-09-24T19:19:40Z,2026-09-25T01:40:00Z
823895,2026-09-24,LAD,SD,4.8419701328339,4.085523413660107,8.927493546494008,4.655756416261877,3.9284013170489085,0.5709085680326449,0.4290914319673551,9,9,2026-09-24T19:19:40Z,2026-09-25T02:10:00Z
