game_pk,pitcher_id,pitcher,team,opponent,expected_bf,starts_seen,career_starts,days_since_last_start,appearances_seen,days_since_last_appearance,role,k_rate,k_rate_base,velo_z_used,expected_k,expected_outs,implied_baserunners,lineup_faced,prob_k_over_5.5,prob_k_over_6.5,k_dist,predicted_at_utc,start_time_utc,velo_base,velo_recent,velo_drop,velo_state,kform_base,kform_recent,kform_z,kform_state
822840,640455,Sean Manaea,NYM,TEX,23.750309697239977,17,100,7.0,33,7.0,starter,0.198736402220701,0.2042032982208643,-0.5878382795874588,5.003629881463298,,,9,0.3877205653711322,0.2398361262440874,"0.007033,0.034029,0.083540,0.138458,0.173758,0.175460,0.147884,0.106534,0.066660,0.036636,0.017825,0.007720,0.002987,0.001035,0.000321,0.000089,0.000022,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-20T03:45:12Z,2026-09-23T00:05:00Z,91.72568717723036,90.8513969377347,-0.8742902394956502,Cold,0.2436684574059862,0.15789473684210525,-1.9474229684757676,Cold
823328,669467,Andre Pallante,STL,PIT,22.916872184406955,28,88,7.0,28,7.0,starter,0.1773211469992281,0.1704283022767505,0.7411660991911386,4.301903857042454,,,9,0.2654004507923876,0.1444855297731947,"0.013990,0.058583,0.124343,0.177950,0.192513,0.167221,0.120915,0.074498,0.039734,0.018551,0.007643,0.002795,0.000911,0.000265,0.000069,0.000016,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-20T03:45:12Z,2026-09-22T22:40:00Z,94.93018855017485,95.46455580100506,0.5343672508302149,Hot,0.16721932733301753,0.13186813186813187,-0.9036832783975107,Normal
824785,453286,Max Scherzer,TOR,BAL,21.1295517115994,16,91,6.0,17,6.0,starter,0.1576746598207439,0.1749472842109421,-1.8572714398062635,4.215994958328765,,,9,0.2537344023258533,0.1388453236720479,"0.016407,0.065352,0.132281,0.181508,0.189782,0.160936,0.114889,0.070687,0.038060,0.018116,0.007675,0.002908,0.000988,0.000302,0.000083,0.000020,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-20T03:45:12Z,2026-09-22T22:35:00Z,92.9211738574428,91.48421071176885,-1.4369631456739427,Cold,0.2591072344792201,0.2,-1.2798069024146783,Cold
824867,671096,Andrew Abbott,CIN,ATL,22.571709003545163,32,106,6.0,32,6.0,starter,0.1643488334261874,0.1790706923227788,-1.5829955802786484,3.801777961359571,,,9,0.1858915286672244,0.0910159860981252,"0.022968,0.085352,0.160394,0.202900,0.193848,0.148646,0.094876,0.051585,0.024262,0.009973,0.003608,0.001154,0.000328,0.000083,0.000019,0.000004,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-20T03:45:12Z,2026-09-22T23:15:00Z,92.52064500359076,91.5477889260498,-0.9728560775409534,Cold,0.21068249258160238,0.15492957746478872,-1.1520110970041473,Normal
