game_date,n,brier_model,brier_market,mean_model,mean_market,base_rate
2026-09-01,5,0.3612709677732,0.2513082471681557,0.5523296,0.5166230002519938,0.4
2026-09-02,29,0.2932717520856207,0.2475157995870439,0.5483202413793103,0.496160381471414,0.4482758620689655
2026-09-04,23,0.2499478591433478,0.2434274057115276,0.5805808260869565,0.4930792955324892,0.4782608695652174
2026-09-05,36,0.2630472683820555,0.2385639028707062,0.4945265,0.4874062452302371,0.5277777777777778
2026-09-06,7,0.2020116206564285,0.2501350267261784,0.5593261428571429,0.491006090321563,0.7142857142857143
2026-09-07,22,0.2354976085255,0.2589346708731196,0.5716309545454545,0.4850267895501561,0.6363636363636364
2026-09-08,38,0.2841215609473158,0.2456887155292049,0.5547525789473685,0.4982480117221137,0.3684210526315789
2026-09-09,38,0.2631187236947368,0.2435207857033833,0.5362151578947367,0.4943420873285031,0.5
2026-09-10,10,0.2822333046221,0.229644850824587,0.4981136999999999,0.5106736721400076,0.8
2026-09-11,34,0.24551263454773534,0.24189867187574804,0.5501993235294117,0.49867815269362775,0.38235294117647056
