market,player,line,prob_over,hold,n_books,commence_time,home_team,away_team,game_date,fetched_at_utc,key,pitcher,team,opponent,expected_k,expected_bf,starts_seen,model_prob,market_prob,edge,side
pitcher_strikeouts,Griffin Jax,5.5,0.44194150168883,0.0659914392629968,2,2026-09-15T22:40:00Z,Tampa Bay Rays,Athletics,2026-09-15,2026-09-15T20:05:53Z,griffin jax,Griffin Jax,TB,ATH,4.942088671552548,19.74780915287245,19.0,0.379527,0.44194150168883,-0.062414501688830004,UNDER
pitcher_strikeouts,Sean Manaea,6.5,0.4455020396478923,0.0680272108843538,5,2026-09-15T23:10:00Z,New York Mets,Baltimore Orioles,2026-09-15,2026-09-15T20:05:53Z,sean manaea,Sean Manaea,NYM,BAL,5.918687404337676,23.5033676001418,17.0,0.384299,0.4455020396478923,-0.06120303964789231,UNDER
pitcher_strikeouts,Yoshinobu Yamamoto,6.5,0.5904537129976519,0.0616274986984369,2,2026-09-15T22:40:00Z,Cincinnati Reds,Los Angeles Dodgers,2026-09-15,2026-09-15T02:19:50Z,yoshinobu yamamoto,Yoshinobu Yamamoto,LAD,CIN,7.71517362773521,24.80192895789225,28.0,0.6516229999999998,0.5904537129976519,0.061169287002347916,OVER
pitcher_strikeouts,Jacob Misiorowski,7.5,0.5371848068943506,0.0591615956727518,1,2026-09-15T22:41:00Z,Pittsburgh Pirates,Milwaukee Brewers,2026-09-15,2026-09-15T02:19:50Z,jacob misiorowski,Jacob Misiorowski,MIL,PIT,8.332289874413188,22.63067513526229,28.0,0.5946239999999999,0.5371848068943506,0.05743919310564938,OVER
pitcher_strikeouts,Martin Perez,3.5,0.541784417702891,0.0619905213998625,2,2026-09-15T23:40:00Z,Chicago Cubs,Atlanta Braves,2026-09-15,2026-09-15T02:19:50Z,martin perez,Martín Pérez,ATL,CHC,3.623760627721453,21.98686679174484,24.0,0.490235,0.541784417702891,-0.05154941770289101,UNDER
pitcher_strikeouts,Jack Perkins,3.5,0.552733296521259,0.0646678424456201,3,2026-09-15T22:40:00Z,Tampa Bay Rays,Athletics,2026-09-15,2026-09-15T20:05:53Z,jack perkins,Jack Perkins,ATH,TB,4.20252427183472,21.765939942410533,14.0,0.604176,0.552733296521259,0.051442703478741025,OVER
pitcher_strikeouts,Griffin Jax,4.5,0.5953943030843603,0.0657122272752507,4,2026-09-15T22:40:00Z,Tampa Bay Rays,Athletics,2026-09-15,2026-09-15T20:05:53Z,griffin jax,Griffin Jax,TB,ATH,4.942088671552548,19.74780915287245,19.0,0.544044,0.5953943030843603,-0.05135030308436028,UNDER
pitcher_strikeouts,Drew Anderson,3.5,0.563195519390308,0.068033818033818,6,2026-09-15T23:08:00Z,Toronto Blue Jays,Detroit Tigers,2026-09-15,2026-09-15T20:05:53Z,drew anderson,Drew Anderson,DET,TOR,3.752279132642535,20.07467714766985,9.0,0.5139440000000001,0.563195519390308,-0.04925151939030792,UNDER
pitcher_strikeouts,Ryan Johnson,4.5,0.4151739715962931,0.0634472831592989,2,2026-09-16T01:38:00Z,Los Angeles Angels,Seattle Mariners,2026-09-15,2026-09-15T02:19:50Z,ryan johnson,Ryan Johnson,LAA,SEA,3.9967888736663104,21.450390189520625,16.0,0.373823,0.4151739715962931,-0.041350971596293085,UNDER
pitcher_strikeouts,Sean Manaea,5.5,0.5806451612903226,0.0598290598290598,1,2026-09-15T23:10:00Z,New York Mets,Baltimore Orioles,2026-09-15,2026-09-15T20:05:53Z,sean manaea,Sean Manaea,NYM,BAL,5.918687404337676,23.5033676001418,17.0,0.544073,0.5806451612903226,-0.03657216129032259,UNDER
pitcher_strikeouts,Jacob deGrom,6.5,0.5024461839530332,0.0664354148042013,6,2026-09-16T00:06:00Z,Texas Rangers,Boston Red Sox,2026-09-15,2026-09-15T20:05:53Z,jacob degrom,Jacob deGrom,TEX,BOS,6.465364486633236,21.52804256262469,30.0,0.472094,0.5024461839530332,-0.030352183953033185,UNDER
pitcher_strikeouts,Jack Perkins,4.5,0.3959708232025009,0.0633356790992258,3,2026-09-15T22:40:00Z,Tampa Bay Rays,Athletics,2026-09-15,2026-09-15T20:05:53Z,jack perkins,Jack Perkins,ATH,TB,4.20252427183472,21.765939942410533,14.0,0.413486,0.3959708232025009,0.017515176797499143,OVER
pitcher_strikeouts,Max Fried,4.5,0.5650216070171721,0.0619159377000213,2,2026-09-15T23:40:00Z,Minnesota Twins,New York Yankees,2026-09-15,2026-09-15T02:19:50Z,max fried,Max Fried,NYY,MIN,4.941435102103929,21.903768296480848,20.0,0.5483579999999999,0.5650216070171721,-0.016663607017172177,UNDER
pitcher_strikeouts,Bailey Ober,4.5,0.4095462870023479,0.0616274986984369,2,2026-09-15T23:40:00Z,Minnesota Twins,New York Yankees,2026-09-15,2026-09-15T02:19:50Z,bailey ober,Bailey Ober,MIN,NYY,4.102418691042503,22.614044492093274,24.0,0.3936120000000001,0.4095462870023479,-0.015934287002347836,UNDER
pitcher_strikeouts,Michael Wacha,4.5,0.5614029600236967,0.0629509668276426,2,2026-09-16T00:10:00Z,Houston Astros,Kansas City Royals,2026-09-15,2026-09-15T02:19:50Z,michael wacha,Michael Wacha,KC,HOU,4.937074435407828,24.68727730035632,32.0,0.549523,0.5614029600236967,-0.011879960023696734,UNDER
pitcher_strikeouts,Kevin Gausman,5.5,0.4979222937876584,0.065358756750799,2,2026-09-15T23:40:00Z,Chicago Cubs,Atlanta Braves,2026-09-15,2026-09-15T02:19:50Z,kevin gausman,Kevin Gausman,CHC,ATL,5.707506263063335,23.44888798204448,33.0,0.509002,0.4979222937876584,0.011079706212341556,OVER
pitcher_strikeouts,Shane Baz,4.5,0.5388781912982651,0.0637451772297555,6,2026-09-15T23:10:00Z,New York Mets,Baltimore Orioles,2026-09-15,2026-09-15T20:05:53Z,shane baz,Shane Baz,BAL,NYM,4.879370443487099,24.09028226675285,31.0,0.538904,0.5388781912982651,2.5808701734963968e-05,OVER
