game_date,line,n,basis,mean_pred,base_rate,brier,brier_skill,pred_bf,actual_bf,pred_k,actual_k,prop,pred_outs,actual_outs
2026-08-30,5.5,2,clean,0.6488838215202646,0.5,0.2559934741499682,-0.023973896599873,22.69351879490173,24.5,6.611966140933904,5.5,strikeouts,,16.0
2026-08-30,6.5,2,clean,0.4955627834571678,0.5,0.2324299183430537,0.0702803266277849,22.69351879490173,24.5,6.611966140933904,5.5,strikeouts,,16.0
2026-09-01,5.5,30,clean,0.4029563738155015,0.2333333333333333,0.2045063964356931,-0.1432034583361727,22.41177806172408,20.9,5.110306452323028,4.2,strikeouts,,13.966666666666669
2026-09-01,6.5,30,clean,0.2722400212912507,0.1333333333333333,0.1331003811630871,-0.1518302216036384,22.41177806172408,20.9,5.110306452323028,4.2,strikeouts,,13.966666666666669
2026-09-02,5.5,30,clean,0.4108005206289285,0.3,0.2116835655890191,-0.0080169789953292,22.29217693805061,20.766666666666666,5.1753992164501295,4.533333333333333,strikeouts,,14.533333333333331
2026-09-02,6.5,30,clean,0.2746203303267286,0.2,0.1307331498496016,0.1829178134399898,22.29217693805061,20.766666666666666,5.1753992164501295,4.533333333333333,strikeouts,,14.533333333333331
2026-09-03,5.5,17,clean,0.4291141412364552,0.4705882352941176,0.1636193035467049,0.3432502954861425,23.168747327983333,23.41176470588235,5.272979494947945,5.176470588235294,strikeouts,,16.41176470588235
2026-09-03,6.5,17,clean,0.289138300873156,0.4117647058823529,0.2142310101403813,0.1155319724204255,23.168747327983333,23.41176470588235,5.272979494947945,5.176470588235294,strikeouts,,16.41176470588235
2026-09-04,5.5,32,clean,0.3640547303897976,0.28125,0.1476847418461653,0.2694242722199356,22.53751596509529,20.84375,4.866694818486943,4.1875,strikeouts,,14.78125
2026-09-04,6.5,32,clean,0.2408502501074645,0.1875,0.0896402208089326,0.4115923967413655,22.53751596509529,20.84375,4.866694818486943,4.1875,strikeouts,,14.78125
2026-09-05,5.5,30,clean,0.3854203170823037,0.5333333333333333,0.2215997903782806,0.1096436993729793,22.424279514391348,22.133333333333333,4.986799568936303,5.4,strikeouts,,15.9
2026-09-05,6.5,30,clean,0.2511607102082935,0.3333333333333333,0.1802260562797418,0.1889827467411617,22.424279514391348,22.133333333333333,4.986799568936303,5.4,strikeouts,,15.9
2026-09-06,5.5,30,clean,0.4528161889303044,0.3666666666666666,0.2424417867932706,-0.0440076943250891,22.56073587118805,21.4,5.416909819165981,4.733333333333333,strikeouts,,15.133333333333333
2026-09-06,6.5,30,clean,0.3086124113373039,0.2,0.1432612635222934,0.1046171029856658,22.56073587118805,21.4,5.416909819165981,4.733333333333333,strikeouts,,15.133333333333333
2026-09-07,5.5,21,clean,0.4445981875054842,0.4761904761904761,0.2447181209385985,0.0189028060552548,22.66942719973796,21.761904761904763,5.3784596772149245,5.095238095238095,strikeouts,,15.61904761904762
2026-09-07,6.5,21,clean,0.3028124547506806,0.3333333333333333,0.2239407975481947,-0.0077335889668761,22.66942719973796,21.761904761904763,5.3784596772149245,5.095238095238095,strikeouts,,15.61904761904762
2026-09-08,5.5,30,clean,0.4491367749837883,0.3333333333333333,0.2151401709136645,0.0318692308885096,22.81719956294374,21.5,5.402534490045655,4.466666666666667,strikeouts,,15.333333333333334
2026-09-08,6.5,30,clean,0.3068955452033727,0.2,0.1307981443106493,0.1825115980584419,22.81719956294374,21.5,5.402534490045655,4.466666666666667,strikeouts,,15.333333333333334
2026-09-09,5.5,29,clean,0.3506073627006879,0.1724137931034483,0.1410913543968063,0.0111847579357157,22.271581379352494,18.86206896551724,4.75962418833909,3.655172413793104,strikeouts,,12.862068965517242
2026-09-09,6.5,29,clean,0.2220122174692075,0.1034482758620689,0.0876276719777325,0.0551939470093197,22.271581379352494,18.86206896551724,4.75962418833909,3.655172413793104,strikeouts,,12.862068965517242
2026-09-10,5.5,10,clean,0.4160745530837433,0.5,0.1494838814897553,0.4020644740409785,22.21780237917581,20.5,5.1622487117978055,6.4,strikeouts,,17.0
2026-09-10,6.5,10,clean,0.2797137677780952,0.5,0.2026604642643303,0.1893581429426788,22.21780237917581,20.5,5.1622487117978055,6.4,strikeouts,,17.0
2026-09-11,5.5,28,clean,0.4307874383825413,0.2142857142857142,0.188673492493711,-0.1206061978414354,22.62294499199607,21.607142857142858,5.2577379127478725,4.035714285714286,strikeouts,16.008731208838093,14.928571428571429
2026-09-11,6.5,28,clean,0.2890478799394219,0.1071428571428571,0.1311160399435957,-0.370599670877054,22.62294499199607,21.607142857142858,5.2577379127478725,4.035714285714286,strikeouts,16.008731208838093,14.928571428571429
2026-09-11,14.5,28,clean,0.7458328052313297,0.7142857142857143,0.2000008957467678,0.0199956108408374,22.62294499199607,21.607142857142858,5.2577379127478725,4.035714285714286,outs,16.008731208838093,14.928571428571429
2026-09-11,15.5,28,clean,0.5485055565239622,0.4642857142857143,0.2246097605336198,0.0969535781622669,22.62294499199607,21.607142857142858,5.2577379127478725,4.035714285714286,outs,16.008731208838093,14.928571428571429
2026-09-11,16.5,28,clean,0.4887211669642343,0.4285714285714285,0.2281957563358375,0.0682006616286634,22.62294499199607,21.607142857142858,5.2577379127478725,4.035714285714286,outs,16.008731208838093,14.928571428571429
2026-09-11,17.5,28,clean,0.430581083572709,0.4285714285714285,0.2245636898694884,0.0830315996995886,22.62294499199607,21.607142857142858,5.2577379127478725,4.035714285714286,outs,16.008731208838093,14.928571428571429
2026-09-11,18.5,28,clean,0.1704928384178397,0.1428571428571428,0.1172633067627613,0.0423496614374486,22.62294499199607,21.607142857142858,5.2577379127478725,4.035714285714286,outs,16.008731208838093,14.928571428571429
2026-09-12,5.5,29,clean,0.3904315528281769,0.2413793103448276,0.2038668254266114,-0.1133246765180535,22.332979540525542,20.41379310344828,5.018035169767161,4.655172413793103,strikeouts,15.974053730044776,14.344827586206897
2026-09-12,6.5,29,clean,0.2478063724753712,0.2068965517241379,0.1612192881077654,0.0174969471113717,22.332979540525542,20.41379310344828,5.018035169767161,4.655172413793103,strikeouts,15.974053730044776,14.344827586206897
2026-09-12,14.5,29,clean,0.7262708423757875,0.4827586206896552,0.2915357298063215,-0.1675311846053162,22.332979540525542,20.41379310344828,5.018035169767161,4.655172413793103,outs,15.974053730044776,14.344827586206897
2026-09-12,15.5,29,clean,0.5183159618743007,0.4827586206896552,0.2327299703368407,0.0679718806986517,22.332979540525542,20.41379310344828,5.018035169767161,4.655172413793103,outs,15.974053730044776,14.344827586206897
2026-09-12,16.5,29,clean,0.4585947208090683,0.4482758620689655,0.2267403169019883,0.083227853295326,22.332979540525542,20.41379310344828,5.018035169767161,4.655172413793103,outs,15.974053730044776,14.344827586206897
2026-09-12,17.5,29,clean,0.4064726457020134,0.3793103448275862,0.2225558343489155,0.0546997136998084,22.332979540525542,20.41379310344828,5.018035169767161,4.655172413793103,outs,15.974053730044776,14.344827586206897
2026-09-12,18.5,29,clean,0.1677997358657974,0.2413793103448276,0.1835373216013638,-0.0023044640697855,22.332979540525542,20.41379310344828,5.018035169767161,4.655172413793103,outs,15.974053730044776,14.344827586206897
2026-09-13,5.5,30,clean,0.4503544186650489,0.3,0.2135764127745212,-0.0170305370215297,22.49553429523648,20.933333333333334,5.4142881073530775,4.766666666666667,strikeouts,16.123180819700234,14.866666666666667
2026-09-13,6.5,30,clean,0.3060318269753674,0.2666666666666666,0.1695819390493989,0.1328196298610281,22.49553429523648,20.933333333333334,5.4142881073530775,4.766666666666667,strikeouts,16.123180819700234,14.866666666666667
2026-09-13,14.5,30,clean,0.7373326591930632,0.7333333333333333,0.1910537554923501,0.0230205685050276,22.49553429523648,20.933333333333334,5.4142881073530775,4.766666666666667,outs,16.123180819700234,14.866666666666667
2026-09-13,15.5,30,clean,0.5524619298207224,0.5,0.2495793565305668,0.0016825738777325,22.49553429523648,20.933333333333334,5.4142881073530775,4.766666666666667,outs,16.123180819700234,14.866666666666667
2026-09-13,16.5,30,clean,0.4794592189182932,0.3666666666666666,0.242680809878421,-0.0450369803376984,22.49553429523648,20.933333333333334,5.4142881073530775,4.766666666666667,outs,16.123180819700234,14.866666666666667
2026-09-13,17.5,30,clean,0.4156499367272019,0.3333333333333333,0.2221321364400589,0.0004053860197349,22.49553429523648,20.933333333333334,5.4142881073530775,4.766666666666667,outs,16.123180819700234,14.866666666666667
2026-09-13,18.5,30,clean,0.1773711228428138,0.0666666666666666,0.079297247273649,-0.2744200454693593,22.49553429523648,20.933333333333334,5.4142881073530775,4.766666666666667,outs,16.123180819700234,14.866666666666667
2026-09-14,5.5,20,clean,0.4321818383594353,0.45,0.20866839407661525,0.15689537746822135,22.798725806887603,21.55,5.305722439917781,4.85,strikeouts,16.23418491493603,15.2
2026-09-14,6.5,20,clean,0.29537541539043455,0.25,0.13134568120778672,0.29948970022513743,22.798725806887603,21.55,5.305722439917781,4.85,strikeouts,16.23418491493603,15.2
2026-09-14,14.5,20,clean,0.7512588158778889,0.7,0.20911250872128934,0.004226148946241404,22.798725806887603,21.55,5.305722439917781,4.85,outs,16.23418491493603,15.2
2026-09-14,15.5,20,clean,0.559066390590357,0.45,0.2923540497060771,-0.18122848366091748,22.798725806887603,21.55,5.305722439917781,4.85,outs,16.23418491493603,15.2
2026-09-14,16.5,20,clean,0.5047101727840289,0.45,0.2846228798420036,-0.14999143370506474,22.798725806887603,21.55,5.305722439917781,4.85,outs,16.23418491493603,15.2
2026-09-14,17.5,20,clean,0.407432845925688,0.35,0.25231283045527997,-0.10906738661661541,22.798725806887603,21.55,5.305722439917781,4.85,outs,16.23418491493603,15.2
2026-09-14,18.5,20,clean,0.2119933195047378,0.2,0.1623828983032761,-0.01489311439547536,22.798725806887603,21.55,5.305722439917781,4.85,outs,16.23418491493603,15.2
