game_pk,player_id,name,team,opponent,is_home,lineup_slot,lineup_status,opposing_pitcher,venue_name,start_time_utc,expected_pa,batter_pa_seen,pitcher_pa_seen,exp_runs,form_z,form_state,prob_hr,prob_hit,prob_walk,prob_k,prob_hrr_over_0.5,prob_hrr_over_1.5,prob_hrr_over_2.5,prob_hrr_over_3.5,prob_tb_over_0.5,prob_tb_over_1.5,prob_tb_over_2.5,prob_tb_over_3.5,prob_hits_over_0.5,prob_hits_over_1.5,prob_hits_over_2.5,predicted_at_utc,starter_share
822850,592626,Joc Pederson,TEX,TB,1,1,confirmed,Drew Rasmussen,Globe Life Field,2026-09-05T23:05:00Z,4.443308771095793,2026,2036,0.5836768061806591,-1.2545609971611682,Normal,0.18619640605878604,0.6224636277764121,0.38860237879507936,0.7092105519596967,0.6960055465555279,0.4945811785106056,0.3302540500807503,0.20384969239278608,0.6487633575945092,0.40693731497333313,0.2512666954033649,0.17894654407569863,0.6032825273344634,0.22253354329642575,0.050278873598188716,2026-09-05T22:40:34Z,0.6427818718366444
822850,650490,Yandy Díaz,TB,TEX,0,1,confirmed,Jacob deGrom,Globe Life Field,2026-09-05T23:05:00Z,4.614423756775866,3035,1628,0.5315016637941061,0.5835622980391949,Normal,0.12406436133648913,0.7185958803328653,0.281428387847239,0.6405137328609619,0.7185643362598281,0.5214982457174739,0.35583651633693886,0.22512253895168569,0.6611926757892711,0.4211811395511135,0.2632874045985237,0.18774817684442852,0.6926613574938176,0.3174044989251019,0.09417255365266788,2026-09-05T22:40:34Z,0.6235192657754777
822850,608369,Corey Seager,TEX,TB,1,2,confirmed,Drew Rasmussen,Globe Life Field,2026-09-05T23:05:00Z,4.328354978354978,2525,2036,0.5541798837822918,0.8679915922735397,Normal,0.17472435888528753,0.6537494556204473,0.3453009871852026,0.6218839752616337,0.7185127063696727,0.5196657064457849,0.35267740250994256,0.22140225734077107,0.6583918447340689,0.41628874725163895,0.2581679555935149,0.1836170958356438,0.6325089703846326,0.24910322834965992,0.060189433266100635,2026-09-05T22:40:34Z,0.6395327522949036
822850,666018,Jonathan Aranda,TB,TEX,0,2,confirmed,Jacob deGrom,Globe Life Field,2026-09-05T23:05:00Z,4.523716699155296,1351,1628,0.5226802162792017,-1.0188486978218365,Normal,0.13649531878481205,0.6558739421613442,0.3314094911295872,0.8106708390031987,0.6957936884282763,0.49493008562142754,0.33103217406685526,0.2048265160048793,0.6268226338292493,0.3853218501284741,0.23492605682591713,0.16764551114003165,0.6344354783843185,0.2530696699314678,0.06319296687399305,2026-09-05T22:40:34Z,0.617325206992119
822850,694671,Wyatt Langford,TEX,TB,1,3,confirmed,Drew Rasmussen,Globe Life Field,2026-09-05T23:05:00Z,4.225346112886049,1517,2036,0.4770756721314954,0.10489425707740135,Normal,0.10799742666080536,0.6096203926239577,0.37284304196579293,0.6407268823662083,0.6711824305197409,0.4660277230386214,0.30391705457455,0.182545238224148,0.5832466269323587,0.341894383002851,0.20156584247613282,0.14426853662342332,0.5913475417260523,0.20979828290638444,0.044400562302429156,2026-09-05T22:40:34Z,0.6290193377546857
822850,691406,Junior Caminero,TB,TEX,0,3,confirmed,Jacob deGrom,Globe Life Field,2026-09-05T23:05:00Z,4.410891089108911,1481,1628,0.5229476071493954,0.05363947294941378,Normal,0.2128602068482442,0.6644694632564772,0.24858204695281116,0.7145494205513737,0.7263262217711793,0.5296576157139697,0.36268902682574405,0.23011478667920343,0.6883617234525543,0.4497720714596913,0.2858014802954924,0.20354781877545788,0.6424571478599302,0.2603991391691605,0.06586102484849835,2026-09-05T22:40:34Z,0.6088145602494299
822850,607043,Brandon Nimmo,TEX,TB,1,4,confirmed,Drew Rasmussen,Globe Life Field,2026-09-05T23:05:00Z,4.143343879289365,3245,2036,0.4230266190663437,0.18137931433239257,Normal,0.11073267145900056,0.633653866252964,0.31747438170686193,0.6331111373695469,0.672429207314963,0.4668597575062065,0.3042566809646049,0.18251445188908522,0.6022368039768908,0.3589764951952528,0.21372010997744217,0.15249875948822167,0.6138411073924603,0.22914325846311537,0.05101995546467174,2026-09-05T22:40:34Z,0.6130045851671501
822850,689414,Liam Hicks,TB,TEX,0,4,confirmed,Jacob deGrom,Globe Life Field,2026-09-05T23:05:00Z,4.333088054942359,887,1628,0.44566758142863494,0.19596487710118046,Normal,0.1234605029171608,0.6296754556127601,0.37432927795205423,0.5512260545367328,0.6720198611956517,0.46788996472498323,0.30625551518756217,0.1848762410495599,0.5946905772464992,0.35338675114059215,0.21043495888813304,0.15049421399578972,0.6100475362273392,0.22805582500582613,0.05205014306309667,2026-09-05T22:40:34Z,0.5928375148727186
822850,677649,Ezequiel Duran,TEX,TB,1,5,confirmed,Drew Rasmussen,Globe Life Field,2026-09-05T23:05:00Z,4.024135876042908,1678,2036,0.3956315861837625,2.103265499753993,Hot,0.08836787111569776,0.6269802124404732,0.24038783707186506,0.6642136374429533,0.6533260511825878,0.4461704342386281,0.28607773970532935,0.1684518358839311,0.5767359793973877,0.3349404940497942,0.1960111197482993,0.14032821092222955,0.6076445661643554,0.22246807048060352,0.047947838640668296,2026-09-05T22:40:34Z,0.5943604961796024
822850,802415,Chandler Simpson,TB,TEX,0,5,confirmed,Jacob deGrom,Globe Life Field,2026-09-05T23:05:00Z,4.202468410226271,979,1628,0.4038384477886248,0.5345740480313018,Normal,0.06673125623825098,0.6843627261304663,0.18841468989138602,0.4805181653433692,0.6672478720755327,0.46222136360383076,0.3009017754685053,0.18045497046022022,0.5885111546199913,0.34709051555054615,0.2055318679039438,0.1470408804508853,0.6609891197081348,0.27773208735874416,0.07216916569418101,2026-09-05T22:40:34Z,0.5763896463093113
