game_date,state,label,n,said,did,gap,z,slope_se
2026-08-30,Cold,at least 1 home run,1,0.080105571822545,0.0,-0.080105571822545,-0.2950953514848974,
2026-08-30,Cold,at least 1 hit,1,0.48474709976256,0.0,-0.48474709976256,-0.96994562214472,
2026-08-30,Cold,at least 1 walk,1,0.2664435071433472,0.0,-0.2664435071433472,-0.6026786239944654,
2026-08-30,Cold,H+R+RBI over 0.5,1,0.5260949475504787,0.0,-0.5260949475504787,-1.0536257986933082,
2026-08-30,Cold,H+R+RBI over 1.5,1,0.3255068043043722,0.0,-0.3255068043043722,-0.6946903230645741,
2026-08-30,Cold,H+R+RBI over 2.5,1,0.1894734195478589,0.0,-0.1894734195478589,-0.4834933617976355,
2026-08-30,Cold,H+R+RBI over 3.5,1,0.0996917249869801,0.0,-0.0996917249869801,-0.3327621597959698,
2026-08-30,Cold,Total bases over 0.5,1,0.465984502260657,0.0,-0.465984502260657,-0.934133196778149,
2026-08-30,Cold,Total bases over 1.5,1,0.2430735974801019,0.0,-0.2430735974801019,-0.5666854567486216,
2026-08-30,Cold,Total bases over 2.5,1,0.1333428543869518,0.0,-0.1333428543869518,-0.3922484288615708,
2026-08-30,Cold,Total bases over 3.5,1,0.0979545391411299,0.0,-0.0979545391411299,-0.3295323611165211,
2026-08-30,Cold,Hits over 0.5,1,0.4733552179212135,0.0,-0.4733552179212135,-0.948057529173972,
2026-08-30,Cold,Hits over 1.5,1,0.1188146528647371,0.0,-0.1188146528647371,-0.3671988972861645,
2026-08-30,Cold,Hits over 2.5,1,0.0157117711491298,0.0,-0.0157117711491298,-0.1263430703212656,
2026-08-30,SLOPE,at least 1 home run,54,,,0.0079397972181538,0.1552671270400543,0.0511363697487985
2026-08-30,SLOPE,at least 1 hit,54,,,-0.0311782755992266,-0.5098163246774702,0.0611558988797607
2026-08-30,SLOPE,at least 1 walk,54,,,-0.036658587904534,-0.6305056201937562,0.0581415719867314
2026-08-30,SLOPE,H+R+RBI over 0.5,54,,,-0.0426422577197935,-0.7148663084070785,0.0596506748441011
2026-08-30,SLOPE,H+R+RBI over 1.5,54,,,0.0560201736444245,0.8905075241299852,0.0629081418477126
2026-08-30,SLOPE,H+R+RBI over 2.5,54,,,0.0762203956008997,1.263177356793456,0.0603402168278121
2026-08-30,SLOPE,H+R+RBI over 3.5,54,,,-0.012436035177679,-0.2397024701676741,0.0518811306741223
2026-08-30,SLOPE,Total bases over 0.5,54,,,-0.0341386333558683,-0.5607823855309396,0.0608767932743579
2026-08-30,SLOPE,Total bases over 1.5,54,,,0.0460613258765356,0.7062919031072459,0.0652157070948915
2026-08-30,SLOPE,Total bases over 2.5,54,,,0.0257898877666036,0.4619434516355781,0.0558291013224472
2026-08-30,SLOPE,Total bases over 3.5,54,,,0.006374943451823,0.1239625603004754,0.0514263616076554
2026-08-30,SLOPE,Hits over 0.5,54,,,-0.0289985006039352,-0.4736882088801799,0.0612185400867144
2026-08-30,SLOPE,Hits over 1.5,54,,,0.0030134885663763,0.0534410910054084,0.056388979148486
2026-08-30,SLOPE,Hits over 2.5,54,,,-0.00440716019997,-0.2440135366027876,0.0180611299738839
2026-09-01,Hot,at least 1 home run,3,0.12400889663626787,0.3333333333333333,0.20932443669706546,1.1000293913687862,
2026-09-01,Hot,at least 1 hit,3,0.605278545362434,0.6666666666666666,0.06138812130423266,0.217531404329648,
2026-09-01,Hot,at least 1 walk,3,0.31322124671624674,0.6666666666666666,0.3534454199504199,1.3199240838365902,
2026-09-01,Hot,H+R+RBI over 0.5,3,0.6527119560255129,0.6666666666666666,0.013954710641153723,0.05076632933985806,
2026-09-01,Hot,H+R+RBI over 1.5,3,0.4460945462171129,0.6666666666666666,0.2205721204495537,0.768563876340329,
2026-09-01,Hot,H+R+RBI over 2.5,3,0.2855665570993848,0.6666666666666666,0.38110010956728185,1.4613866655366685,
2026-09-01,Hot,H+R+RBI over 3.5,3,0.16804062075717885,0.6666666666666666,0.4986260459094878,2.3098160137718087,
2026-09-01,Hot,Total bases over 0.5,3,0.5946266444732942,0.6666666666666666,0.07204002219337247,0.25414682153641277,
2026-09-01,Hot,Total bases over 1.5,3,0.351027120160617,0.6666666666666666,0.31563954650604964,1.1454296699174495,
2026-09-01,Hot,Total bases over 2.5,3,0.2074152330482825,0.3333333333333333,0.12591810028505082,0.5379050298083379,
2026-09-01,Hot,Total bases over 3.5,3,0.14748189854342367,0.3333333333333333,0.18585143478990965,0.907831778772926,
2026-09-01,Hot,Hits over 0.5,3,0.5873935059659204,0.6666666666666666,0.07927316070074619,0.27890365245790155,
2026-09-01,Hot,Hits over 1.5,3,0.2048449718791369,0.0,-0.2048449718791369,-0.8791184136727557,
2026-09-01,Hot,Hits over 2.5,3,0.042006363664453004,0.0,-0.042006363664453004,-0.36269106706075527,
2026-09-01,Cold,at least 1 home run,11,0.10511029301218132,0.0,-0.10511029301218132,-1.1366695070761081,
2026-09-01,Cold,at least 1 hit,11,0.597471394046755,0.8181818181818182,0.22071042413506325,1.4926646745254593,
2026-09-01,Cold,at least 1 walk,11,0.3018077028285521,0.2727272727272727,-0.02908043010127942,-0.21010891573671664,
2026-09-01,Cold,H+R+RBI over 0.5,11,0.6331351578535349,0.8181818181818182,0.18504666032828332,1.2734336796915053,
2026-09-01,Cold,H+R+RBI over 1.5,11,0.4300712097971506,0.7272727272727273,0.2972015174755767,1.9909799282306406,
2026-09-01,Cold,H+R+RBI over 2.5,11,0.27462471746963757,0.2727272727272727,-0.0018974447423648622,-0.014099843485443329,
2026-09-01,Cold,H+R+RBI over 3.5,11,0.16162268615492498,0.18181818181818182,0.020195495663256846,0.18196168089229237,
2026-09-01,Cold,Total bases over 0.5,11,0.567978174906986,0.8181818181818182,0.25020364327483224,1.6752178977180123,
2026-09-01,Cold,Total bases over 1.5,11,0.3303515802880698,0.45454545454545453,0.1241938742573847,0.8757595850810079,
2026-09-01,Cold,Total bases over 2.5,11,0.1941733959371195,0.09090909090909091,-0.10326430502802858,-0.8658265626858628,
2026-09-01,Cold,Total bases over 3.5,11,0.13879617603797464,0.0,-0.13879617603797464,-1.3314722465279367,
2026-09-01,Cold,Hits over 0.5,11,0.5798398564331676,0.8181818181818182,0.23834196174865063,1.6015311631394387,
2026-09-01,Cold,Hits over 1.5,11,0.20350917099321358,0.2727272727272727,0.06921810173405912,0.570208444952964,
2026-09-01,Cold,Hits over 2.5,11,0.04380811587452329,0.09090909090909091,0.04710097503456762,0.7632668944246116,
2026-09-01,SLOPE,at least 1 home run,235,,,0.02553296462449567,1.3406820997217588,0.019044756866519442
2026-09-01,SLOPE,at least 1 hit,235,,,-0.018248118504526498,-0.6188974080552186,0.029484884355661066
2026-09-01,SLOPE,at least 1 walk,235,,,-0.0008835130681085085,-0.03116022333524767,0.028353874701183557
2026-09-01,SLOPE,H+R+RBI over 0.5,235,,,-0.013374912805548981,-0.47941691914069456,0.027898291177378833
2026-09-01,SLOPE,H+R+RBI over 1.5,235,,,0.008269700772649588,0.27406497773936844,0.030174234011446532
2026-09-01,SLOPE,H+R+RBI over 2.5,235,,,0.04057360918307516,1.3857052691458382,0.02928011467264256
2026-09-01,SLOPE,H+R+RBI over 3.5,235,,,0.025963054684235334,1.028909688248078,0.02523356032193901
2026-09-01,SLOPE,Total bases over 0.5,235,,,-0.017555447145501175,-0.5928625103656059,0.02961132950483764
2026-09-01,SLOPE,Total bases over 1.5,235,,,0.016590718015824134,0.5600511032091195,0.029623578849784473
2026-09-01,SLOPE,Total bases over 2.5,235,,,0.03775533519037414,1.4404202926069398,0.0262113324729984
2026-09-01,SLOPE,Total bases over 3.5,235,,,0.038863544298908016,1.8377379224365273,0.021147489979083403
2026-09-01,SLOPE,Hits over 0.5,235,,,-0.01763893121439644,-0.5982791737530183,0.029482776583625737
2026-09-01,SLOPE,Hits over 1.5,235,,,0.0013231547458164728,0.05004392678990667,0.026439866547069986
2026-09-01,SLOPE,Hits over 2.5,235,,,-0.005729077802719231,-0.41012789293446417,0.013969003087616626
