game_pk,pitcher_id,pitcher,team,opponent,expected_bf,starts_seen,k_rate,expected_k,lineup_faced,prob_k_over_5.5,prob_k_over_6.5,k_dist,predicted_at_utc,start_time_utc,career_starts,days_since_last_start
824957,667755,José Soriano,TOR,ATH,23.26825433056887,29,0.23044842891023398,5.420419029423126,9,0.4606714041764238,0.30384889507007884,"0.004738,0.024578,0.064912,0.116019,0.157284,0.171798,0.156823,0.122546,0.083360,0.049963,0.026626,0.012704,0.005456,0.002118,0.000745,0.000238,0.000069,0.000018,0.000004,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-08T22:45:34Z,2026-09-09T01:40:00Z,78.0,5.0
823174,694738,Landen Roupp,SF,STL,22.780447032812965,27,0.22615190413295913,5.411233891434056,9,0.4584059525361918,0.3035643241867226,"0.005101,0.025748,0.066562,0.117080,0.156928,0.170175,0.154842,0.121106,0.082813,0.050123,0.027093,0.013163,0.005773,0.002292,0.000825,0.000269,0.000080,0.000021,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-08T22:45:34Z,2026-09-09T01:45:00Z,53.0,6.0
823250,683000,Riley Cornelio,WSH,SD,23.00854700854701,0,0.2335809806835067,5.224733849472282,9,0.4262832882489119,0.27466750327629197,"0.006057,0.029684,0.074407,0.126754,0.164403,0.172411,0.151616,0.114510,0.075525,0.044024,0.022882,0.010674,0.004492,0.001711,0.000592,0.000186,0.000053,0.000014,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-08T22:45:34Z,2026-09-09T01:40:00Z,0.0,
824551,696149,Bubba Chandler,PIT,CWS,21.903269167364122,29,0.21749459678508715,5.095611838474993,9,0.40452366124877626,0.25643261556610686,"0.007183,0.033618,0.080973,0.133382,0.168184,0.172137,0.148091,0.109543,0.070766,0.040375,0.020512,0.009335,0.003822,0.001412,0.000472,0.000143,0.000039,0.000010,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-08T22:45:34Z,2026-09-08T23:40:00Z,30.0,6.0
824063,669203,Corbin Burnes,AZ,KC,23.00854700854701,0,0.2335809806835067,5.043072099486786,9,0.39418071428081236,0.24600948757481006,"0.006939,0.033443,0.082123,0.136513,0.172090,0.174711,0.148171,0.107567,0.068013,0.037941,0.018859,0.008417,0.003392,0.001240,0.000412,0.000124,0.000034,0.000009,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-08T22:45:34Z,2026-09-08T23:40:00Z,107.0,464.0
823092,615698,Cal Quantrill,TEX,SEA,22.301921715934455,11,0.224380579615603,4.986049656348024,9,0.3851327505983235,0.23922220956688137,"0.007704,0.035897,0.085706,0.139350,0.172799,0.173411,0.145911,0.105324,0.066257,0.036737,0.018105,0.007983,0.003166,0.001134,0.000368,0.000109,0.000029,0.000007,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-08T22:45:34Z,2026-09-09T01:40:00Z,117.0,5.0
823738,656849,David Peterson,CHC,MIL,22.664425877909025,22,0.2080257632809594,4.659788021438098,9,0.3270825203021688,0.1914106245630669,"0.010119,0.045121,0.102561,0.157852,0.184217,0.173047,0.135672,0.090940,0.053010,0.027213,0.012421,0.005078,0.001870,0.000623,0.000188,0.000051,0.000013,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-08T22:45:34Z,2026-09-08T23:40:00Z,109.0,6.0
824063,608379,Michael Wacha,KC,AZ,24.7378199142905,31,0.20526365382524553,4.575447742489358,9,0.3114614906107272,0.17875119584441368,"0.010484,0.047143,0.107038,0.163251,0.187668,0.172955,0.132710,0.086935,0.049471,0.024759,0.010994,0.004359,0.001549,0.000495,0.000142,0.000037,0.000009,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-08T22:45:34Z,2026-09-08T23:40:00Z,135.0,5.0
824957,678022,Jack Perkins,ATH,TOR,21.87232604181757,13,0.2446034880356837,4.168737875191628,9,0.24510271761990132,0.13142898676671685,"0.016930,0.066621,0.134226,0.183902,0.191772,0.161447,0.113674,0.068507,0.035915,0.016574,0.006793,0.002490,0.000820,0.000244,0.000066,0.000016,0.000004,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-08T22:45:34Z,2026-09-09T01:40:00Z,17.0,5.0
823901,666157,Nick Lodolo,CIN,LAD,22.534637001563073,21,0.21275346070856682,4.14204364032885,9,0.23974768149662762,0.12728942458772238,"0.016953,0.067129,0.135743,0.185957,0.193120,0.161351,0.112458,0.066988,0.034691,0.015817,0.006409,0.002324,0.000758,0.000223,0.000059,0.000014,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-08T22:45:34Z,2026-09-09T02:10:00Z,91.0,7.0
824875,700363,AJ Smith-Shawver,ATL,TB,22.08507711955988,4,0.2197462430265769,4.01555069591252,9,0.21930143718653142,0.11295505823948764,"0.019077,0.073467,0.144392,0.192268,0.194060,0.157434,0.106346,0.061230,0.030556,0.013386,0.005200,0.001806,0.000565,0.000160,0.000041,0.000010,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-08T22:45:34Z,2026-09-08T23:15:00Z,19.0,7.0
