game_pk,pitcher_id,pitcher,team,opponent,expected_bf,starts_seen,career_starts,days_since_last_start,appearances_seen,days_since_last_appearance,role,k_rate,k_rate_base,velo_z_used,expected_k,expected_outs,implied_baserunners,lineup_faced,prob_k_over_5.5,prob_k_over_6.5,prob_outs_over_14.5,prob_outs_over_15.5,prob_outs_over_16.5,prob_outs_over_17.5,prob_outs_over_18.5,outs_dist,k_dist,predicted_at_utc,start_time_utc,velo_base,velo_recent,velo_drop,velo_state,kform_base,kform_recent,kform_z,kform_state
823334,690986,Kyle Harrison,MIL,PIT,20.958211009935148,25,60,11.0,26,5.0,starter,0.2691237611469522,0.2677303835900759,0.1498255437501325,6.293371939867716,14.639257932361382,6.318953077573767,9,0.5960405186111649,0.4481661031229988,0.615859966384393,0.3764895956950092,0.3439879036766055,0.3214496867217592,0.1098759937217243,"2:0.013344,6:0.008096,7:0.028582,8:0.025226,9:0.044527,10:0.029474,11:0.052025,12:0.080353,13:0.060786,14:0.041726,15:0.239370,16:0.032502,17:0.022538,18:0.211574,19:0.027131,20:0.012677,21:0.064644,22:0.002194,24:0.002564,26:0.000666","0.003439,0.017168,0.044581,0.081080,0.116641,0.141050,0.147874,0.136525,0.111982,0.082091,0.054035,0.032053,0.017183,0.008343,0.003677,0.001475,0.000540,0.000182,0.000057,0.000017,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-17T16:07:51Z,2026-09-17T16:35:00Z,93.58477309462917,93.78606532356532,0.20129222893615406,Normal,0.24834983498349836,0.22727272727272727,-0.4576279426808981,Normal
824464,680736,Justin Wrobleski,LAD,CIN,24.298010388913383,21,29,11.0,28,5.0,starter,0.2153080431894291,0.2053648268825982,1.0691630437452613,5.833429304685974,17.618130762300897,6.679879626612486,9,0.5289025856625781,0.3700005491408311,0.8847494562496847,0.7086404607195345,0.6780766557314868,0.6509865121951447,0.3259413404483758,"2:0.000404,6:0.000654,7:0.002952,8:0.003330,9:0.007513,10:0.006356,11:0.014341,12:0.028310,13:0.027374,14:0.024018,15:0.176109,16:0.030564,17:0.027090,18:0.325045,19:0.053278,20:0.031818,21:0.207386,22:0.008998,24:0.017176,26:0.007286","0.003377,0.018347,0.051062,0.096635,0.139283,0.162393,0.158902,0.133727,0.098475,0.064268,0.037539,0.019781,0.009468,0.004142,0.001667,0.000620,0.000215,0.000070,0.000021,0.000006,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-17T16:07:51Z,2026-09-17T16:40:00Z,94.65153915311276,95.60226542331804,0.9507262702052799,Hot,0.20451977401129945,0.2833333333333333,1.5135411051309917,Hot
823334,696062,Wilber Dotel,PIT,MIL,20.782257367556824,1,1,6.0,19,2.0,starter,0.2065749608095469,0.2110810918988152,-0.4845302246525065,4.2156038069141,14.523852735286493,6.258404632270333,9,0.2592487172008987,0.144266485272983,0.6044256765938183,0.3657923136374465,0.3336286844313444,0.3114887190202276,0.1051801073947349,"2:0.014641,6:0.008625,7:0.030225,8:0.026480,9:0.046398,10:0.030486,11:0.053417,12:0.081897,13:0.061499,14:0.041905,15:0.238633,16:0.032164,17:0.022140,18:0.206309,19:0.026262,20:0.012181,21:0.061656,22:0.002078,24:0.002392,26:0.000612","0.019364,0.069908,0.132783,0.176747,0.184013,0.157937,0.114982,0.072265,0.039695,0.019238,0.008288,0.003194,0.001107,0.000347,0.000099,0.000026,0.000006,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-17T16:07:51Z,2026-09-17T16:35:00Z,96.19455511071136,95.43881831014316,-0.7557368005682008,Cold,0.2876712328767123,0.1388888888888889,-1.9720330439458476,Cold
824464,663903,Brady Singer,CIN,LAD,23.28225795626904,32,146,5.0,32,5.0,starter,0.1773786907678654,0.1917109092676455,-1.5410987634172184,4.038401032792623,15.57999892618891,7.702259030080132,9,0.2235343375778808,0.1163895737543276,0.7089332950954531,0.4714359320656288,0.4370220140956455,0.4115544473800989,0.1564198746022484,"2:0.005685,6:0.004474,7:0.016857,8:0.015877,9:0.029907,10:0.021126,11:0.039796,12:0.065595,13:0.052956,14:0.038793,15:0.237497,16:0.034414,17:0.025468,18:0.255135,19:0.034916,20:0.017410,21:0.094744,22:0.003432,24:0.004567,26:0.001350","0.019044,0.072858,0.143059,0.190816,0.193202,0.157487,0.107145,0.062329,0.031541,0.014063,0.005580,0.001986,0.000638,0.000186,0.000050,0.000012,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-17T16:07:51Z,2026-09-17T16:40:00Z,91.95541954880909,90.29019995877138,-1.665219590037708,Cold,0.21308079313406333,0.18,-0.8078648051731074,Normal
823978,671737,Taj Bradley,MIN,LAA,23.79436602227097,31,102,6.0,31,6.0,starter,0.2711334114966591,0.2646161332253764,0.7007826098153406,7.802692356107456,16.884760800872073,6.909605221398902,9,0.7884939344638037,0.6636328854124468,0.828695999227378,0.6213810914451663,0.5879081715986173,0.5603065455039657,0.2521976292707318,"2:0.001216,6:0.001475,7:0.006192,8:0.006499,9:0.013640,10:0.010736,11:0.022535,12:0.041388,13:0.037231,14:0.030391,15:0.207315,16:0.033473,17:0.027602,18:0.308109,19:0.046983,20:0.026104,21:0.158289,22:0.006389,24:0.010556,26:0.003876","0.000573,0.003922,0.013865,0.033691,0.063042,0.096413,0.124861,0.140111,0.138404,0.121746,0.096193,0.068728,0.044645,0.026485,0.014409,0.007218,0.003343,0.001439,0.000579,0.000218,0.000078,0.000026,0.000008,0.000002,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-17T17:05:34Z,2026-09-18T01:38:00Z,94.17500005486514,94.7835816000332,0.6085815451680645,Hot,0.2540322580645161,0.32653061224489793,1.648681357992209,Hot
823573,690997,Nolan McLean,NYM,PHI,23.766354817789185,31,37,6.0,31,6.0,starter,0.2619408225215768,0.2626662637121466,-0.0780044290935268,6.043569959038327,17.024816823281036,6.741537994508146,9,0.5650380836046852,0.4044152799095063,0.8402022126562614,0.638131901428333,0.6050753566957074,0.5774574722057859,0.2651000081200741,"2:0.000999,6:0.001278,7:0.005435,8:0.005779,9:0.012290,10:0.009801,11:0.020843,12:0.038786,13:0.035351,14:0.029236,15:0.202070,16:0.033057,17:0.027618,18:0.312357,19:0.048260,20:0.027167,21:0.166907,22:0.006826,24:0.011577,26:0.004363","0.002672,0.015085,0.043693,0.086205,0.129648,0.157659,0.160623,0.140336,0.106889,0.071840,0.043005,0.023103,0.011210,0.004942,0.001990,0.000737,0.000252,0.000080,0.000024,0.000007,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-17T17:05:34Z,2026-09-17T23:15:00Z,94.78886722314643,94.7494250090571,-0.039442214089319805,Normal,0.2796934865900383,0.21782178217821782,-1.3853289801273645,Cold
822924,656876,Drew Rasmussen,TB,ATH,21.886422679973307,30,93,6.0,30,6.0,starter,0.245618727986414,0.2469075838998881,-0.1385866573628071,5.9022378202197,16.53561846083957,5.350804219133739,9,0.5409017200676054,0.3854734590349177,0.7986251316129651,0.5798867004305712,0.5456587419321193,0.5183051158063914,0.2223830544245227,"2:0.001928,6:0.002063,7:0.008394,8:0.008538,9:0.017368,10:0.013249,11:0.026952,12:0.047973,13:0.041823,14:0.033086,15:0.218738,16:0.034228,17:0.027354,18:0.295922,19:0.043733,20:0.023549,21:0.138389,22:0.005414,24:0.008401,26:0.002897","0.004003,0.019950,0.051874,0.094052,0.133249,0.155971,0.155428,0.134246,0.101734,0.068279,0.040895,0.021998,0.010685,0.004709,0.001892,0.000696,0.000236,0.000074,0.000021,0.000006,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-17T17:05:34Z,2026-09-17T17:10:00Z,93.50260261388088,93.38144444444443,-0.12115816943645541,Normal,0.23274974253347064,0.2268041237113402,-0.1385701872806815,Normal
823573,605400,Aaron Nola,PHI,NYM,23.118770217849423,32,143,6.0,32,6.0,starter,0.2321266970585911,0.236823567082933,-0.5050397875636513,5.752599974710018,16.37018966188373,6.748580555965692,9,0.5161197741781658,0.3585545093720082,0.7837699967479941,0.560469465328094,0.5260204237411485,0.4988783805564453,0.2093864532713589,"2:0.002367,6:0.002394,7:0.009601,8:0.009627,9:0.019308,10:0.014521,11:0.029122,12:0.051105,13:0.043926,14:0.034259,15:0.223301,16:0.034449,17:0.027142,18:0.289492,19:0.042179,20:0.022392,21:0.129735,22:0.005004,24:0.007547,26:0.002530","0.003990,0.020472,0.054603,0.100311,0.141676,0.162827,0.157565,0.131335,0.095842,0.061981,0.035851,0.018678,0.008814,0.003784,0.001484,0.000534,0.000177,0.000054,0.000016,0.000004,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-17T17:05:34Z,2026-09-17T23:15:00Z,91.41332027848254,90.94426194067371,-0.469058337808832,Normal,0.2557596967045786,0.1958762886597938,-1.3518226822281565,Cold
822845,641302,Tyler Alexander,TEX,BOS,23.07635467980296,0,31,414.0,70,2.0,reliever,0.2353195558106628,0.2184864980254029,1.8100062134688093,5.432206946117459,16.33743842364532,6.738916256157637,9,0.4629149712291736,0.3076074406174927,0.780788177339901,0.556650246305418,0.5221674876847285,0.4950738916256152,0.2068965517241375,"2:0.002463,6:0.002463,7:0.009852,8:0.009852,9:0.019704,10:0.014778,11:0.029557,12:0.051724,13:0.044335,14:0.034483,15:0.224138,16:0.034483,17:0.027094,18:0.288177,19:0.041872,20:0.022167,21:0.128079,22:0.004926,24:0.007389,26:0.002463","0.005214,0.025762,0.065860,0.115513,0.155287,0.169449,0.155308,0.122276,0.084011,0.050963,0.027546,0.013364,0.005857,0.002333,0.000850,0.000285,0.000088,0.000025,0.000007,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-17T17:05:34Z,2026-09-18T00:05:00Z,88.48974019352087,90.79511953424996,2.3053793407290897,Hot,0.18444266238973536,0.17647058823529413,-0.11985408680975491,Normal
822845,543243,Sonny Gray,BOS,TEX,23.722815044364207,29,142,6.0,29,6.0,starter,0.2118723872696174,0.2220843932268851,-1.0980651566954542,5.366825409385455,17.26367835581997,6.459136688544238,9,0.4507665506716362,0.2967495552972338,0.858995064983171,0.6666889268397224,0.6344948853994197,0.6069693448101051,0.2883847713479016,"2:0.000705,6:0.000988,7:0.004300,8:0.004679,9:0.010183,10:0.008310,11:0.018086,12:0.034442,13:0.032124,14:0.027188,15:0.192306,16:0.032194,17:0.027526,18:0.318585,19:0.050371,20:0.029018,21:0.182444,22:0.007636,24:0.013562,26:0.005353","0.005415,0.026838,0.068502,0.119311,0.158570,0.170598,0.154017,0.119507,0.081052,0.048646,0.026082,0.012586,0.005501,0.002191,0.000799,0.000269,0.000084,0.000024,0.000007,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-17T17:05:34Z,2026-09-18T00:05:00Z,91.29602788787466,90.40133024691357,-0.8946976409610841,Cold,0.2560099906337808,0.22772277227722773,-0.6513867512816228,Normal
824305,650633,Michael King,SD,COL,23.28225795626904,32,84,5.0,32,5.0,starter,0.2140419054364293,0.2095680521247884,0.4810594958753634,5.027923393037538,17.024140615562207,6.258117340706836,9,0.3922048289040387,0.244987289040984,0.840147492593969,0.6380509830663555,0.6049922696117885,0.5773743418297538,0.2650363898566973,"2:0.001000,6:0.001279,7:0.005438,8:0.005782,9:0.012296,10:0.009805,11:0.020851,12:0.038799,13:0.035360,14:0.029242,15:0.202097,16:0.033059,17:0.027618,18:0.312338,19:0.048253,20:0.027162,21:0.166864,22:0.006824,24:0.011572,26:0.004361","0.007457,0.034720,0.083427,0.136960,0.171547,0.173686,0.147218,0.106939,0.067696,0.037819,0.018831,0.008425,0.003411,0.001258,0.000425,0.000132,0.000038,0.000010,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-17T17:05:34Z,2026-09-17T19:10:00Z,93.74605379215598,94.17821876704856,0.43216497489258643,Normal,0.25732421875,0.19801980198019803,-1.3633512596828692,Cold
824548,664285,Framber Valdez,DET,CWS,24.522657338797583,31,150,6.0,31,6.0,starter,0.1848568305723658,0.182958532937634,0.2041180252399758,5.015837146979304,16.884760800872073,7.6378965379255135,9,0.3888527414327139,0.241873897657859,0.828695999227378,0.6213810914451663,0.5879081715986173,0.5603065455039657,0.2521976292707318,"2:0.001216,6:0.001475,7:0.006192,8:0.006499,9:0.013640,10:0.010736,11:0.022535,12:0.041388,13:0.037231,14:0.030391,15:0.207315,16:0.033473,17:0.027602,18:0.308109,19:0.046983,20:0.026104,21:0.158289,22:0.006389,24:0.010556,26:0.003876","0.007114,0.034204,0.083681,0.138353,0.173230,0.174565,0.146979,0.106031,0.066726,0.037130,0.018464,0.008278,0.003371,0.001255,0.000430,0.000136,0.000040,0.000011,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-17T17:05:34Z,2026-09-17T23:40:00Z,94.24575431403161,94.42079050473176,0.17503619070014054,Normal,0.22929427430093208,0.1,-3.075660499922847,Cold
