game_pk,pitcher_id,pitcher,team,opponent,expected_bf,starts_seen,k_rate,expected_k,lineup_faced,prob_k_over_5.5,prob_k_over_6.5,k_dist,predicted_at_utc,start_time_utc
823907,669373,Tarik Skubal,LAD,STL,23.41017316017316,25,0.2789857119854659,7.38791822779365,9,0.7452551046627929,0.608382711023808,"0.000758,0.005199,0.018096,0.042651,0.076559,0.111483,0.136872,0.145322,0.135774,0.113005,0.084524,0.057167,0.035111,0.019638,0.010019,0.004667,0.001986,0.000772,0.000274,0.000089,0.000026,0.000007,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-03T01:35:08Z,2026-09-04T02:10:00Z
824144,686613,Hunter Brown,HOU,CWS,23.17646172393008,19,0.23940938970662415,6.688788027687741,9,0.6575914885337943,0.505360442863944,"0.001474,0.009213,0.029260,0.062940,0.103006,0.136515,0.152231,0.146513,0.123886,0.093215,0.062989,0.038473,0.021330,0.010761,0.004945,0.002070,0.000788,0.000273,0.000086,0.000024,0.000006,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-03T01:35:08Z,2026-09-03T18:10:00Z
824632,701656,Logan Henderson,MIL,CHC,21.93684422921711,13,0.2612747528558031,6.498387084910864,9,0.628881158509922,0.47531692223515454,"0.001905,0.011298,0.034216,0.070516,0.111045,0.142139,0.153564,0.143571,0.118208,0.086808,0.057388,0.034374,0.018731,0.009305,0.004216,0.001742,0.000655,0.000224,0.000069,0.000020,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-03T01:35:08Z,2026-09-03T23:15:00Z
824632,592332,Kevin Gausman,CHC,MIL,23.80058734369079,33,0.23428454147335007,6.056791909946815,9,0.5646880301759348,0.40576018153593396,"0.002655,0.015186,0.044146,0.086836,0.129761,0.156727,0.158928,0.138764,0.106177,0.072106,0.043863,0.024060,0.011954,0.005395,0.002215,0.000827,0.000281,0.000087,0.000024,0.000006,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-03T01:35:08Z,2026-09-03T23:15:00Z
823095,678022,Jack Perkins,ATH,SEA,22.17258340461933,12,0.2332413127605177,5.6720483613943395,9,0.5019952434049287,0.3445386081511068,"0.003929,0.020944,0.056828,0.104512,0.146234,0.165557,0.157457,0.128964,0.092550,0.058920,0.033574,0.017231,0.008000,0.003368,0.001288,0.000448,0.000142,0.000041,0.000011,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-03T01:35:08Z,2026-09-04T01:40:00Z
824796,687562,Jake Bennett,BOS,BAL,23.34696342305038,16,0.2069872704781124,5.546444040398237,9,0.4809211968105666,0.32446152037369547,"0.004368,0.022946,0.061249,0.110613,0.151726,0.168176,0.156460,0.125278,0.087845,0.054608,0.030356,0.015180,0.006856,0.002804,0.001040,0.000350,0.000107,0.000029,0.000007,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-03T01:35:08Z,2026-09-03T23:15:00Z
822853,663556,Shane McClanahan,TB,TEX,20.80440948942754,23,0.21920819763668162,5.476906465214609,9,0.4681984654895419,0.31474539957991227,"0.005062,0.025484,0.065549,0.114799,0.153687,0.167220,0.153453,0.121695,0.084845,0.052668,0.029388,0.014843,0.006817,0.002854,0.001090,0.000379,0.000120,0.000034,0.000009,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-03T01:35:08Z,2026-09-04T00:05:00Z
824069,608379,Michael Wacha,KC,MIA,24.71378551420568,31,0.19956269032080629,5.33388985450446,9,0.4453083509096796,0.29013922815482435,"0.005060,0.026176,0.068511,0.120813,0.161150,0.172980,0.155169,0.119238,0.079833,0.047122,0.024724,0.011597,0.004882,0.001849,0.000631,0.000194,0.000054,0.000013,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-03T01:35:08Z,2026-09-03T23:40:00Z
824144,622491,Luis Castillo,CWS,HOU,22.615053513261984,26,0.20737778118448924,5.149440446761386,9,0.41263104076033186,0.26307168093286964,"0.006441,0.031427,0.078015,0.131145,0.167503,0.172837,0.149559,0.111239,0.072347,0.041655,0.021426,0.009912,0.004145,0.001572,0.000542,0.000170,0.000049,0.000013,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-03T01:35:08Z,2026-09-03T18:10:00Z
824388,667755,José Soriano,TOR,CLE,23.15377278507842,29,0.22820985816072178,4.9856478385067495,9,0.38382457627414335,0.23778529036386845,"0.007283,0.034998,0.085252,0.140067,0.174179,0.174396,0.146039,0.104898,0.065766,0.036428,0.017974,0.007942,0.003152,0.001126,0.000362,0.000105,0.000027,0.000006,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-03T01:35:08Z,2026-09-03T17:10:00Z
