game_pk,game_date,home_team,away_team,home_runs,away_runs,total_runs,home_win_prob,away_win_prob,home_hitters,away_hitters,predicted_at_utc,start_time_utc
824424,2026-09-04,CLE,DET,4.181694381183304,4.38340562432161,8.565100005504913,0.4909994447630809,0.509000555236919,9,9,2026-09-04T17:03:37Z,2026-09-04T18:10:00Z
824471,2026-09-04,CIN,MIL,4.584642677132261,5.019615756847488,9.604258433979748,0.47350553865692263,0.5264944613430773,9,9,2026-09-04T20:36:51Z,2026-09-04T22:10:00Z
823418,2026-09-04,PHI,ATL,4.267993010354809,4.576469396917964,8.844462407272772,0.48230611714540966,0.5176938828545903,9,9,2026-09-04T20:36:51Z,2026-09-04T22:40:00Z
823338,2026-09-04,PIT,LAA,4.3410381096747805,3.8337760014167652,8.174814111091546,0.5534349718765583,0.4465650281234417,9,9,2026-09-04T20:36:51Z,2026-09-04T22:45:00Z
824797,2026-09-04,BAL,BOS,4.35627561038405,4.470251566863034,8.826527177247083,0.49853082785738356,0.5014691721426164,9,9,2026-09-04T20:36:51Z,2026-09-04T23:05:00Z
823579,2026-09-04,NYM,SF,4.3840041629519755,4.0294300500199,8.413434212971875,0.5390832480143412,0.46091675198565885,9,9,2026-09-04T20:36:51Z,2026-09-04T23:10:00Z
823824,2026-09-04,MIA,CHC,3.8480007319627045,4.527764894680639,8.375765626643343,0.44933930785057513,0.5506606921494248,9,9,2026-09-04T20:36:51Z,2026-09-04T23:10:00Z
824387,2026-09-04,CLE,DET,3.8276158955254607,4.077887318975254,7.9055032145007145,0.48603880231292096,0.513961197687079,9,9,2026-09-04T20:36:51Z,2026-09-04T23:15:00Z
824554,2026-09-04,CWS,MIN,5.003390485659267,4.525297013146185,9.528687498805452,0.5451391651601171,0.45486083483988293,9,9,2026-09-04T20:36:51Z,2026-09-04T23:40:00Z
822852,2026-09-04,TEX,TB,4.0498483802999345,4.35880902814819,8.408657408448125,0.48157377755388525,0.5184262224461147,9,9,2026-09-04T20:36:51Z,2026-09-05T00:05:00Z
824067,2026-09-04,KC,TOR,4.0104511409282395,4.065978174750708,8.076429315678947,0.5036844694113471,0.49631553058865285,9,9,2026-09-04T20:36:51Z,2026-09-05T00:10:00Z
824146,2026-09-04,HOU,AZ,4.294048895391985,4.558801681123571,8.852850576515555,0.4859627780571127,0.5140372219428873,9,9,2026-09-04T20:36:51Z,2026-09-05T00:10:00Z
824311,2026-09-04,COL,STL,4.325233961268586,4.380074413810609,8.705308375079195,0.5035144429776836,0.49648555702231645,9,9,2026-09-04T20:36:51Z,2026-09-05T00:40:00Z
823256,2026-09-04,SD,NYY,3.9837829199017163,4.380469580486103,8.36425250038782,0.47386549968354347,0.5261345003164566,9,9,2026-09-04T20:36:51Z,2026-09-05T01:40:00Z
823093,2026-09-04,SEA,ATH,4.5347972457239365,3.523560431224819,8.058357676948756,0.5985965043294021,0.40140349567059785,9,9,2026-09-04T20:36:51Z,2026-09-05T02:10:00Z
823905,2026-09-04,LAD,WSH,5.048280218903181,4.049038606695877,9.097318825599057,0.5888987119429248,0.41110128805707524,9,9,2026-09-04T20:36:51Z,2026-09-05T02:10:00Z
