game_pk,game_date,home_team,away_team,home_runs,away_runs,total_runs,home_win_prob,away_win_prob,home_hitters,away_hitters,predicted_at_utc,start_time_utc,home_lineup_runs,away_lineup_runs
823577,2026-09-05,NYM,SF,4.615835783255666,3.7784572531187006,8.394293036374368,0.5807470688161551,0.4192529311838449,9,9,2026-09-05T19:31:49Z,2026-09-05T20:10:00Z,,
823823,2026-09-05,MIA,CHC,4.079893752905772,4.666638044734038,8.74653179763981,0.4587815400604697,0.5412184599395302,9,9,2026-09-05T19:31:49Z,2026-09-05T20:10:00Z,,
823419,2026-09-05,PHI,ATL,4.465078373012302,4.295033960824361,8.760112333836663,0.5223934306202739,0.4776065693797261,9,9,2026-09-05T21:56:50Z,2026-09-05T22:05:00Z,4.279651247174011,4.116668490792035
824389,2026-09-05,CLE,DET,3.861728853770479,3.967665638280689,7.829394492051167,0.4991637454027021,0.500836254597298,9,9,2026-09-05T21:56:50Z,2026-09-05T22:10:00Z,3.701357809345033,3.802895219010893
823335,2026-09-05,PIT,LAA,4.4313202262537095,3.893542401342868,8.324862627596577,0.5553431058471067,0.4446568941528933,9,9,2026-09-05T21:56:50Z,2026-09-05T22:40:00Z,4.24729501894946,3.7318501942868334
824468,2026-09-05,CIN,MIL,4.492925697307328,4.829485069054281,9.32241076636161,0.4807576354389812,0.5192423645610188,9,9,2026-09-05T21:56:50Z,2026-09-05T22:40:00Z,4.306342119358919,4.628924751670754
822850,2026-09-05,TEX,TB,4.1416640367107105,4.272174093010098,8.413838129720808,0.4970549398081432,0.5029450601918568,9,9,2026-09-05T22:40:34Z,2026-09-05T23:05:00Z,3.9824146880157083,4.107906558078934
824795,2026-09-05,BAL,BOS,4.265926483032997,4.651425327851174,8.91735181088417,0.4760362215452305,0.5239637784547695,9,9,2026-09-05T22:40:34Z,2026-09-05T23:05:00Z,4.101899172275242,4.472575366242017
824066,2026-09-05,KC,TOR,4.245236512109792,4.199233117781625,8.444469629891417,0.5123270985452828,0.4876729014547172,9,9,2026-09-05T22:40:34Z,2026-09-05T23:10:00Z,4.082004742555967,4.037770205025353
824553,2026-09-05,CWS,MIN,4.781645395329596,4.80760192159461,9.589247316924206,0.5054987034688152,0.4945012965311848,9,9,2026-09-05T22:40:34Z,2026-09-05T23:10:00Z,4.597788397720139,4.6227468807191014
823257,2026-09-05,SD,NYY,4.234135397432513,4.354658775265245,8.588794172697757,0.4979479734421456,0.5020520265578544,9,9,2026-09-05T22:40:34Z,2026-09-05T23:15:00Z,4.071330472081036,4.187219657170885
824145,2026-09-05,HOU,AZ,4.57903200139908,5.011140003546694,9.590172004945774,0.4736992873065601,0.5263007126934399,9,9,2026-09-05T22:40:34Z,2026-09-05T23:15:00Z,4.402965604556445,4.818458807121581
824310,2026-09-05,COL,STL,4.593982353466621,4.7165028932422315,9.310485246708852,0.4978928750450947,0.5021071249549053,9,9,2026-09-05T22:40:34Z,2026-09-06T00:10:00Z,4.417341107044587,4.535150662059463
823904,2026-09-05,LAD,WSH,4.811123831675094,4.2837035632555,9.094827394930594,0.5508298659629365,0.4491701340370635,9,9,2026-09-05T22:40:34Z,2026-09-06T01:10:00Z,4.6261333713446255,4.118992713605638
823094,2026-09-05,SEA,ATH,4.394178712367023,4.060669590332918,8.454848302699942,0.5371204272237609,0.46287957277623915,9,9,2026-09-05T22:40:34Z,2026-09-06T01:40:00Z,4.2252200301100125,3.90453452438013
