pitcher_id,name,game_date,opp,home,pitches,bf,k,last_inning,velo
671737,Taj Bradley,2026-09-11,CLE,True,94,22,6,6,94.52567567567567
671737,Taj Bradley,2026-09-05,CWS,False,80,21,6,5,95.46935483870968
671737,Taj Bradley,2026-08-31,DET,True,104,27,9,7,94.35571428571428
671737,Taj Bradley,2026-08-25,ATH,False,99,28,11,7,94.96027397260275
671737,Taj Bradley,2026-08-19,ATL,True,88,20,7,5,94.78548387096774
671737,Taj Bradley,2026-08-13,PHI,True,89,23,3,4,94.65483870967742
671737,Taj Bradley,2026-08-08,MIL,False,97,23,7,5,95.22361111111111
671737,Taj Bradley,2026-08-02,SEA,False,94,29,2,6,94.846875
671737,Taj Bradley,2026-07-28,KC,True,102,23,10,6,94.49285714285715
671737,Taj Bradley,2026-07-23,CLE,False,110,25,5,7,95.14126984126983
690986,Kyle Harrison,2026-09-06,CIN,False,93,24,4,4,93.96190476190476
690986,Kyle Harrison,2026-08-31,CHC,False,98,24,3,4,93.37307692307692
690986,Kyle Harrison,2026-08-25,NYM,False,90,21,5,5,94.02321428571429
690986,Kyle Harrison,2026-08-18,SEA,True,79,19,8,5,93.525
690986,Kyle Harrison,2026-08-11,SD,False,90,27,3,5,93.23207547169811
690986,Kyle Harrison,2026-08-05,PIT,True,69,16,10,5,94.61282051282052
690986,Kyle Harrison,2026-07-08,STL,False,70,17,2,4,94.6
690986,Kyle Harrison,2026-07-03,AZ,False,72,15,3,3,95.84883720930233
690986,Kyle Harrison,2026-06-27,CHC,True,92,19,9,5,95.46964285714286
690986,Kyle Harrison,2026-06-20,ATL,False,85,23,7,7,95.13673469387754
690997,Nolan McLean,2026-09-11,NYY,False,101,24,5,5,95.47462686567164
690997,Nolan McLean,2026-09-04,SF,True,105,27,7,6,94.76575342465753
690997,Nolan McLean,2026-08-29,HOU,True,93,26,4,7,94.0078947368421
690997,Nolan McLean,2026-08-23,CWS,False,92,24,6,6,94.84814814814816
690997,Nolan McLean,2026-08-17,SD,True,103,26,3,6,94.5765625
690997,Nolan McLean,2026-08-11,ATL,False,85,20,3,6,94.30153846153847
690997,Nolan McLean,2026-08-06,CLE,False,94,26,8,5,95.29830508474576
690997,Nolan McLean,2026-07-30,MIA,True,99,26,6,7,95.39285714285714
690997,Nolan McLean,2026-07-25,LAD,True,96,27,7,6,95.075
690997,Nolan McLean,2026-07-19,PHI,False,93,21,10,6,95.50333333333333
656876,Drew Rasmussen,2026-09-11,HOU,True,92,27,4,7,93.61749999999999
656876,Drew Rasmussen,2026-09-05,TEX,False,97,24,7,7,92.80416666666666
656876,Drew Rasmussen,2026-08-30,SD,True,97,25,6,6,93.72266666666667
656876,Drew Rasmussen,2026-08-24,DET,False,103,21,5,6,93.444
656876,Drew Rasmussen,2026-08-19,TOR,True,86,23,5,5,93.7056338028169
656876,Drew Rasmussen,2026-08-12,ATH,False,84,21,3,5,93.51857142857143
656876,Drew Rasmussen,2026-08-07,SEA,False,91,24,8,7,94.27875
656876,Drew Rasmussen,2026-08-01,CWS,True,96,22,10,6,94.22758620689655
656876,Drew Rasmussen,2026-07-26,CLE,True,87,24,9,7,94.18484848484849
656876,Drew Rasmussen,2026-07-21,TOR,False,93,23,5,6,93.32000000000001
680736,Justin Wrobleski,2026-09-12,MIA,False,29,9,1,7,95.97777777777777
680736,Justin Wrobleski,2026-09-06,WSH,True,74,17,6,4,95.20270270270271
680736,Justin Wrobleski,2026-09-01,STL,True,36,10,4,8,95.6263157894737
680736,Justin Wrobleski,2026-08-15,MIL,True,107,24,6,6,95.8445945945946
680736,Justin Wrobleski,2026-08-09,AZ,False,76,20,3,4,94.63600000000001
680736,Justin Wrobleski,2026-08-03,CHC,False,91,23,4,5,94.40892857142856
680736,Justin Wrobleski,2026-07-28,SEA,True,102,25,7,6,94.33220338983051
680736,Justin Wrobleski,2026-07-21,PHI,False,89,25,7,7,93.84166666666665
680736,Justin Wrobleski,2026-07-07,COL,True,94,28,9,7,95.04655172413793
680736,Justin Wrobleski,2026-06-30,ATH,False,110,27,11,7,94.93278688524589
605400,Aaron Nola,2026-09-11,ATL,False,101,27,3,7,90.67399999999999
605400,Aaron Nola,2026-09-06,ATL,True,93,25,5,7,91.65686274509804
605400,Aaron Nola,2026-08-31,AZ,False,104,22,4,6,90.50192307692308
605400,Aaron Nola,2026-08-25,SEA,False,92,23,7,6,91.3
605400,Aaron Nola,2026-08-19,MIA,True,100,26,8,7,90.8913043478261
605400,Aaron Nola,2026-08-13,MIN,False,97,23,9,5,91.75813953488372
605400,Aaron Nola,2026-08-08,TOR,True,97,22,8,6,91.26521739130435
