pitcher_id,name,game_date,opp,home,pitches,bf,k,last_inning,velo
702056,Trey Yesavage,2026-07-29,WSH,False,97,26,4,7,93.6078947368421
702056,Trey Yesavage,2026-07-24,BOS,False,93,18,9,4,94.81463414634146
702056,Trey Yesavage,2026-07-19,CWS,True,95,24,9,6,94.21803278688525
702056,Trey Yesavage,2026-07-11,SD,False,59,13,1,2,94.03333333333333
702056,Trey Yesavage,2026-07-05,SEA,False,96,24,7,6,94.22916666666667
702056,Trey Yesavage,2026-06-29,NYM,True,94,25,3,7,94.93877551020408
702056,Trey Yesavage,2026-06-24,HOU,True,105,25,5,6,93.8736842105263
702056,Trey Yesavage,2026-06-18,BOS,False,95,26,6,8,94.62
702056,Trey Yesavage,2026-06-12,NYY,True,81,25,3,6,94.32173913043479
702056,Trey Yesavage,2026-06-05,BAL,True,91,24,5,6,94.57714285714285
805673,Zebby Matthews,2026-09-16,NYY,True,97,22,8,6,94.76511627906977
805673,Zebby Matthews,2026-09-09,DET,False,58,13,2,3,93.87142857142858
805673,Zebby Matthews,2026-09-04,CWS,False,84,20,4,5,93.99374999999999
805673,Zebby Matthews,2026-08-30,CWS,True,103,30,5,9,93.978125
805673,Zebby Matthews,2026-08-24,ATH,False,105,27,7,7,94.94999999999999
805673,Zebby Matthews,2026-08-18,ATL,True,90,23,4,6,93.64528301886791
805673,Zebby Matthews,2026-08-12,BAL,True,94,22,4,5,94.07959183673469
805673,Zebby Matthews,2026-08-07,MIL,False,83,24,4,5,94.22222222222223
805673,Zebby Matthews,2026-07-31,SEA,False,101,22,10,6,94.69615384615385
805673,Zebby Matthews,2026-07-24,ATH,True,92,23,1,6,95.21249999999999
687792,DJ Herz,2024-09-25,KC,True,81,21,3,5,92.33260869565218
687792,DJ Herz,2024-09-18,NYM,False,83,19,5,4,93.91162790697673
687792,DJ Herz,2024-09-13,MIA,True,87,20,5,5,93.28222222222222
687792,DJ Herz,2024-09-07,PIT,False,87,18,5,5,93.99799999999999
687792,DJ Herz,2024-08-31,CHC,True,87,19,5,5,94.26666666666667
687792,DJ Herz,2024-08-25,ATL,False,92,20,8,5,93.54523809523809
687792,DJ Herz,2024-08-20,COL,True,93,25,7,6,93.602
687792,DJ Herz,2024-08-14,BAL,False,85,23,5,6,94.23142857142857
687792,DJ Herz,2024-08-08,SF,True,74,16,4,3,92.36666666666666
687792,DJ Herz,2024-08-03,MIL,True,77,20,6,5,93.92115384615384
689981,River Ryan,2024-08-10,PIT,True,57,17,4,5,96.08620689655173
689981,River Ryan,2024-08-04,ATH,False,75,21,4,5,95.80277777777778
689981,River Ryan,2024-07-28,HOU,False,91,21,8,6,95.81764705882352
689981,River Ryan,2024-07-22,SF,True,73,22,2,6,95.69268292682926
669358,Shane Baz,2026-09-15,NYM,False,68,21,2,5,92.9
669358,Shane Baz,2026-09-09,CLE,True,100,26,5,6,93.55076923076923
669358,Shane Baz,2026-09-04,BOS,True,95,26,6,7,93.19545454545455
669358,Shane Baz,2026-08-29,ATH,False,84,24,4,6,95.17708333333333
669358,Shane Baz,2026-08-23,TB,True,96,23,3,6,95.05
669358,Shane Baz,2026-08-18,NYY,True,104,25,10,7,96.03750000000001
669358,Shane Baz,2026-08-12,MIN,False,65,19,2,3,93.15294117647058
669358,Shane Baz,2026-08-07,TEX,False,93,28,9,8,93.64761904761905
669358,Shane Baz,2026-08-01,PHI,True,99,26,4,7,95.64655172413794
669358,Shane Baz,2026-07-26,ATL,True,90,19,2,5,94.19545454545455
694918,Blade Tidwell,2026-09-15,STL,False,95,25,4,7,93.14259259259259
694918,Blade Tidwell,2026-09-09,STL,True,78,21,2,5,94.87200000000001
694918,Blade Tidwell,2026-09-03,PIT,False,95,22,5,5,93.24838709677418
694918,Blade Tidwell,2026-08-28,AZ,True,100,23,4,5,94.67291666666667
694918,Blade Tidwell,2026-08-22,BOS,False,93,21,7,6,93.98139534883721
694918,Blade Tidwell,2026-08-16,COL,True,64,19,1,5,93.5
694918,Blade Tidwell,2026-08-10,HOU,True,96,22,6,6,95.04418604651163
694918,Blade Tidwell,2026-08-04,TEX,False,100,22,3,5,94.1046511627907
694918,Blade Tidwell,2026-04-28,PHI,False,47,11,2,8,96.28260869565217
694918,Blade Tidwell,2026-04-23,LAD,True,25,8,2,9,96.19090909090909
