game_pk,pitcher_id,pitcher,team,opponent,expected_bf,starts_seen,career_starts,days_since_last_start,appearances_seen,days_since_last_appearance,role,k_rate,expected_k,expected_outs,implied_baserunners,lineup_faced,prob_k_over_5.5,prob_k_over_6.5,prob_outs_over_14.5,prob_outs_over_15.5,prob_outs_over_16.5,prob_outs_over_17.5,prob_outs_over_18.5,outs_dist,k_dist,predicted_at_utc,start_time_utc
822764,656302,Dylan Cease,TOR,BAL,23.696875828923645,30,156,6.0,30,6.0,starter,0.3157914094743886,8.828804811823979,17.615442369856176,6.081433459067469,9,0.8692678666858903,0.7748313173549588,0.8642632995062296,0.7097087139119307,0.6427423699352746,0.5719035471067561,0.3001384229338492,"4:0.000328,5:0.000739,6:0.001668,7:0.000471,8:0.003186,9:0.007789,10:0.002704,11:0.012204,12:0.042173,13:0.018452,14:0.046023,15:0.154555,16:0.066966,17:0.070839,18:0.271765,19:0.040084,20:0.029399,21:0.145448,22:0.008638,23:0.003249,24:0.058652,25:0.004136,27:0.010532","0.000213,0.001670,0.006705,0.018336,0.038376,0.065433,0.094437,0.118321,0.130991,0.129795,0.116224,0.094734,0.070665,0.048416,0.030529,0.017723,0.009460,0.004628,0.002066,0.000836,0.000305,0.000099,0.000029,0.000007,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-13T04:37:43Z,2026-09-13T17:37:00Z
823495,693645,Cam Schlittler,NYY,NYM,23.21701833590585,33,44,5.0,33,5.0,starter,0.2934784117294008,7.170714726423196,17.592993374907408,5.62402496099844,9,0.7198821009518709,0.5773478541190064,0.8628236092646411,0.7074714116045209,0.6402923894531288,0.5693689143831403,0.29781630760467726,"4:0.000336,5:0.000758,6:0.001707,7:0.000481,8:0.003247,9:0.007922,10:0.002745,11:0.012365,12:0.042643,13:0.018620,14:0.046352,15:0.155352,16:0.067179,17:0.070923,18:0.271553,19:0.039974,20:0.029260,21:0.144475,22:0.008563,23:0.003214,24:0.057915,25:0.004076,27:0.010339","0.000954,0.006270,0.021073,0.048213,0.084221,0.119387,0.142534,0.146911,0.133041,0.107242,0.077706,0.050981,0.030440,0.016591,0.008262,0.003756,0.001555,0.000584,0.000198,0.000060,0.000016,0.000004,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-13T04:37:43Z,2026-09-13T17:35:00Z
822682,663623,Jake Irvin,WSH,LAA,21.920658848825862,22,109,6.0,22,6.0,starter,0.22504046852161785,6.125124382033463,15.06576218104904,6.854896667776822,9,0.5763180858626814,0.4183032173436515,0.6410613016624658,0.4338298675410308,0.3612996269465006,0.29932375356004437,0.10726512029774847,"4:0.004597,5:0.008380,6:0.015276,7:0.003481,8:0.019036,9:0.037592,10:0.010543,11:0.038436,12:0.107286,13:0.037917,14:0.076395,15:0.207231,16:0.072530,17:0.061976,18:0.192059,19:0.022883,20:0.013557,21:0.054177,22:0.002599,23:0.000790,24:0.011515,25:0.000656,27:0.001090","0.002720,0.015051,0.042903,0.083817,0.125700,0.153491,0.158015,0.140258,0.109022,0.075054,0.046157,0.025527,0.012763,0.005791,0.002391,0.000900,0.000308,0.000096,0.000027,0.000007,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-13T04:37:43Z,2026-09-13T17:35:00Z
823495,681035,Christian Scott,NYM,NYY,20.905898492749053,21,30,7.0,21,7.0,starter,0.2614603547022899,5.994338177534269,14.562484444903088,6.343414047845965,9,0.5539706179665108,0.39873273880544285,0.58897458879615,0.3831449662139085,0.31372030562932923,0.2565514229083085,0.08582006880607462,"4:0.006858,5:0.012047,6:0.021163,7:0.004647,8:0.024492,9:0.046612,10:0.012598,11:0.044261,12:0.119061,13:0.040551,14:0.078736,15:0.205830,16:0.069425,17:0.057169,18:0.170731,19:0.019603,20:0.011192,21:0.043104,22:0.001993,23:0.000583,24:0.008200,25:0.000450,27:0.000695","0.003517,0.018210,0.048863,0.090658,0.130445,0.154337,0.155238,0.135498,0.104057,0.071019,0.043411,0.023913,0.011928,0.005409,0.002236,0.000844,0.000291,0.000092,0.000026,0.000007,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-13T04:37:43Z,2026-09-13T17:35:00Z
823734,695505,Chase Burns,CIN,MIL,22.34326786320664,27,33,6.0,31,6.0,starter,0.2747118562819946,5.987218725250813,16.44340221558389,5.89986564762275,9,0.5547806054147513,0.39569795567518673,0.7747249245034897,0.584480349080328,0.5100598579727479,0.4389855183748347,0.1928123161013239,"4:0.001241,5:0.002529,6:0.005153,7:0.001312,8:0.008021,9:0.017703,10:0.005549,11:0.022611,12:0.070543,13:0.027865,14:0.062748,15:0.190245,16:0.074420,17:0.071074,18:0.246173,19:0.032781,20:0.021707,21:0.096955,22:0.005198,23:0.001765,24:0.028772,25:0.001832,27:0.003802","0.002978,0.016395,0.046354,0.089461,0.132001,0.158031,0.159083,0.137827,0.104450,0.070058,0.041958,0.022588,0.010987,0.004846,0.001943,0.000709,0.000235,0.000071,0.000019,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-13T04:37:43Z,2026-09-13T18:10:00Z
823815,686218,Emmet Sheehan,LAD,MIA,21.54612701361987,22,43,6.0,24,6.0,starter,0.2657225334523775,5.986536318988139,15.477747199775632,6.068379813844238,9,0.5539902869830629,0.39604970927597505,0.6829977454699759,0.47755852412572247,0.40333305491116755,0.3378600015294842,0.12841023575695498,"4:0.003213,5:0.006045,6:0.011376,7:0.002676,8:0.015106,9:0.030795,10:0.008915,11:0.033554,12:0.096684,13:0.035274,14:0.073364,15:0.205439,16:0.074225,17:0.065473,18:0.209450,19:0.025761,20:0.015755,21:0.064995,22:0.003219,23:0.001009,24:0.015196,25:0.000894,27:0.001582","0.003169,0.017034,0.047240,0.089935,0.131628,0.157003,0.157941,0.137013,0.104124,0.070149,0.042284,0.022967,0.011298,0.005048,0.002052,0.000758,0.000254,0.000077,0.000021,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-13T04:37:43Z,2026-09-13T17:40:00Z
824708,801139,Payton Tolle,BOS,KC,22.901797605005246,24,26,7.0,28,7.0,starter,0.2709794026869656,5.731503840400574,16.977555757282556,5.924241847722691,9,0.5126026760867645,0.35382819452869174,0.8190654294619928,0.6432780624442153,0.5712630961779438,0.49923566701943056,0.23797098402660727,"4:0.000690,5:0.001473,6:0.003142,7:0.000838,8:0.005364,9:0.012399,10:0.004070,11:0.017369,12:0.056750,13:0.023476,14:0.055363,15:0.175787,16:0.072015,17:0.072027,18:0.261265,19:0.036435,20:0.025266,21:0.118189,22:0.006636,23:0.002360,24:0.040284,25:0.002686,27:0.006114","0.003687,0.019775,0.054251,0.101157,0.143628,0.164900,0.158774,0.131350,0.094975,0.060794,0.034787,0.017928,0.008369,0.003552,0.001374,0.000484,0.000155,0.000045,0.000012,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-13T04:37:43Z,2026-09-13T19:05:00Z
824952,682243,Bryce Miller,SEA,ATH,22.1121241736829,21,92,5.0,22,5.0,starter,0.2318181201576677,5.629435399973962,15.96326265501982,6.148861518663081,9,0.4962047475445866,0.33836428532173474,0.7306214595124532,0.5309120809004365,0.45587505243885956,0.3870426629594788,0.15805203627941097,"4:0.002030,5:0.003972,6:0.007774,7:0.001902,8:0.011164,9:0.023668,10:0.007126,11:0.027888,12:0.083569,13:0.031707,14:0.068579,15:0.199709,16:0.075037,17:0.068832,18:0.228991,19:0.029289,20:0.018628,21:0.079917,22:0.004116,23:0.001342,24:0.021015,25:0.001285,27:0.002461","0.004204,0.021799,0.058115,0.105842,0.147394,0.166441,0.157840,0.128619,0.091517,0.057542,0.032267,0.016255,0.007399,0.003056,0.001148,0.000393,0.000122,0.000035,0.000009,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-13T04:37:43Z,2026-09-13T20:05:00Z
823171,601713,Nick Pivetta,SD,SF,21.147812267630897,6,110,6.0,7,6.0,starter,0.24339054473583624,5.493686006029944,15.070640208785923,6.077172058844974,9,0.4731219682645334,0.3187643695730838,0.6415630783762268,0.4343368504814013,0.36178171012167587,0.29976171845432525,0.1074955546367498,"4:0.004578,5:0.008349,6:0.015225,7:0.003471,8:0.018986,9:0.037508,10:0.010523,11:0.038378,12:0.107165,13:0.037888,14:0.076365,15:0.207226,16:0.072555,17:0.062020,18:0.192266,19:0.022916,20:0.013581,21:0.054295,22:0.002606,23:0.000792,24:0.011553,25:0.000658,27:0.001095","0.005310,0.025726,0.064808,0.112824,0.151669,0.166540,0.154358,0.123379,0.086365,0.053563,0.029698,0.014821,0.006690,0.002740,0.001020,0.000345,0.000106,0.000029,0.000007,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-13T04:37:43Z,2026-09-13T23:20:00Z
823734,688107,Robert Gasser,MIL,CIN,21.509376164520265,20,25,6.0,20,6.0,starter,0.22230296526260654,5.491224792932744,14.868657904210906,6.6407182603093595,9,0.4722614594337161,0.31760430659315214,0.6207192549662713,0.4135867683646621,0.3421506812083709,0.2820018558992478,0.09832929454010345,"4:0.005403,5:0.009705,6:0.017432,7:0.003914,8:0.021092,9:0.041044,10:0.011342,11:0.040748,12:0.112078,13:0.039032,14:0.077491,15:0.207132,16:0.071436,17:0.060149,18:0.183673,19:0.021564,20:0.012588,21:0.049573,22:0.002343,23:0.000702,24:0.010081,25:0.000566,27:0.000913","0.005137,0.025293,0.064504,0.113105,0.152434,0.167265,0.154657,0.123262,0.086056,0.053264,0.029490,0.014702,0.006630,0.002712,0.001007,0.000339,0.000104,0.000029,0.000007,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-13T04:37:43Z,2026-09-13T18:10:00Z
824225,695549,Jackson Jobe,DET,COL,21.615101987257063,6,16,7.0,6,7.0,starter,0.22414533747269175,5.449898238424825,15.070640208785923,6.54446177847114,9,0.4662299881817784,0.3109910262633418,0.6415630783762268,0.4343368504814013,0.36178171012167587,0.29976171845432525,0.1074955546367498,"4:0.004578,5:0.008349,6:0.015225,7:0.003471,8:0.018986,9:0.037508,10:0.010523,11:0.038378,12:0.107165,13:0.037888,14:0.076365,15:0.207226,16:0.072555,17:0.062020,18:0.192266,19:0.022916,20:0.013581,21:0.054295,22:0.002606,23:0.000792,24:0.011553,25:0.000658,27:0.001095","0.005151,0.025564,0.065411,0.114696,0.154258,0.168689,0.155239,0.122897,0.084956,0.051828,0.028123,0.013655,0.005962,0.002350,0.000839,0.000272,0.000080,0.000022,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-13T04:37:43Z,2026-09-13T16:10:00Z
824708,702070,Noah Cameron,KC,BOS,23.66805738511961,30,51,6.0,31,6.0,starter,0.22078186689353307,5.35789424767573,17.039073493775483,6.628983891344127,9,0.4495763820927174,0.2934942518179346,0.8238061503476389,0.6499075988131745,0.578282177245968,0.5062579728435872,0.24359588695079196,"4:0.000643,5:0.001380,6:0.002961,7:0.000794,8:0.005110,9:0.011877,10:0.003920,11:0.016817,12:0.055241,13:0.022975,14:0.054475,15:0.173899,16:0.071625,17:0.072024,18:0.262662,19:0.036828,20:0.025676,21:0.120754,22:0.006817,23:0.002437,24:0.041828,25:0.002804,27:0.006452","0.004922,0.025533,0.067197,0.119322,0.160297,0.173152,0.156082,0.120330,0.080716,0.047704,0.025074,0.011803,0.005002,0.001915,0.000664,0.000208,0.000059,0.000015,0.000004,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-13T04:37:43Z,2026-09-13T19:05:00Z
823171,657277,Logan Webb,SF,SD,24.273244705004334,30,158,6.0,30,6.0,starter,0.21100862226395478,5.337222618088419,17.58662392605214,6.686620778952193,9,0.4455535806093874,0.2907970696567856,0.8624131093319902,0.7068351042274803,0.6395961568195835,0.5686492172816199,0.2971590742843782,"4:0.000339,5:0.000763,6:0.001718,7:0.000483,8:0.003264,9:0.007960,10:0.002757,11:0.012411,12:0.042777,13:0.018668,14:0.046446,15:0.155578,16:0.067239,17:0.070947,18:0.271490,19:0.039942,20:0.029221,21:0.144199,22:0.008542,23:0.003205,24:0.057707,25:0.004059,27:0.010284","0.005133,0.026362,0.068692,0.120809,0.160893,0.172559,0.154757,0.118987,0.079804,0.047274,0.024957,0.011818,0.005042,0.001943,0.000677,0.000214,0.000061,0.000016,0.000004,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-13T04:37:43Z,2026-09-13T23:20:00Z
823815,691587,Eury Pérez,MIA,LAD,22.026159978149867,29,63,6.0,29,6.0,starter,0.2641698663118052,5.250596424030206,15.912636505460217,6.11352347268965,9,0.4308749377401583,0.2792429691590856,0.7257782325117951,0.5252873418129946,0.45026969271139106,0.3817410220925818,0.1547081179121356,"4:0.002133,5:0.004158,6:0.008102,7:0.001974,8:0.011539,9:0.024361,10:0.007304,11:0.028468,12:0.084951,13:0.032097,14:0.069135,15:0.200491,16:0.075018,17:0.068529,18:0.227033,19:0.028918,20:0.018315,21:0.078250,22:0.004013,23:0.001303,24:0.020321,25:0.001238,27:0.002350","0.006141,0.029630,0.073694,0.125304,0.162851,0.171504,0.151632,0.115241,0.076567,0.045031,0.023662,0.011183,0.004776,0.001848,0.000649,0.000206,0.000059,0.000015,0.000004,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-13T04:37:43Z,2026-09-13T17:40:00Z
824628,571510,Matthew Boyd,CHC,PIT,23.16270783127045,21,72,6.0,21,6.0,starter,0.20575710629534427,5.18159717087991,16.70256226591476,6.460145565355688,9,0.41868825500041057,0.2666189469115062,0.7969263959195745,0.6132311074060792,0.5397545654377849,0.4680016664486408,0.21388225761119511,"4:0.000938,5:0.001954,6:0.004072,7:0.001060,8:0.006627,9:0.014956,10:0.004793,11:0.019972,12:0.063713,13:0.025734,14:0.059254,15:0.183695,16:0.073477,17:0.071753,18:0.254119,19:0.034602,20:0.023428,21:0.106999,22:0.005866,23:0.002037,24:0.033946,25:0.002210,27:0.004796","0.005957,0.029697,0.075249,0.128847,0.167115,0.174447,0.152069,0.113434,0.073650,0.042139,0.021441,0.009768,0.004004,0.001482,0.000496,0.000150,0.000041,0.000010,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-13T04:37:43Z,2026-09-13T18:20:00Z
