game_pk,pitcher_id,pitcher,team,opponent,expected_bf,starts_seen,k_rate,expected_k,lineup_faced,prob_k_over_5.5,prob_k_over_6.5,k_dist,predicted_at_utc,start_time_utc
822855,594798,Jacob deGrom,TEX,ATH,21.799901157230604,30,0.27347645580683927,7.250833167960736,9,0.726577509850238,0.5886598614266874,"0.001042,0.006595,0.021410,0.047631,0.081706,0.115038,0.137918,0.144030,0.132938,0.109497,0.081033,0.054153,0.032813,0.018089,0.009100,0.004189,0.001770,0.000687,0.000246,0.000081,0.000025,0.000007,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T19:59:46Z,2026-09-01T00:05:00Z
824473,650633,Michael King,SD,CIN,22.86993193714011,31,0.2105508439855785,6.861725133790584,9,0.6809979226022501,0.5324547659821355,"0.001338,0.008298,0.026420,0.057454,0.095714,0.129778,0.148543,0.146990,0.127843,0.098896,0.068635,0.043004,0.024434,0.012626,0.005945,0.002554,0.001002,0.000359,0.000118,0.000036,0.000010,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T19:59:46Z,2026-08-31T22:40:00Z
822932,693855,Ian Seymour,TB,NYM,21.628693591224707,14,0.2721328653761959,6.468028941038682,9,0.6244390647861413,0.4722323686330555,"0.002208,0.012432,0.036101,0.072149,0.111426,0.141244,0.152207,0.142529,0.117683,0.086565,0.057163,0.034084,0.018435,0.009076,0.004078,0.001675,0.000630,0.000217,0.000069,0.000020,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T19:59:46Z,2026-08-31T22:40:00Z
824719,801139,Payton Tolle,BOS,SEA,22.7240639045452,23,0.25889884893422427,6.227762833506658,9,0.5926419996814299,0.4344689646649385,"0.002343,0.013458,0.039581,0.079332,0.121522,0.151123,0.158173,0.142610,0.112522,0.078574,0.048966,0.027409,0.013854,0.006352,0.002653,0.001013,0.000355,0.000114,0.000034,0.000009,0.000002,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T19:59:46Z,2026-08-31T22:45:00Z
823663,671737,Taj Bradley,MIN,DET,23.759555335904956,30,0.25943058907660677,5.906300248963066,9,0.5412255189134314,0.3818269722603388,"0.003082,0.017120,0.048493,0.093157,0.136119,0.160803,0.159399,0.135874,0.101314,0.066907,0.039498,0.020992,0.010101,0.004420,0.001765,0.000646,0.000217,0.000067,0.000019,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T19:59:46Z,2026-08-31T23:40:00Z
822689,702021,Will Dion,WSH,MIA,21.132731606298595,1,0.24291215994755821,5.7399239443626815,9,0.5136182154407228,0.3579874882060098,"0.004175,0.021405,0.056353,0.101734,0.141526,0.161189,0.155631,0.130124,0.095532,0.062192,0.036174,0.018915,0.008938,0.003834,0.001498,0.000535,0.000175,0.000052,0.000014,0.000004,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T19:59:46Z,2026-08-31T22:45:00Z
822855,695611,Gage Jump,ATH,TEX,22.739934108566914,17,0.24196045561405866,5.648710341064483,9,0.4984991126177379,0.34154549989129124,"0.004188,0.021756,0.058010,0.105507,0.146646,0.165396,0.156954,0.128328,0.091900,0.058332,0.033105,0.016910,0.007812,0.003277,0.001252,0.000436,0.000139,0.000041,0.000011,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T19:59:46Z,2026-09-01T00:05:00Z
824719,669923,George Kirby,SEA,BOS,23.78837377970899,30,0.22304314780820989,5.386111891431223,9,0.4537754399480093,0.29839711191856777,"0.004962,0.025536,0.066842,0.118320,0.158806,0.171759,0.155378,0.120519,0.081578,0.048824,0.026100,0.012562,0.005478,0.002175,0.000789,0.000262,0.000080,0.000022,0.000006,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T19:59:46Z,2026-08-31T22:45:00Z
823982,700712,Walbert Ureña,LAA,NYY,22.189384650033784,22,0.22707718780727632,5.296300889608418,9,0.43907952454202076,0.2866609072213716,"0.005915,0.028751,0.071893,0.122887,0.160759,0.170715,0.152419,0.117051,0.078555,0.046613,0.024676,0.011737,0.005044,0.001968,0.000699,0.000227,0.000067,0.000018,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T19:59:46Z,2026-09-01T01:38:00Z
824149,663567,Peter Lambert,HOU,CWS,23.48218664822751,23,0.2281219272369715,5.209817136126785,9,0.4233992922534841,0.27130772632116995,"0.005900,0.029368,0.074403,0.127527,0.165766,0.173636,0.152092,0.114168,0.074720,0.043175,0.022236,0.010282,0.004294,0.001626,0.000561,0.000177,0.000051,0.000013,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T19:59:46Z,2026-09-01T00:10:00Z
