game_pk,game_date,home_team,away_team,home_runs,away_runs,total_runs,home_lineup_runs,away_lineup_runs,home_win_prob,away_win_prob,home_hitters,away_hitters,predicted_at_utc,start_time_utc
823415,2026-09-07,PHI,ATL,4.691384485569893,4.526475149617514,9.217859635187407,4.512485476227356,4.353864713919701,0.5211582126434935,0.4788417873565065,9,9,2026-09-07T15:12:23Z,2026-09-07T17:05:00Z
823820,2026-09-07,MIA,NYM,4.50161151418327,4.540447265606218,9.042058779789489,4.3299492164523015,4.367304023928318,0.5047164710105376,0.4952835289894624,9,9,2026-09-07T15:12:23Z,2026-09-07T17:10:00Z
824715,2026-09-07,BOS,LAA,4.451336957847982,4.280430654591131,8.731767612439112,4.28159180597261,4.117202761839817,0.5225881515318621,0.4774118484681379,9,9,2026-09-07T15:12:23Z,2026-09-07T17:35:00Z
824793,2026-09-07,BAL,CLE,4.508964622771729,4.163061964629401,8.672026587401131,4.337021925119137,4.00430975329507,0.5375602047340343,0.4624397952659657,9,9,2026-09-07T15:12:23Z,2026-09-07T17:35:00Z
823742,2026-09-07,MIL,CHC,4.524371304390908,4.783413750935229,9.307785055326137,4.351841095719467,4.601005341658618,0.48688216598725803,0.513117834012742,9,9,2026-09-07T15:12:23Z,2026-09-07T18:10:00Z
824062,2026-09-07,KC,AZ,4.184341632921924,4.299589360790898,8.483930993712821,4.0247779529074235,4.135630879112165,0.4983636328699289,0.5016363671300711,9,9,2026-09-07T15:12:23Z,2026-09-07T18:10:00Z
824229,2026-09-07,DET,MIN,4.124258285925043,4.210804291383826,8.335062577308868,3.9669857954919525,4.0502314970240905,0.5008628033407482,0.4991371966592518,9,9,2026-09-07T15:12:23Z,2026-09-07T19:10:00Z
823254,2026-09-07,SD,WSH,4.374267275502536,4.266453517714472,8.640720793217007,4.207461061986268,4.103758622407382,0.5173992520894666,0.4826007479105334,9,9,2026-09-07T15:12:23Z,2026-09-07T21:10:00Z
823175,2026-09-07,SF,STL,4.1745770276773975,3.930934747039556,8.105511774716954,4.015385706443176,3.7810343638587254,0.5304423001271695,0.46955769987283047,9,9,2026-09-07T15:12:23Z,2026-09-08T00:10:00Z
823902,2026-09-07,LAD,CIN,4.772387963617249,4.6081242839989995,9.380512247616249,4.5904000064341455,4.432400279311167,0.5208152663937388,0.47918473360626124,9,9,2026-09-07T15:12:23Z,2026-09-08T01:10:00Z
824958,2026-09-07,ATH,TOR,4.036754699504068,4.54250982363446,8.579264523138528,3.8828190289314652,4.369287929356437,0.46492197486954084,0.5350780251304592,9,9,2026-09-07T15:12:23Z,2026-09-08T02:05:00Z
