game_date,n,mean_pred_home,home_rate,brier_home,total_pred,total_actual,total_mae,home_split_resid,n_market,brier_market,brier_model_on_market,total_mae_market,total_mae_model_on_market
2026-09-01,15,0.5007577317162133,0.5333333333333333,0.2563754521809837,8.430950932230761,11.933333333333334,4.8126738807797125,0.2931908839925022,,,,,
2026-09-02,15,0.5029822072849075,0.2666666666666666,0.264931926315594,8.529408512008853,10.533333333333331,4.079680009765259,-3.1290347191681662,,,,,
2026-09-03,9,0.5167463405887616,0.6666666666666666,0.2490398680636567,8.199425222013511,7.777777777777778,2.4206932042255382,1.2362478935700212,,,,,
2026-09-05,15,0.5097062612355772,0.2666666666666666,0.2539618504533504,8.78544260421758,8.8,2.445546214577763,-1.8803850504529096,13.0,0.2811230733776922,0.2508984690278033,2.076923076923077,2.2172321578985086
2026-09-06,15,0.506541139267581,0.7333333333333333,0.2393847989083029,8.852811010018598,8.933333333333334,4.36178085017507,2.022306254169694,4.0,0.1645892450819477,0.2349903671554708,2.75,3.007874297684092
2026-09-07,11,0.5095269244083569,0.8181818181818182,0.2427642899692683,8.79462896957421,8.181818181818182,2.35203650188512,0.7092856611393681,5.0,0.2084954971082585,0.24069926880988,2.9,3.085665294672943
2026-09-08,15,0.5156453017170033,0.3333333333333333,0.2419445287813281,8.973623672189916,8.666666666666666,2.767831531919077,-1.964087484868844,15.0,0.2264853593235624,0.2419445287813281,2.7333333333333334,2.767831531919077
2026-09-09,15,0.5116260670703425,0.7333333333333333,0.2464387699188817,8.849563671214502,11.266666666666667,4.754049458806967,2.41932632922788,15.0,0.2405313873513229,0.2464387699188817,4.933333333333334,4.754049458806967
2026-09-10,5,0.5236862486003202,0.6,0.2428362504568801,8.658608323920044,5.8,4.402142776731496,1.2120113546335245,5.0,0.2315863313681302,0.2428362504568801,4.1,4.402142776731496
2026-09-11,15,0.5035692969618559,0.6666666666666666,0.2372440888455375,8.758687301537787,9.866666666666667,2.764122227280476,2.724097020279961,15.0,0.2117965419028466,0.2372440888455375,2.9,2.764122227280476
2026-09-12,15,0.4971406076247753,0.6666666666666666,0.2449192670387898,8.787096321278703,11.533333333333331,4.3486817263835045,-0.0735195470420045,,,,,
2026-09-13,15,0.4976334714584282,0.6,0.2551292515191872,8.931853775896673,9.6,3.403740253304917,1.319465845020802,,,,,
2026-09-14,10,0.4860430694582138,0.4,0.2422299953097298,9.046298706332612,9.3,3.5591836661805294,-0.4310508066923163,,,,,
2026-09-04,16,0.5062752766167704,0.5,0.2371655403341105,8.710119235820564,8.8125,4.26186258114098,-0.4153062333103069,,,,,
2026-09-15,15,0.4880808103567883,0.4666666666666667,0.2524549722728697,9.100545736567916,8.133333333333333,3.037197499673991,-1.2216162149441887,,,,,
2026-09-16,15,0.4899196404633287,0.4666666666666667,0.2523991169038991,9.10046293730815,8.466666666666667,1.829658536533321,-0.1128917022983409,,,,,
2026-09-17,9,0.493924974580361,0.5555555555555556,0.23290944103533473,8.877595716270628,8.222222222222221,2.2447182364402276,0.40313888275113985,,,,,
