game_pk,pitcher_id,pitcher,team,opponent,expected_bf,starts_seen,career_starts,days_since_last_start,k_rate,expected_k,lineup_faced,prob_k_over_5.5,prob_k_over_6.5,k_dist,predicted_at_utc,start_time_utc
823088,669302,Logan Gilbert,SEA,TEX,23.324383598059413,32,149,6.0,0.25533200424030117,6.308460564107646,9,0.6034227175634962,0.4458889757833699,"0.002140,0.012539,0.037557,0.076477,0.118691,0.149173,0.157534,0.143246,0.114103,0.080641,0.051066,0.029208,0.015192,0.007232,0.003170,0.001287,0.000487,0.000173,0.000058,0.000018,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-10T14:47:23Z,2026-09-10T20:10:00Z
823413,554430,Zack Wheeler,PHI,HOU,23.28537465880074,23,137,5.0,0.2754270079044829,6.271620347566653,9,0.5981949835464199,0.4399135904417191,"0.002186,0.012786,0.038236,0.077706,0.120277,0.150614,0.158281,0.143040,0.113107,0.079289,0.049790,0.028251,0.014593,0.006908,0.003016,0.001220,0.000460,0.000162,0.000054,0.000017,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-10T14:47:23Z,2026-09-10T17:05:00Z
823499,608331,Max Fried,NYY,COL,22.30788979954577,20,121,6.0,0.2450967474777895,5.900516380103403,9,0.541511585057543,0.38218865474559477,"0.003226,0.017544,0.048921,0.093088,0.135509,0.160201,0.159323,0.136310,0.101849,0.067179,0.039438,0.020748,0.009844,0.004241,0.001671,0.000608,0.000206,0.000066,0.000020,0.000006,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-10T14:47:23Z,2026-09-10T23:05:00Z
823088,594798,Jacob deGrom,TEX,SEA,21.642791874604622,30,77,5.0,0.27632515205864006,5.805205156032785,9,0.5251895010729248,0.3680733106042462,"0.003825,0.019899,0.053334,0.098121,0.138942,0.160690,0.157116,0.132708,0.098224,0.064343,0.037574,0.019669,0.009272,0.003954,0.001532,0.000543,0.000178,0.000054,0.000016,0.000004,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-10T14:47:23Z,2026-09-10T20:10:00Z
824550,696146,Hagen Smith,CWS,PIT,22.341463414634145,0,0,,0.23034934497816595,5.640406246608288,9,0.4984593653196412,0.3396862190804191,"0.004021,0.021188,0.057167,0.105027,0.147187,0.166952,0.158773,0.129526,0.092093,0.057742,0.032221,0.016125,0.007287,0.002995,0.001127,0.000392,0.000127,0.000038,0.000011,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-10T14:47:23Z,2026-09-10T23:40:00Z
824550,683003,Jared Jones,PIT,CWS,20.1845565921097,17,39,6.0,0.25658205187742966,5.585742151099495,9,0.4876804438622433,0.3363893551814594,"0.005385,0.025929,0.064262,0.109891,0.146127,0.160726,0.151291,0.124232,0.090012,0.057986,0.033404,0.017290,0.008073,0.003413,0.001311,0.000460,0.000148,0.000044,0.000012,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-10T14:47:23Z,2026-09-10T23:40:00Z
823499,663372,Ryan Feltner,COL,NYY,22.51031894934334,20,84,6.0,0.18486067937880385,4.550117402791319,9,0.30834754323866204,0.17719964810295866,"0.011445,0.049451,0.109250,0.163808,0.186539,0.171160,0.131148,0.085927,0.048960,0.024574,0.010978,0.004404,0.001600,0.000531,0.000162,0.000046,0.000012,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-10T14:47:23Z,2026-09-10T23:05:00Z
824872,607259,Nick Martinez,TB,ATL,23.596368392706008,27,89,6.0,0.17087047731751567,4.364934703348306,9,0.2751631825435148,0.15226043322423508,"0.013090,0.055875,0.120665,0.175202,0.191766,0.168239,0.122903,0.076733,0.041734,0.020068,0.008634,0.003357,0.001189,0.000386,0.000116,0.000032,0.000008,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-10T14:47:23Z,2026-09-10T16:15:00Z
823413,664299,Cristian Javier,HOU,PHI,21.138016649627573,12,80,6.0,0.2160388278002841,4.012248002495171,9,0.2190208850196662,0.11242350371547759,"0.019099,0.073631,0.144500,0.192160,0.193986,0.157603,0.106597,0.061318,0.030444,0.013194,0.005040,0.001713,0.000522,0.000145,0.000037,0.000009,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-10T14:47:23Z,2026-09-10T17:05:00Z
824872,527048,Martín Pérez,ATL,TB,21.84685986232685,24,110,5.0,0.1846986220784216,3.183236163824983,9,0.10375532361332122,0.043113986901472334,"0.042549,0.132008,0.208259,0.221575,0.177784,0.114069,0.060641,0.027353,0.010651,0.003629,0.001094,0.000295,0.000072,0.000016,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-09-10T14:47:23Z,2026-09-10T16:15:00Z
