pitcher_id,name,game_date,opp,home,pitches,bf,k,last_inning,velo
693433,Bryan Woo,2026-09-18,COL,False,86,27,4,6,96.46315789473684
693433,Bryan Woo,2026-09-12,ATH,False,80,24,5,6,96.23207547169811
693433,Bryan Woo,2026-09-06,ATH,True,102,27,9,8,96.06885245901638
693433,Bryan Woo,2026-09-01,BOS,False,99,25,7,6,96.99852941176471
693433,Bryan Woo,2026-08-26,PHI,True,76,18,5,4,97.2890909090909
693433,Bryan Woo,2026-08-16,HOU,False,75,22,5,6,96.675
693433,Bryan Woo,2026-08-11,NYY,False,92,19,5,5,97.33538461538461
693433,Bryan Woo,2026-08-05,DET,True,91,26,5,7,95.5878787878788
693433,Bryan Woo,2026-07-30,LAD,False,91,22,8,5,96.6
693433,Bryan Woo,2026-07-25,TEX,False,95,25,5,5,95.84693877551021
693855,Ian Seymour,2026-09-18,BOS,True,87,25,5,5,90.88333333333333
693855,Ian Seymour,2026-09-12,HOU,True,79,23,10,6,90.2304347826087
693855,Ian Seymour,2026-09-06,TEX,False,75,16,2,4,90.62105263157895
693855,Ian Seymour,2026-08-31,NYM,True,88,24,10,7,90.84444444444445
693855,Ian Seymour,2026-08-25,DET,False,88,25,5,8,91.10851063829789
693855,Ian Seymour,2026-08-20,TOR,True,90,22,8,5,90.76530612244898
693855,Ian Seymour,2026-08-15,BAL,True,93,26,9,6,90.41162790697673
693855,Ian Seymour,2026-08-09,SEA,False,98,25,7,6,90.77948717948718
693855,Ian Seymour,2026-08-03,COL,False,90,25,9,6,90.23888888888888
693855,Ian Seymour,2026-07-29,TEX,True,71,17,4,7,89.80882352941177
607192,Tyler Glasnow,2026-09-18,SF,True,99,23,10,6,95.62333333333332
607192,Tyler Glasnow,2026-09-12,MIA,False,91,22,7,5,95.50196078431374
607192,Tyler Glasnow,2026-09-05,WSH,True,96,27,8,7,95.69166666666666
607192,Tyler Glasnow,2026-08-30,DET,False,86,23,6,7,95.76481481481481
607192,Tyler Glasnow,2026-08-25,ATL,False,89,21,7,5,95.70925925925927
607192,Tyler Glasnow,2026-04-29,MIA,True,96,24,9,6,95.48163265306123
607192,Tyler Glasnow,2026-04-23,SF,False,106,25,9,8,95.85666666666665
607192,Tyler Glasnow,2026-04-17,COL,False,92,24,7,7,94.44464285714285
607192,Tyler Glasnow,2026-04-10,TEX,True,100,24,7,6,95.94565217391305
607192,Tyler Glasnow,2026-04-04,WSH,False,101,24,9,6,95.67857142857143
693645,Cam Schlittler,2026-09-19,AZ,False,98,25,6,6,96.66111111111111
693645,Cam Schlittler,2026-09-13,NYM,True,94,21,8,6,97.27160493827161
693645,Cam Schlittler,2026-09-08,COL,True,96,24,10,7,96.725
693645,Cam Schlittler,2026-09-02,LAA,False,99,26,9,8,97.19047619047619
693645,Cam Schlittler,2026-08-28,BOS,True,102,24,8,6,97.97386363636365
693645,Cam Schlittler,2026-08-21,TOR,True,96,25,4,6,96.85802469135803
693645,Cam Schlittler,2026-08-15,TOR,False,97,23,7,6,97.44418604651163
693645,Cam Schlittler,2026-08-09,ATL,True,96,24,11,7,98.46000000000001
693645,Cam Schlittler,2026-08-03,STL,True,83,17,6,3,97.21014492753623
693645,Cam Schlittler,2026-07-29,CWS,False,93,23,8,7,98.10405405405405
641816,Tyler Mahle,2026-09-18,HOU,False,98,22,6,6,92.35636363636364
641816,Tyler Mahle,2026-09-12,PHI,True,97,25,3,7,92.00188679245284
641816,Tyler Mahle,2026-09-06,PHI,False,94,24,3,6,92.58727272727273
641816,Tyler Mahle,2026-08-30,COL,True,89,24,9,7,92.56111111111112
641816,Tyler Mahle,2026-08-23,MIL,False,94,24,4,6,92.77857142857144
641816,Tyler Mahle,2026-08-18,MIN,False,76,25,3,7,91.79111111111112
641816,Tyler Mahle,2026-08-12,NYM,True,93,21,7,6,91.32407407407408
641816,Tyler Mahle,2026-08-07,NYY,False,92,23,9,6,92.34426229508196
641816,Tyler Mahle,2026-08-01,SD,False,99,25,9,6,91.52638888888889
641816,Tyler Mahle,2026-07-27,MIL,True,88,20,3,7,91.91492537313434
694973,Paul Skenes,2026-09-18,KC,True,89,24,7,6,96.02142857142857
694973,Paul Skenes,2026-09-12,CHC,False,82,25,4,7,96.42291666666667
694973,Paul Skenes,2026-09-06,LAA,True,87,21,2,6,96.46470588235293
694973,Paul Skenes,2026-09-01,SF,True,95,25,4,5,97.07068965517242
694973,Paul Skenes,2026-08-25,SD,False,87,21,4,6,97.01020408163265
694973,Paul Skenes,2026-08-19,DET,True,81,20,5,5,96.7826923076923
694973,Paul Skenes,2026-08-11,MIA,False,65,21,4,5,95.67714285714285
694973,Paul Skenes,2026-08-05,MIL,False,93,20,6,5,96.97708333333333
694973,Paul Skenes,2026-07-31,CIN,False,100,22,7,4,96.5421052631579
694973,Paul Skenes,2026-07-25,CHC,True,105,25,11,6,96.28979591836735
663567,Peter Lambert,2026-09-18,ATL,True,87,24,6,6,93.78627450980393
663567,Peter Lambert,2026-09-12,TB,False,85,22,4,7,93.13846153846154
663567,Peter Lambert,2026-09-06,AZ,True,98,29,6,7,92.992
663567,Peter Lambert,2026-08-31,CWS,True,104,24,6,5,93.24468085106383
663567,Peter Lambert,2026-08-26,NYY,False,102,26,5,6,93.47500000000001
663567,Peter Lambert,2026-08-20,LAA,True,79,23,3,4,93.302
663567,Peter Lambert,2026-08-14,SEA,True,96,22,6,5,93.27818181818182
663567,Peter Lambert,2026-08-08,SD,False,97,24,3,5,93.66440677966101
663567,Peter Lambert,2026-08-02,TEX,True,83,20,8,6,93.01886792452831
663567,Peter Lambert,2026-07-28,LAA,False,90,24,6,5,93.4475
593958,Eduardo Rodriguez,2026-09-18,NYY,True,103,25,5,6,92.02463768115942
593958,Eduardo Rodriguez,2026-09-13,TEX,True,99,26,7,6,92.38548387096773
