game_pk,game_date,home_team,away_team,home_runs,away_runs,total_runs,home_win_prob,away_win_prob,home_hitters,away_hitters,predicted_at_utc,start_time_utc
824911,2026-08-31,ATL,SF,4.742825260683078,3.85589169097508,8.598716951658158,0.5834329165774822,0.4165670834225178,9,9,2026-08-31T19:59:44Z,2026-08-31T22:05:00Z
822932,2026-08-31,TB,NYM,4.547576674066185,4.151109327116977,8.698686001183162,0.5416114312704481,0.4583885687295519,9,9,2026-08-31T22:18:25Z,2026-08-31T22:40:00Z
824473,2026-08-31,CIN,SD,4.413392175315522,4.541952659820739,8.95534483513626,0.4973382735969432,0.5026617264030568,9,9,2026-08-31T22:18:25Z,2026-08-31T22:40:00Z
822689,2026-08-31,WSH,MIA,3.968666463298464,4.05251428665775,8.021180749956214,0.501158185831594,0.498841814168406,9,9,2026-08-31T22:18:25Z,2026-08-31T22:45:00Z
824719,2026-08-31,BOS,SEA,4.163348579664938,4.242324539553257,8.405673119218196,0.5015259530697898,0.4984740469302102,9,9,2026-08-31T22:18:25Z,2026-08-31T22:45:00Z
823663,2026-08-31,MIN,DET,4.382000107048202,4.278900231247636,8.66090033829584,0.5169219247798305,0.4830780752201695,9,9,2026-08-31T22:18:25Z,2026-08-31T23:40:00Z
824635,2026-08-31,CHC,MIL,4.482917217381095,4.601256274759301,9.084173492140396,0.4981995764297815,0.5018004235702185,9,9,2026-08-31T22:18:25Z,2026-08-31T23:40:00Z
822855,2026-08-31,TEX,ATH,4.270899312618959,3.689617075973867,7.960516388592826,0.5611815895234301,0.4388184104765699,9,9,2026-08-31T23:59:36Z,2026-09-01T00:05:00Z
824149,2026-08-31,HOU,CWS,4.640622529336008,4.918847081805123,9.559469611141132,0.4857057231443757,0.5142942768556242,9,9,2026-08-31T23:59:36Z,2026-09-01T00:10:00Z
824314,2026-08-31,COL,BAL,4.6345773349267425,5.068173696919637,9.702751031846379,0.4738222082317542,0.5261777917682458,9,9,2026-08-31T23:59:36Z,2026-09-01T00:40:00Z
823982,2026-08-31,LAA,NYY,4.10964250145447,4.534235747172079,8.64387824862655,0.47214329979466446,0.5278567002053356,9,9,2026-08-31T23:59:36Z,2026-09-01T01:38:00Z
825040,2026-08-31,AZ,PHI,4.489714528603354,4.836820141850519,9.326534670453874,0.479920578367984,0.5200794216320159,9,9,2026-08-31T23:59:36Z,2026-09-01T01:40:00Z
