game_pk,player_id,name,team,opponent,is_home,lineup_slot,lineup_status,opposing_pitcher,venue_name,start_time_utc,expected_pa,batter_pa_seen,pitcher_pa_seen,prob_hr,prob_hit,prob_walk,prob_k,prob_hrr_over_0.5,prob_hrr_over_1.5,prob_hrr_over_2.5,prob_hrr_over_3.5,prob_tb_over_0.5,prob_tb_over_1.5,prob_tb_over_2.5,prob_tb_over_3.5,prob_hits_over_0.5,prob_hits_over_1.5,prob_hits_over_2.5,predicted_at_utc
822860,607043,Brandon Nimmo,TEX,WSH,1,1,projected,Cade Cavalli,Globe Life Field,2026-08-20T00:05:00Z,4.526482446472214,3423,935,0.13184827695182982,0.6927428619431238,0.3978075957708063,0.6556177517913029,0.7182450843113473,0.5210622148664192,0.35455649935603695,0.2237013343168133,0.6601646099671918,0.4199377027258307,0.26174060130142207,0.18564154021160542,0.6674216857963491,0.2892904953541747,0.08005043915416037,2026-08-19T16:45:40Z
822860,682928,CJ Abrams,WSH,TEX,0,1,projected,Kumar Rocker,Globe Life Field,2026-08-20T00:05:00Z,4.649588790663828,2949,972,0.15794475795263166,0.7187621470690215,0.38685690242055115,0.6677421717849484,0.7458199704951283,0.5551625108038534,0.387833375826449,0.25193237650444084,0.6982778073872017,0.46307849340678475,0.2977664385703056,0.21182001449467544,0.6914104676413015,0.3183989358670804,0.09576191320329536,2026-08-19T16:45:40Z
822860,608369,Corey Seager,TEX,WSH,1,2,projected,Cade Cavalli,Globe Life Field,2026-08-20T00:05:00Z,4.3878065821855134,2737,935,0.2040132269604946,0.6788409100868108,0.40425193315017427,0.6334063146828797,0.7419484892209631,0.5487372804040467,0.3801923810026034,0.2443600939105096,0.6934163979300212,0.4556584507507498,0.2902744156441814,0.205781547916951,0.654595585458904,0.27409447183143315,0.07205401504976791,2026-08-19T16:45:40Z
822860,691781,Brady House,WSH,TEX,0,2,projected,Kumar Rocker,Globe Life Field,2026-08-20T00:05:00Z,3.9464662342441166,627,972,0.09721974530636128,0.6116938817146628,0.24258429562943576,0.7320518441021177,0.6404517711398786,0.435600924347587,0.27833231788692947,0.1639220333274804,0.5676446701795942,0.32941334327801447,0.1930715846926468,0.1378448258064515,0.5922220140190279,0.21407009848230749,0.047617178580169214,2026-08-19T16:45:40Z
822860,694671,Wyatt Langford,TEX,WSH,1,3,projected,Cade Cavalli,Globe Life Field,2026-08-20T00:05:00Z,4.24862084001642,1605,935,0.13330210229511016,0.6620890554423463,0.3891511773677449,0.6815219171389697,0.7037535425588405,0.5028353166687319,0.3365168222040289,0.20820219257661923,0.6388657630628446,0.3961923236489922,0.24208950813155633,0.17141859943673307,0.6391159221300646,0.25678248045379753,0.0635578043541474,2026-08-19T16:45:40Z
822860,665953,Andrés Chaparro,WSH,TEX,0,3,projected,Kumar Rocker,Globe Life Field,2026-08-20T00:05:00Z,3.8926052820868704,498,972,0.12552679957050328,0.5726902315329239,0.35275476649902765,0.6372013195331202,0.6313645676937735,0.4256179319436328,0.2695910638827434,0.15725673541469137,0.5745063167452279,0.33484608813010813,0.19678101610346224,0.14042680430923635,0.5558204413936513,0.18270599181782973,0.0364423837591572,2026-08-19T16:45:40Z
822860,592626,Joc Pederson,TEX,WSH,1,4,projected,Cade Cavalli,Globe Life Field,2026-08-20T00:05:00Z,3.668899695426891,2177,935,0.17235759001618228,0.5754860742552199,0.38651779805212577,0.6216948875883417,0.6410439004651723,0.4335050482961371,0.2746732514214685,0.15984344544450937,0.6103055994774617,0.3659681107654089,0.21816285101627886,0.1545696075352132,0.5585599078379048,0.18186721499775255,0.0343494639533691,2026-08-19T16:45:40Z
822860,660688,Keibert Ruiz,WSH,TEX,0,4,projected,Kumar Rocker,Globe Life Field,2026-08-20T00:05:00Z,3.89260528208687,2244,972,0.09548768414367653,0.6519801271863634,0.26849691307548595,0.3807848082616008,0.6448003922851382,0.439444343076885,0.28093869020624235,0.16530753985644123,0.5963939094003694,0.35497012051763754,0.2110282395295469,0.1498792423070659,0.6296948107370371,0.24781185334612035,0.05963173240773091,2026-08-19T16:45:40Z
822860,553869,Elias Díaz,TEX,WSH,1,5,projected,Cade Cavalli,Globe Life Field,2026-08-20T00:05:00Z,3.6688996954268904,1854,935,0.08278590078599028,0.5903461949321055,0.2222575058031333,0.642806012389361,0.598338497803118,0.3915305642375216,0.2403533877060574,0.13498170135940857,0.5407098767315609,0.3033688414014935,0.17344100116493735,0.12419896653549312,0.5724792067160679,0.1926821990583432,0.037573913698632985,2026-08-19T16:45:40Z
822860,686611,Dylan Crews,WSH,TEX,0,5,projected,Kumar Rocker,Globe Life Field,2026-08-20T00:05:00Z,3.89260528208687,898,972,0.09112595948592045,0.554902144583141,0.32539913835025774,0.6888701628711642,0.5973962759386585,0.39209746034146886,0.24168032287550048,0.1364871995491465,0.5246395713415981,0.2913681107564667,0.16580497167663927,0.11911640088062911,0.5391250729935697,0.16896473063752998,0.030989628911796834,2026-08-19T16:45:40Z
