market,player,line,prob_over,hold,n_books,commence_time,home_team,away_team,game_date,fetched_at_utc
pitcher_strikeouts,Bailey Ober,3.5,0.539576802507837,0.06466416353775561,3,2026-09-06T22:20:00Z,Chicago White Sox,Minnesota Twins,2026-09-06,2026-09-06T20:02:45Z
pitcher_strikeouts,Andrew Alvarez,3.5,0.5145711906744379,0.06148118518389689,4,2026-09-07T02:11:00Z,Los Angeles Dodgers,Washington Nationals,2026-09-06,2026-09-06T20:02:45Z
pitcher_strikeouts,Justin Wrobleski,4.5,0.4693877551020409,0.06376462867767696,5,2026-09-07T02:11:00Z,Los Angeles Dodgers,Washington Nationals,2026-09-06,2026-09-06T20:02:45Z
pitcher_strikeouts,Gage Jump,5.5,0.5164392569455861,0.06411265634566599,5,2026-09-06T20:10:00Z,Seattle Mariners,Athletics,2026-09-06,2026-09-06T20:02:45Z
pitcher_strikeouts,Michael King,5.5,0.5145711906744379,0.06411265634566599,5,2026-09-06T20:15:00Z,San Diego Padres,New York Yankees,2026-09-06,2026-09-06T20:02:45Z
pitcher_strikeouts,Gerrit Cole,5.5,0.449438202247191,0.06466784244562018,5,2026-09-06T20:15:00Z,San Diego Padres,New York Yankees,2026-09-06,2026-09-06T20:02:45Z
pitcher_strikeouts,Bryan Woo,6.5,0.46042319749216293,0.06227296315516351,5,2026-09-06T20:10:00Z,Seattle Mariners,Athletics,2026-09-06,2026-09-06T20:02:45Z
